id,Label,P00709,P05814,P47710,P07498,P02788,P02768,P01876,P19835,P61769,P61626,P01591,P01833,P10451,P02647,P47989,S4R371,P22897,P10909,P08571,Q08431,Q6WN34,Q13410,P23280,P01859,P01034,P49327,H0YCU0,P02763,P01009,P01011,P04745,P25311,P15328,V9HW75,Q08380,P15291,P00738,Q16851,P07602,Q99541,P06733,P18065,P62937,P02649,P04406,F5GZD9,P02787,P01024,Q02818,D6RC73,P0C0L5,Q6X4U4,Q92876,P63104,P02750,P06858,P06727,P04075,O00391,O60664,P04004,Q12841,P19652,P25774,Q96KP4,P22079,P23528,P60174,Q9NP72,Q9BRK5,P50395,P04114,P20061,P43490,P00558,O75874,P00450,P05155,P60953,P02790,P53634,O00300,P14550,P04217,Q99497,P36871,Q9H173,P50591,P15311,P00747,P08697,Q14697,Q96S86,P02671,P49189,P07900,P01008,Q9BY76,Q14624,P01133,P31946,Q9HB40,P13639,P01042,P61224,Q6PCB0,P02748,P07237,Q14118,Q6UXI9,P02675,P51148,Q5T985,P02760,G3XAM2,P01023,P05067,P54802,Q02809,P17900,P36955,P02751,D6RHI9,P04003,P02766,Q5H9A7,A0A087X1J7,E7EU05,Q9NR31,P04066,A6NNI4,A0A0C4DGN4,Q9UHD0,P51149,P01019,S4R3V8,P16278,P02749,P62820,O00560,P27797,E9PJK1,P84077,P45877,P0C0L4,Q68D85,P02765,P63313,P61586,P28799,P18669,P04792,P08603,P19827,O00592,P14625,P30041,J3KS22,P08238,P23284,P30086,Q9H4G4,P07737,Q13228,P11021,A0A0C4DH38,O00299,P07858,Q15904,E9PNW4,P63000,P05090,P62258,Q9NZH0,O15498,Q9P2X0,P17066,P00441,P40925,P58499,P03950,Q14512,Q02487,P34096,P19875,Q16651,O14745,A0A075B7B8,X6R3G6,Q16555,P07195,P01861,P01877
1215,1,0.217120219,-0.091096683,-0.121013054,0.111380528,-0.011539546,-0.054104759,-0.004267551,0.199541095,-0.616442038,0.118782735,0.229535388,-0.199513968,0.518514066,-0.259635634,-0.42806274,-0.418096758,0.407622228,-0.255452408,0.048274729,0.011286962,0.561555004,-0.190416783,-0.017544853,0.062872735,0.332720218,-0.156940397,-0.544289242,0.050211165,-0.308193767,-0.09756533,-0.175341579,0.030051387,0.740965808,-0.211493434,-0.208834493,0.206621451,-0.082639695,-0.338968808,0.453475767,-0.639386565,-0.764679557,0.531345089,-0.234785324,0.183007427,-0.184295406,0.241316994,0.563107314,0.224428273,0.173260138,0.186837514,-0.87297661,-0.039170561,0.199086152,-0.336428516,-0.115594351,-0.270120365,-0.286046505,-0.170376617,0.092373577,-0.34338992,0.485172808,0.410452819,0.535478699,-0.103058829,-0.237982945,0.644774738,-0.117439093,-0.299537597,0.221417234,-0.665802776,0.013667005,0.639739051,-0.264956275,-0.352717479,-0.689785314,-0.569711585,-0.606699926,0.184213186,0.277165139,0.140004101,-0.64320707,0.60504542,-0.655139431,0.213213997,0.380677003,-0.360174961,0.129006335,-1.378681922,0.054702514,0.750021358,0.383968152,0.535627041,0.400110167,0.073993719,0.097687226,-0.066636079,0.333558458,0.188636521,0.519863352,0.114388944,-0.225090017,0.395745099,-0.385618566,0.118994739,-0.065183164,0.33117086,-0.165408857,-0.596475009,0.818458218,0.437911095,0.362296003,0.257933245,-0.232964972,0.180758578,0.314849248,0.390569388,0.312567941,0.821546413,0.46549098,0.813457074,0.655484363,0.092078975,-1.055810996,-1.032717425,-0.020876663,0.503518659,0.545742389,0.480579717,-1.178212852,0.659413359,0.474873797,-0.15313868,0.127821565,-1.638472321,0.054378243,0.250099884,0.359376431,0.682387656,0.038093323,-0.83214583,0.228335981,0.769010245,-0.348030838,-0.180156787,0.236551353,-0.595784652,0.324552117,-0.167952559,-0.465130145,0.348722292,-0.666105051,-0.89103386,0.338053741,-0.222554937,0.17280499,-0.955139253,-0.077488607,-0.611013722,-0.179701899,0.597730266,-0.55880158,0.252922495,-0.158541189,-0.916407244,0.317192679,0.904960087,0.040863387,0.278389354,0.40855517,0.144854048,-0.190087548,0.51851722,-0.185135166,0.192202795,-0.008942404,-1.083888477,-0.766811889,0.27647115,-0.507968967,0.40977801,0.135558996,0.784940066,0.171683867,0.355713316,0.592370252,0.345752095,0.027204976,0.231558625,-0.795093448,0.178119143,-0.311924071,-0.037223169,0.85924094
1272,1,0.217120219,-0.091096683,0.078316484,-0.105580571,-0.011539546,-0.054104759,0.412818585,-0.198290715,-0.616442038,0.118782735,0.229535388,-0.199513968,0.518514066,-0.186265635,0.433198634,0.203250766,0.407622228,-0.255452408,0.048274729,0.290865916,0.054495254,0.327274431,0.175286775,-0.173369575,0.002681582,0.668554,-0.376457013,0.110618394,-0.825531677,-2.029952062,0.608482261,-0.156376436,-0.055630749,0.16086585,-0.107587166,0.012159278,-0.963322813,0.550176192,0.268657288,0.108078785,0.386986434,0.622533345,0.608650131,0.459464548,0.353407482,0.125951578,0.175046033,-0.715645839,0.067335825,0.07380279,-1.59917357,0.705948623,0.264929677,0.341718015,0.285818302,-0.127053039,-0.024533207,0.498754612,-0.20585214,0.29784389,-0.227254023,0.037126403,-0.485891806,0.728613282,0.419421117,0.108047505,0.259602302,0.085118514,-0.073251688,-0.088570546,0.37833766,0.255068578,0.261632422,0.15410051,0.197920808,0.047488773,-0.772178582,-0.170314355,-0.720273316,-0.191223396,-0.300773413,0.067049353,0.368445695,-0.065498777,-0.156565822,0.597893671,-0.046680699,-0.248487177,0.071000378,0.01450033,-0.600500181,-0.151825401,0.465563693,-0.345047608,0.650042813,0.394854866,-0.329878511,-0.358163362,-0.579932084,-0.292101985,0.455985423,-0.059242888,0.632831928,-0.319876939,0.038610078,-1.137711889,-1.025242126,0.248795048,0.379875136,0.195846833,-0.216446112,0.45778984,-1.011276712,-0.858122074,-0.520967005,-0.749532842,0.01219164,0.689128034,0.573120875,0.264153186,-0.629050077,-0.088125824,-0.536842239,0.364785181,-1.527060487,-0.010192971,0.460128997,-0.497045802,0.172785611,0.448504849,0.358662977,-0.04120835,0.639047302,-0.749424887,-1.398118388,0.322643301,0.033261645,-0.26780098,0.248216954,-0.814671105,0.143102671,0.430154111,0.25465567,-0.748110294,-0.272506384,0.245501041,-0.423786009,0.479606736,0.010312798,0.289538231,-0.520703675,0.004325328,-0.331614625,-1.03425419,0.349620151,0.219241653,0.653973627,0.015248253,0.76242906,0.252229745,-0.378332445,-0.207571547,0.329998501,0.246145265,0.291974388,-0.585051106,0.695481205,-0.547290916,-0.486121442,-0.602064102,0.440025064,0.173667407,0.325032368,0.133975212,-0.218671931,-0.027542874,-0.029745072,0.418781493,0.316488737,-0.318028058,1.045698347,0.905568558,0.235128008,0.577021605,0.649299966,-0.950901797,0.669439005,-0.093362169,0.258065907,0.509359549,0.071098347,-0.611234889,-0.206295852
1290,1,0.217120219,-0.091096683,-0.366048206,0.111380528,0.309685484,-0.054104759,0.412818585,-1.143237632,-0.616442038,0.409638234,0.769214899,0.123669132,-0.902624809,-0.914691367,-0.516309627,0.203250766,-1.101789939,0.472506989,0.048274729,-0.088209497,-1.088183297,-0.085513744,-0.581975832,0.03726861,-0.83515828,-0.255506151,-1.07890286,-0.147978302,-0.846531362,0.964480545,0.385055524,0.219450195,0.152336853,-0.598523616,0.130378984,0.628625038,-0.984696139,-0.479317328,0.403222509,-0.271415136,-0.355738407,-0.603811928,-0.366943284,-0.645977987,0.170087113,-0.367096767,0.514598641,0.794490918,-0.513994525,0.311744058,0.473143396,-0.624168876,0.87268225,0.374070621,0.882199833,0.213400609,-1.360790993,-0.004931929,0.832434348,-0.698813366,0.296200055,-1.17779868,0.129092653,0.301656932,-0.375819749,-1.095861918,-0.211412309,-0.011009284,-0.585420073,-0.487075149,-0.660843587,-0.648980069,1.445326886,-0.476156161,-0.060131227,-0.360534365,-0.04279864,-0.485405339,-0.086148818,0.676661175,-0.239715402,-0.45610923,0.28923303,-0.485003974,-0.217513324,0.136412245,0.250448458,1.102494625,-0.187976127,0.535115027,-0.200123837,0.510233003,0.100383744,-1.047623616,0.222598598,-0.294524231,-0.087024334,-1.029251711,-1.236621822,0.839779045,0.041420878,0.896036299,-0.538123702,-0.414331112,-0.89011401,-0.038116809,-0.822815356,0.264913228,0.877617544,-0.237782269,-0.290098726,-0.726566224,0.186103474,0.180758578,0.610953201,-1.521104092,-0.570449358,-0.28510981,1.094917315,-0.274550674,0.126419625,0.337071701,0.619453613,0.122439138,0.243842748,-0.045991637,-0.593916749,0.893050882,-1.220983231,0.239899282,0.842194462,1.423517733,-0.185640747,-0.093113764,-0.403500571,-0.818189477,0.359376431,0.10159651,-0.247963848,0.633620073,0.228335981,0.838085238,-0.434885195,-0.180156787,0.998960468,0.327923245,0.207085648,0.02445716,-0.512914237,0.064897948,0.419638897,-0.174136886,-1.114351796,0.178861486,1.293515495,0.219241653,0.356770143,-0.148163033,-0.206034709,0.015909755,-0.129093248,-0.924277618,-0.141387428,0.010985584,0.337913199,0.366325854,0.595036254,1.306877021,0.613001432,0.400811619,-0.034617545,-0.511816307,0.158141283,0.514979139,-0.380826877,0.520132682,-0.160431867,0.823268446,-0.774173202,0.840054553,0.320219591,0.719014295,0.382296676,-0.378864183,-0.329450908,1.026812348,0.870898381,0.911150752,0.741109129,-0.128497781,0.163165984,0.46326826,0.696661978
1353,1,-0.258170989,0.355741101,-0.121013054,0.111380528,-0.379053036,0.348916367,-0.004267551,0.199541095,-0.135711721,-0.531004158,0.229535388,0.473113567,0.518514066,-0.413924371,0.433198634,-0.265977469,0.407622228,-0.255452408,-0.427909487,0.425104529,0.054495254,0.488355706,0.267035865,0.159910053,0.240623314,0.282886755,-0.281849744,0.450745589,0.292185704,-1.130144427,-0.175341579,-0.452433558,1.025029792,0.060259813,0.404174177,-0.530617176,0.195588742,0.4053844,0.354211634,0.757213562,0.236619245,0.063090273,0.245383758,0.219589123,0.04804059,0.050034783,-0.24685576,-0.131930838,-0.057873965,-1.412530416,-1.810158537,-0.431057949,-0.380583415,0.341718015,-0.005518073,-0.979261528,0.051406372,0.296664012,-0.101453401,0.350985606,0.296200055,0.222010746,0.375625557,-0.233448316,0.290835469,0.407397646,0.236853228,-0.028122962,0.569940183,-0.623134318,0.35651447,0.42701296,-0.329543691,-1.467042485,-0.327937883,-0.082440507,-0.264149597,0.134815814,0.43844929,-0.132821386,0.249976547,-0.386383604,0.28923303,-0.018461724,0.440619885,0.43947111,-0.886320381,-0.316663754,0.469966074,0.340996985,-0.600500181,-0.318756813,0.067516101,-0.19872508,0.514493654,0.509929267,0.144688628,-1.672384843,0.298775329,-0.169996631,0.243958266,0.079273264,0.185028035,0.214053292,0.193559539,-0.320412631,0.241183549,-0.169270049,0.114994484,-0.18194227,-0.393256765,0.657141371,-0.232964972,-0.10445981,-0.069533487,-0.333280496,-0.796109539,0.689128034,0.168965569,-0.236557438,-0.310643748,-0.132433748,0.079451758,-0.672220367,-0.129701194,0.20850342,0.326859715,-0.224954635,-0.658788174,-0.419028148,0.415391665,-1.297758634,-0.120763203,0.522905923,-0.245730181,0.051220747,-0.438669207,0.652258094,0.388783605,0.270694069,-0.223530973,0.614129918,-0.453972421,0.095960145,-0.216800393,0.14660315,0.135115184,0.974271433,-0.076415264,0.759105162,-0.245344013,-0.174136886,0.071722026,-0.421187614,-0.899852855,-0.192299933,0.512747225,-0.26223868,-0.014721054,0.101999492,0.163740517,0.062691904,0.410024841,0.668654748,0.404431373,0.83554221,0.390161768,0.519833818,-0.089371038,-0.0140428,0.807623551,0.33481092,0.244630945,0.008274115,-0.340120503,0.357226467,-0.029745072,0.63623504,0.027629117,-0.567338899,0.443114111,-0.282574682,-0.003139753,-0.144329956,-0.102056689,0.050155889,0.553893601,-0.428417698,0.541336791,0.235173128,-0.095802497,-0.91279782,0.256250838
15,1,0.217120219,-0.091096683,-0.121013054,0.111380528,-0.379053036,0.348916367,-0.004267551,0.199541095,-0.135711721,0.118782735,-0.232106203,0.123669132,-0.902624809,0.558289714,-0.516309627,-1.817440864,0.258426682,0.472506989,1.085902045,0.119091256,-0.196799611,0.01371077,0.413228268,0.418589637,0.332720218,-0.799608257,-0.201814389,0.261361638,0.327478315,-0.805325977,0.525813419,0.632635714,-0.092800878,0.720902894,-0.594368726,-0.047056414,0.337497947,-1.097218551,0.22346414,0.294314231,-0.603805918,-0.275820665,-1.022464902,0.079552356,-0.75236724,0.64697713,0.474568412,-0.576345112,0.548368395,-0.335483196,0.53793252,0.640983475,0.164017062,-1.404555337,0.586352258,0.468402589,0.127946732,-0.470119144,0.496420433,-0.147849706,0.822707384,0.559762273,0.073699942,0.409306932,-0.818423577,0.673326632,-0.551650295,-2.007540112,0.115053515,0.371660617,-1.287671799,0.759950548,-0.203687965,-0.245437027,-1.143055487,-1.202463718,-0.063172243,0.280380424,0.148239558,-0.478142675,0.125635911,0.251922266,-1.153919912,0.292158107,-0.139233801,-1.162321924,0.426162389,-0.120963278,0.105223335,-0.623053428,0.431594598,0.481217772,0.48210535,0.120159181,-0.567680869,-1.051945149,0.250063151,0.613212918,-0.034665646,0.0783554,0.080183022,0.502156564,0.344232781,-0.279201534,0.488967164,0.430112321,0.661497083,0.122527728,-0.51052097,-0.764635396,0.320058803,0.047467422,0.578554568,-0.27693667,0.314849248,-1.228206111,0.29131084,0.137775209,0.282407145,1.049522042,-0.448000525,-0.692306617,0.054695316,0.769717274,0.343697355,0.20850342,-0.057843256,0.391736296,0.013298245,1.13697427,0.555327354,-0.084304155,0.453475678,-0.11453566,-0.269033194,1.289795568,1.192835563,0.123819924,-0.177339611,0.414826774,0.304391066,-0.000465354,-0.331795556,0.626003515,-0.459230014,-0.109478164,-1.199505632,-0.167952559,-0.32606926,0.643825171,-0.262848682,-0.778630818,-0.153378916,0.446669282,-0.46047533,-0.955139253,-1.619277554,-0.041583353,0.615602381,0.597730266,-0.576329037,0.357517943,-0.80135585,0.263412041,0.317192679,0.003170456,0.261296231,-0.136117716,-0.053188785,0.144854048,-0.292615343,0.366462017,0.022697879,0.945313768,0.14000456,0.331275968,-0.253319061,-0.552029865,-0.710025563,0.672780933,0.877349086,1.216957242,-0.530191431,0.782510925,0.009429137,0.428612402,0.336799366,0.252046833,0.635963347,0.5433136,-0.524681738,0.401648162,-0.499262852
1502,1,0.217120219,-0.091096683,-0.121013054,-0.372290145,0.570993448,-0.054104759,0.412818585,-0.634922763,-0.135711721,0.409638234,0.045004767,0.123669132,-0.406552786,-0.098148832,-0.516309627,-0.177070089,-0.836594354,0.472506989,0.048274729,0.590891977,0.054495254,-0.085513744,0.267035865,0.500501847,-0.948229485,0.342202268,-0.349651097,-0.503329038,-0.029482292,0.779404963,-0.051258519,0.030051387,0.208693229,-1.676733161,0.216848055,-0.29685306,0.5597859,-0.011687329,0.615357148,-0.044770511,-0.065406893,0.263124757,0.060321975,-0.023784033,0.073520512,0.328902979,0.563107314,0.980991658,-0.606281441,0.07380279,0.11608111,-0.147598351,0.164017062,-0.160697204,0.02656252,-0.164426406,-0.052229053,0.162888669,0.207179541,-0.424016932,0.446795878,-0.617463145,-0.205848973,0.789684871,-0.199538268,-1.224939266,0.12496314,0.242953672,-0.510560176,-0.510140115,-0.145305249,-0.396514419,0.566124713,-0.843500373,0.167279085,-0.37977625,-0.541871598,-0.012158177,-0.388437379,0.282544619,0.292472509,0.081795379,0.142100416,0.2682953,-1.298760785,-0.248759597,0.426162389,0.170962139,-0.407985633,0.482378302,-0.780440053,-0.131661115,0.384688518,0.091689702,0.342113905,0.293205637,0.07852922,-0.398909656,-0.639493055,-0.403058079,0.20378592,0.381899406,0.185028035,0.17152421,-0.382855587,0.312109616,-0.669535802,-0.251634202,-0.116051606,0.158343053,0.274323556,-0.575797057,0.049460794,0.006463755,0.962887849,0.509903516,0.606492505,0.483175089,0.520109972,-0.332120851,0.232544947,1.201276318,0.148025334,-0.494799902,-0.803371129,0.24401907,-0.192633556,0.236559944,-0.806882928,0.253424986,0.390163355,0.513206397,0.167595821,-0.450141232,-0.525588587,-0.245783101,-0.438669207,0.6256357,-0.28297499,-0.117365804,0.592808881,0.658439036,-0.072624953,-0.723221302,0.795275086,-0.019336484,-0.149871984,-0.199407809,0.154643722,0.687499466,-1.241435557,-0.591767008,-0.283392914,0.334444588,-0.260678853,-0.955139253,0.277172831,-0.120394269,0.395790119,-1.135152931,-0.001695207,-0.023178976,0.295524304,-0.198513488,0.337913199,-0.258110707,-0.381001483,0.746485351,0.233103719,0.087425185,0.420656569,0.249064667,0.010477373,-0.167614375,-1.089149456,0.384099804,-0.766811889,0.445809446,0.04777577,-0.244649864,0.166244228,0.085488689,-0.40169789,-0.304467242,0.031984769,0.003218376,-0.461758386,0.8857626,1.145294481,0.159721914,0.020354193,1.153854975,0.401588861
1507,1,-0.258170989,0.355741101,0.078316484,-0.105580571,-0.379053036,0.348916367,-0.004267551,0.199541095,0.115625548,0.118782735,0.045004767,-0.199513968,-0.406552786,0.372741924,0.941052884,0.791463293,-0.016960977,-0.593534541,-0.427909487,0.011286962,-0.257602318,0.488355706,-0.202804732,-0.37052662,-0.520704292,0.591068841,-0.839079406,-0.255534112,-0.487953921,-0.677666355,-0.998792821,0.030051387,1.05377859,0.512519127,-0.665039008,-0.09868265,-1.211879472,0.4053844,-0.083624839,0.421418692,0.236619245,0.091892202,0.138326765,0.25080545,0.386911577,-0.092487462,-0.074635568,-0.296082427,0.280681447,0.656610871,0.292431443,0.199525449,-1.135528075,0.954538333,-0.033672676,-0.885821226,-0.552204884,0.230071269,-0.579416769,1.032012841,0.088767485,-1.310695048,-0.512679432,0.119867405,-0.139100479,0.08489518,0.493185178,-0.040642487,0.530251752,-0.487075149,0.581230533,-0.193375736,-0.062410419,0.25512383,0.672301794,0.490772864,-0.974738504,-0.597746142,0.555063015,-0.376715285,-0.516743631,-0.178903748,0.77823849,-0.525018777,0.849867912,0.832837366,-0.484876179,0.000489885,0.241419522,-0.258959184,-0.740685306,-0.570113722,-0.211405327,-0.032318609,0.587404045,0.071320537,-0.192192262,-1.011009969,-0.256833785,-0.403058079,-0.120614597,-0.282801224,0.514238458,-0.582244658,0.552751849,-0.838133178,-0.413731455,0.163765142,0.096988353,-1.363986668,0.414271323,0.695392206,-0.341554622,-0.715629119,-0.919117596,-0.838589398,0.091065161,-0.559871272,-0.515084,0.156197639,-0.448000525,-0.378464421,0.501755266,-1.555517737,-1.053630345,-0.077483133,0.110699871,0.35453687,0.690873566,0.42600883,0.415391665,0.27079064,0.52325287,0.154858537,-0.367006922,-0.980567262,-0.538701645,-0.63023766,0.227002996,-0.971046271,0.464928277,0.907924678,0.72875342,-0.802606987,-0.259495645,0.379828104,-0.149871984,0.441007765,0.857487869,0.248419769,0.715379069,0.681340912,-0.242814315,-0.072148309,-0.156169513,0.361075583,0.965837104,1.078913821,0.272566595,0.597730266,0.087872357,-0.082227984,-0.060565422,-0.033030002,0.133399523,-0.601625657,0.281467834,-0.396432518,0.56575839,0.211194901,0.17778815,0.192753426,0.532984415,-0.236644328,0.409875659,-0.353213627,0.023029713,0.796625908,0.254722004,0.218857433,0.054285966,-0.793270541,-0.036449162,-0.099678098,0.231907296,-0.292056821,0.12420927,0.005517364,0.258065907,0.291302189,0.087119837,0.833971371,0.696661978
1508,1,0.217120219,-0.091096683,-0.121013054,-0.372290145,0.570993448,-0.054104759,0.412818585,-0.198290715,0.115625548,0.118782735,0.229535388,-0.199513968,-0.088213121,0.775147524,0.177191002,-0.284387829,0.258426682,-0.464202151,-0.335609957,-0.088209497,0.206983558,0.488355706,-0.364910596,0.159910053,-0.177110023,0.458341328,-0.349651097,-0.255534112,-0.456962692,0.341848911,-0.410287073,-0.279976682,0.091327715,-0.171523719,-0.208834493,-0.43756593,0.248369739,0.44363748,0.011143694,0.600423948,0.432817653,-0.74098781,0.245383758,0.11361017,0.386911577,0.371386383,-0.074635568,0.394524625,-0.057873965,0.027443996,-0.028303722,0.535622209,-0.160804999,0.093887335,-0.350767868,0.313514689,0.419591023,0.320538882,-0.478292481,-0.020719284,0.026595563,-0.421875734,-0.391258943,0.222254796,-0.123826418,0.325654957,0.152467013,0.188126472,0.131482435,-1.28847156,0.205900983,-0.018189262,0.189892744,0.110319251,0.46102925,0.398084667,-0.772178582,0.111980314,-0.432781199,0.705868702,-0.425748915,0.093196183,0.439682769,0.028298494,0.264058818,0.471095562,-0.374210209,-0.454639475,-0.169985189,0.113715172,-0.033019257,-0.3459711,-0.470785069,0.031604482,0.618138118,0.34815637,-0.007797119,-0.398909656,-0.510800087,-0.60809665,0.455985423,0.03500202,0.334871601,0.103721555,-0.33809179,-0.164342998,-0.222749013,-0.638860719,-0.03908088,-0.380551872,0.511456252,0.420466086,0.025284176,-0.10445981,-0.274934819,-0.166057059,-1.213373192,0.157563159,0.075067318,-0.357503962,-0.198390428,0.275815622,-0.478175588,0.738548353,-0.471905707,-0.105120732,-0.008811799,-0.44696181,0.156558974,-0.207117977,0.009421706,0.241915352,0.340755797,-0.026679597,-0.269033194,-1.154862781,-0.678888502,-0.613193135,0.101431343,-1.044111952,-0.090427361,0.513033905,0.311607022,-0.607501072,0.752694661,-0.295778559,0.284005172,0.348399981,0.341895192,0.443665296,-0.135534235,-0.012091131,-0.283392914,-0.222554937,-0.117939538,-0.37897599,0.691908628,0.529001682,0.583413305,-0.040380922,-0.067902439,0.045214833,0.15103082,-0.093994014,-0.776249357,0.117474739,0.420145739,-0.015459025,-0.155132869,-0.409448464,0.754843708,-0.257727171,0.262690067,-0.533205069,-0.340120503,-0.465375806,-0.348853752,0.796625908,0.403586414,-0.733386785,-0.550790406,0.151805022,-0.40169789,-0.035408226,0.16774827,-0.547410931,0.317193951,0.167284711,0.146835374,0.443531102,0.667894535,0.583840999,-0.032209892
1542,1,0.217120219,-0.091096683,0.078316484,-0.105580571,-0.011539546,-0.054104759,-0.004267551,0.199541095,-0.360664029,0.118782735,0.045004767,-0.199513968,0.518514066,-0.747408503,0.177191002,0.137704543,-0.113976285,-0.011477462,0.202070188,0.119091256,-0.023012131,0.132878647,-0.202804732,-0.0147394,-0.802356725,0.526551225,-0.544289242,0.110618394,-0.250288444,0.522941139,0.196575941,-0.539296214,0.330807568,-0.257455068,-0.322842087,0.147363244,-0.942832415,0.193408099,0.268657288,-0.201272979,0.19669071,-0.243827853,0.16458957,0.11361017,-0.106259682,0.205630539,0.563107314,0.305571068,-0.131106413,0.264921888,-0.297714531,0.199525449,0.164017062,0.198958392,-0.248654109,-0.195750868,-0.286046505,0.451982375,-0.579416769,0.006445678,0.155375386,-0.753329226,-0.060086157,0.634633648,-0.199538268,-0.686689378,0.12496314,0.004573,-0.387128717,-0.280318309,0.226247369,-0.648980069,0.81692925,-0.283239486,0.135639187,0.526038447,-0.718301341,-0.393496784,-0.432781199,0.332664525,-0.300773413,0.483752354,0.387199046,-0.359475237,-0.334621642,0.471095562,-0.408354939,0.20634795,-0.224672568,-0.304347406,-0.863071685,-0.643365533,0.62177813,0.073993719,0.403999368,0.214265291,-0.065556908,-0.785862326,-0.825040276,-0.459654371,0.294689174,0.381899406,0.152391671,-0.564954074,-0.282869709,-0.146567679,-0.197269435,-0.376004724,0.379875136,0.04305139,0.400869897,-0.207164524,-0.341554622,0.352432813,0.122679847,-0.541119235,0.20197732,0.285554913,0.24482832,0.093536374,0.232544947,0.337071701,0.343706327,0.722717932,0.040474455,0.177507976,0.016123321,-1.051762762,0.110681833,-0.433962673,0.306633417,-0.04120835,-0.053918775,-0.18923315,-0.501115261,-0.077570354,-0.538701645,-0.058095956,-0.141841201,-0.348251001,-0.278543356,0.719171603,0.180853353,-0.050945763,0.795275086,-0.058940131,0.092386453,0.564409911,-0.036551375,0.48506556,-0.206145323,0.790645568,-0.628540971,-0.726123124,-0.531137049,-0.955139253,0.632604403,-0.370976836,0.395790119,0.069983241,0.350785732,-0.1225785,0.135764066,-0.404337135,-0.225198336,-0.920637114,-0.093441676,0.278389354,0.034326052,-0.111476846,0.544633825,-0.576306578,0.451434491,0.493017734,-0.721210726,0.044247349,-0.605835702,0.121030249,0.53618734,0.111472068,-0.916867732,0.462924528,-0.262754603,-0.099678098,0.705360473,0.428612402,0.027204976,0.517119665,0.978556007,0.571456532,0.163165984,0.98220023,0.401588861
1558,1,-0.258170989,0.355741101,0.078316484,-0.372290145,-0.379053036,0.701176832,0.412818585,-0.634922763,-0.616442038,0.409638234,0.229535388,0.123669132,0.310209318,-0.337204528,0.177191002,0.468632215,-0.016960977,-0.011477462,0.202070188,0.290865916,0.132860405,0.614237644,-0.364910596,-0.475215884,-0.483062325,0.729221055,-0.623099627,-0.998655407,-1.281063819,0.219172679,-0.904391564,0.055885063,0.208693229,0.543756084,0.092906808,0.074893607,-1.11401357,-0.043411056,0.050643266,0.465109516,0.236619245,0.305762441,0.189017285,-0.023784033,0.427511873,0.580138755,0.175046033,0.021874208,-0.022397166,-0.173725082,-0.243527072,0.485444752,0.49889095,0.676569923,0.124456575,-0.095161155,-1.011974106,0.162888669,0.145750902,0.442056768,0.296200055,0.180704185,-0.413963332,0.301656932,-0.49162097,0.08489518,0.152467013,0.020148315,0.50472214,-1.002609256,0.508084318,-0.214574073,0.566124713,-0.262760396,0.445539293,0.081443285,-1.303110516,-1.798497661,0.529786261,0.114737622,-0.403808898,-0.075564585,0.97567388,-0.888973215,1.028899581,0.666010698,-0.392429344,-0.371142712,0.148971011,-0.258959184,-0.304042291,-0.268143936,0.052090391,-0.786948407,0.277014473,0.12414433,-1.705506395,-0.135807468,-0.327880242,-0.090717351,0.024517267,0.431904481,0.543264255,-0.695542236,0.26232178,-0.320412631,-0.222749013,0.287985151,0.253540596,-1.204876408,-0.484176716,0.714010605,-0.232964972,-1.180246097,-0.031544939,-0.220069721,0.158774862,-0.202938243,0.445141099,-0.472791514,-1.121504078,-0.088125824,0.247934293,-0.51756351,-1.23822985,0.371274373,0.136236874,0.599867808,0.645456477,0.659413359,0.180065763,0.241915352,0.617853785,0.080568435,-0.081364334,-0.203556014,-0.829364387,-0.613193135,0.434289021,-0.117365804,0.328053567,0.430154111,0.675580865,-0.449965095,0.301602915,-0.234358913,-0.903294633,-0.167952559,0.722184301,-0.002817857,0.518092356,0.681340912,-0.834056471,-1.03425419,-0.004236369,0.062394451,0.897001893,0.379969835,0.260530449,0.712277138,-0.438413431,0.271384095,0.349817395,-0.216245131,0.052419392,-0.432417157,0.676482065,-0.176901969,0.792365767,0.651756208,0.56906145,0.115489314,0.665604661,0.133975212,0.203381748,-0.123176157,-0.160431867,0.380997759,0.58265831,-0.338411355,-0.157023477,0.784940066,0.022579549,-0.497621889,-0.143383296,-0.463325354,0.943199223,0.555112702,0.24252991,-0.105976897,-0.171215953,0.243217106,-1.757042134
