"","Overall"
"P61626",100
"Q96S86",88.356
"P25311",82.878
"O60664",82.518
"Q6WN34",82.349
"P02790",80.849
"G3XAM2",75.229
"P01023",73.544
"Q13228",73.02
"P07195",70.94
"Q9NR31",70.792
"Q99541",68.084
"P05067",65.141
"P02647",64.843
"P01042",63.979
"P20061",63.738
"P04066",62.811
"J3KS22",62.232
"P02748",61.925
"P02766",60.261
"P08697",59.22
"P02751",58.522
"P04792",56.292
"Q9H173",55.385
"P08603",55.207
"P05155",54.886
"P02763",54.611
"Q9H4G4",54.333
"P01877",52.371
"P02787",52.013
"Q15904",51.784
"P60174",51.377
"P10909",50.831
"P36955",50.596
"P04075",50.58
"P04114",50.161
"Q5H9A7",49.783
"E9PJK1",49.392
"V9HW75",48.572
"P0C0L5",48.555
"P02760",47.316
"P00441",46.856
"P04745",46.476
"P28799",46.085
"P04217",45.994
"O15498",45.406
"P00450",43.773
"P30041",43.38
"P15328",43.032
"H0YCU0",41.936
"P49189",41.582
"P25774",40.513
"P14550",40.386
"P00558",40.206
"P53634",39.814
"P19835",39.415
"P00747",39.41
"S4R3V8",37.384
"P30086",37.101
"Q6PCB0",37.006
"S4R371",36.988
"P02675",36.768
"P0C0L4",36.594
"P61224",36.041
"Q12841",35.567
"Q9UHD0",35.333
"P02749",35.181
"P01011",32.458
"P62820",32.242
"P45877",31.638
"Q13410",31.581
"F5GZD9",30.818
"Q6UXI9",29.577
"P01009",29.148
"P84077",29.105
"O75874",28.845
"P22897",28.361
"P18065",28.115
"Q14697",27.93
"Q14118",27.884
"P06727",27.668
"P06858",27.582
"P06733",27.279
"P01591",27.246
"P01019",27.241
"P08571",27.146
"Q96KP4",26.381
"P19652",26.326
"P19875",26.132
"O14745",25.634
"P62258",25.044
"Q9NP72",25.024
"P16278",25.013
"Q99497",24.791
"P04003",24.779
"P02750",24.406
"Q08431",22.992
"P50591",22.409
"P01833",22.376
"P00709",22.081
"D6RHI9",21.853
"P01861",21.305
"P01008",21.268
"P50395",21.242
"Q9HB40",20.823
"P43490",20.73
"P05090",20.583
"P19827",20.462
"P60953",20.322
"A0A0C4DGN4",19.812
"P49327",19.766
"Q68D85",19.454
"P02765",19.014
"P47710",18.986
"A0A0C4DH38",18.837
"P14625",18.673
"Q08380",18.243
"P51148",18.15
"O00300",18.108
"A6NNI4",17.95
"P15291",17.79
"P17900",17.769
"P23284",17.429
"O00299",17.176
"Q02818",17.055
"P15311",16.977
"P17066",16.958
"P47989",16.668
"Q14624",14.919
"P01034",14.802
"P10451",14.74
"P18669",14.514
"Q92876",14.409
"Q02487",14.303
"P31946",14.115
"Q5T985",14.047
"Q9P2X0",13.599
"P03950",13.401
"P08238",13.059
"Q9BY76",12.202
"P01133",12.096
"P13639",11.34
"P34096",10.917
"P02768",10.688
"P27797",10.619
"P02788",10.089
"P63104",10.086
"P07237",9.7003
"P54802",9.4796
"P51149",9.2414
"P04004",8.8854
"P07602",8.7115
"O00560",8.5823
"P01024",8.559
"P02671",8.4892
"P22079",8.3441
"P62937",8.2226
"Q02809",7.8184
"P63000",7.2286
"P07498",6.207
"E9PNW4",6.1633
"X6R3G6",6.0917
"Q16651",6.0073
"P02649",5.969
"P01876",5.9243
"P01859",5.9174
"P61586",5.7413
"O00592",5.4521
"A0A087X1J7",5.4332
"E7EU05",4.9316
"P00738",4.6137
"Q6X4U4",4.4007
"P36871",3.919
"P63313",3.6759
"Q9BRK5",3.4566
"P58499",3.4084
"Q14512",3.2174
"P61769",2.9861
"P11021",2.8483
"P07900",2.8091
"Q16851",2.6362
"P23280",2.453
"Q16555",2.342
"P07858",2.0488
"P23528",1.7403
"O00391",1.6304
"P07737",1.1941
"D6RC73",1.0595
"P04406",1.0328
"A0A075B7B8",0.96657
"P05814",0.90654
"P40925",0.79768
"Q9NZH0",0
