"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"P00709",0.043815,0.01597,-0.04055,0.019875,0.014554,-0.027502,-0.052504,0.053764
"P05814",-0.0099563,0.022117,-0.10921,0.095841,-0.0050324,-0.056166,0.1034,-0.03316
"P47710",-0.067147,0.0084377,0.10631,-0.073428,0.049983,-0.00035933,-0.00029711,-0.074665
"P07498",0.0058586,-0.023181,0.083595,-0.081301,-0.044148,0.035698,-0.023212,0.0093587
"P02788",0.038681,-0.0053992,-0.085974,0.04989,0.018504,-0.007356,-0.040326,0.056706
"P02768",-0.0024158,-0.014183,-0.009421,-0.0056146,-0.045452,0.054247,-0.018784,-0.0086133
"P01876",0.046741,0.0083477,-0.12019,-0.032395,0.0075699,-0.033269,-0.049742,-0.021188
"P19835",0.033186,0.023365,0.024285,0.043891,0.0020695,-0.072468,0.12879,0.026688
"P61769",0.0022765,-0.021779,0.11825,-0.089536,0.082937,-0.016988,0.040738,-0.057563
"P61626",-0.19435,-0.07212,0.11703,0.029443,-0.078205,0.098465,-0.019774,-0.0055622
"P01591",0.05886,0.026729,-0.11611,0.039111,0.047593,0.011689,-0.069512,-0.025602
"P01833",0.042333,0.015461,-0.049114,0.024353,0.010115,-0.072506,0.061195,-0.024009
"P10451",0.016303,0.015415,0.027847,0.01141,-0.061631,0.046123,-0.10869,0.064193
"P02647",-0.10431,-0.05225,0.14401,-0.13611,8.0772e-05,-0.054139,0.14337,0.014143
"P47989",-0.086394,0.070687,-0.060695,0.0084131,0.070099,-0.014645,0.054183,-0.066616
"S4R371",-0.10269,-0.012745,0.057779,-0.02892,0.19789,0.10532,-0.29227,-0.0074084
"P22897",0.065154,-0.017235,0.12164,-0.089262,-0.051129,-0.012201,0.099805,-0.096052
"P10909",0.12263,0.0010815,-0.086205,0.079265,-0.036151,-0.094056,0.030828,-0.002364
"P08571",-0.031585,-0.018564,-0.0054947,0.013201,-0.041491,-0.0027305,0.014158,0.066516
"Q08431",0.050979,0.010983,-0.018948,-0.050419,0.0026072,0.116,0.027647,-0.16614
"Q6WN34",0.13702,0.033017,0.12384,-0.14197,0.0081657,-0.015659,0.0875,-0.13733
