"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1215",1.2781,-1.7767,-1.0185,-0.91252,-1.3373,0.26406,0.15906,0.16283
"1272",-0.89022,1.2769,-0.30909,-0.38019,-2.5956,0.57758,0.65192,0.14617
"1290",-0.19437,-2.2523,-1.676,2.2346,-0.35251,1.1623,-2.233,1.3691
"1353",0.45661,1.4434,-1.2298,-1.3632,-1.0705,0.22892,-0.06989,-1.0272
"15",0.21319,-4.0846,0.061033,-0.7857,-1.6351,-1.0533,1.8886,0.86705
"1502",1.1477,-0.78817,-1.8352,-0.77107,-0.94905,1.6212,-1.1593,-0.51427
"1507",-2.9374,0.6955,-0.62798,0.37097,0.0557,2.5746,0.74545,-1.0096
"1508",-1.0416,0.88086,-0.65922,-0.053025,-0.97758,1.0312,0.05246,-0.89084
"1542",0.22571,0.997,-0.32602,0.53776,-1.9549,0.07424,-2.782,-1.7488
"1558",-1.8894,0.73361,0.021348,1.3604,-1.0294,1.4587,-1.0009,-1.4878
"1589",-0.92171,2.949,-0.26434,0.38414,-2.4918,-0.33274,-1.1021,0.0025694
"1603",0.39507,-1.9237,-0.79703,0.10602,0.23995,-0.38413,-1.3087,-0.62109
"1632",0.47275,-5.5064,-1.3215,1.6286,-0.37083,1.7014,-0.2349,1.9042
"1681",-0.72503,-1.1176,-0.53269,0.91525,-1.3709,1.0007,-0.42191,0.10633
"1695",0.30569,-2.8338,-1.8161,1.295,0.59908,1.2939,-0.95055,-0.042814
"188",0.41836,-1.6301,0.18419,-0.86146,-1.8423,-2.0988,1.4226,-0.25844
"197",-0.068485,0.36764,-0.43777,-1.1186,-2.3283,-1.8957,0.69798,1.9969
"200",0.021594,-1.2282,-0.38633,-2.6241,0.20553,0.9378,2.4391,-0.89092
"203",0.11973,2.8063,-0.97629,-2.1307,-1.0425,-0.70154,1.0968,-1.3441
"28",-1.0297,0.55415,0.23817,-0.12283,-1.1936,-0.85387,1.2928,-0.0031793
"310",-0.32107,-4.8894,1.0415,-1.4393,-0.30622,-0.11425,0.2357,1.5891
"339",-0.77507,-1.8964,0.24355,-0.53138,0.85918,-2.348,-0.36499,1.0012
"348",-1.5018,0.37806,0.32324,-2.7503,1.5883,0.32537,-0.9739,-1.0301
"382",-1.4851,0.8184,-0.11888,-2.3641,0.7844,0.43986,-1.6019,0.41491
"394",-2.1611,-1.8158,0.71238,-1.6457,1.2658,1.3852,-0.80544,-0.76439
"399",-0.99911,-1.1472,0.12145,-2.9775,1.8133,-0.39189,-0.5309,0.71156
"601",-0.67407,-2.8742,0.35275,-1.3794,1.0112,0.14756,-0.74573,0.32947
"635",-1.318,-4.6778,1.9476,-1.6736,-0.58273,1.1094,-0.80733,-0.50755
"638",1.0933,-0.84792,0.72037,-2.9796,-1.0207,-0.84178,-1.5155,-0.2492
"665",-0.7923,-2.6013,0.71098,-2.5837,0.67595,-1.145,-0.83676,1.1335
"71",1.5454,-2.9658,-1.4223,-0.12637,-0.3459,0.26866,-0.77286,-0.40841
"720",-1.1105,0.016748,0.31734,-2.3124,0.89986,0.25286,-1.4744,0.57273
"762",-1.2958,-4.2372,2.3865,-3.5379,-0.88937,2.2062,0.11806,-0.79187
"90",0.58526,0.35974,-0.58456,-2.1564,-0.97447,-1.5024,2.0892,-0.38408
"908",-1.149,-2.9961,-0.92395,1.053,1.4708,0.46167,2.1916,0.012348
"913",-2.2259,4.9247,-1.176,-0.66897,-0.2673,-1.0309,-0.19948,1.1332
"931",0.70393,0.33213,-0.689,-1.386,0.61785,-2.4601,-0.85541,-0.31625
"932",-3.6558,3.6667,0.51332,1.7227,-0.25328,-0.39207,-0.60057,-0.75345
"936",-1.8376,-0.82142,-0.24666,1.1428,0.84802,-0.35764,0.48709,-0.54437
"938",-2.8064,2.5753,-0.74055,1.1219,0.68621,-1.3944,0.12384,-0.40552
"945",-0.76016,-1.3968,-0.77092,1.0129,0.60475,-0.6262,-0.030563,-0.7594
"946",-2.9411,-2.0135,0.018173,1.2937,0.9807,-0.37129,1.7936,-0.034323
"954",-1.9855,-2.4712,-0.16038,2.717,0.57406,-1.0159,0.26648,-0.29957
"966",-3.1167,-0.0872,0.088537,0.79987,-0.31861,-0.52408,1.5158,0.46786
"971",-2.1574,0.87928,-0.82183,0.47524,1.0319,-0.040846,0.71484,-0.2236
