"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"P61626",2.7816,2.3758,2.2868,2.1852,2.1285
"Q96S86",2.4586,2.1225,1.8992,1.8337,1.788
"P25311",2.3066,2.0988,1.8167,1.756,1.8007
"O60664",2.2967,1.962,1.7269,1.656,1.6131
"Q6WN34",2.292,1.9728,1.7077,1.7197,1.6761
"P02790",2.2503,1.9372,1.8375,1.7821,1.7399
"G3XAM2",2.0944,1.8077,1.6026,1.578,1.5375
"P01023",2.0477,1.754,1.5333,1.5346,1.495
"Q13228",2.0332,2.0131,1.7726,1.6928,1.6592
"P07195",1.9755,1.6919,1.7623,1.6814,1.6462
"Q9NR31",1.9714,1.7025,1.4803,1.4136,1.3771
"Q99541",1.8962,1.6195,1.4155,1.3579,1.3317
"P05067",1.8146,1.5502,1.3747,1.3131,1.3424
"P02647",1.8063,1.5592,1.3869,1.3963,1.3706
"P01042",1.7823,1.5224,1.3458,1.3123,1.289
"P20061",1.7757,1.5638,1.377,1.3942,1.4191
"P04066",1.7499,1.5826,1.5503,1.4837,1.5536
"J3KS22",1.7339,1.5514,1.4013,1.3979,1.3635
"P02748",1.7254,1.4851,1.3357,1.2755,1.2653
"P02766",1.6792,1.4725,1.5296,1.4602,1.4473
"P08697",1.6503,1.5632,1.3829,1.328,1.2966
"P02751",1.631,1.4102,1.3171,1.2649,1.2353
"P04792",1.5691,1.6703,1.7554,1.6753,1.6352
"Q9H173",1.5439,1.3762,1.1974,1.1425,1.1228
"P08603",1.539,1.3167,1.2032,1.1722,1.1807
"P05155",1.5301,1.3306,1.2203,1.1832,1.1568
"P02763",1.5225,1.3092,1.1464,1.1269,1.0982
"Q9H4G4",1.5147,1.3036,1.1718,1.1182,1.0896
"P01877",1.4603,1.2563,1.0907,1.1401,1.1277
"P02787",1.4504,1.2542,1.0873,1.0459,1.0239
"Q15904",1.444,1.469,1.276,1.2689,1.2507
"P60174",1.4328,1.3516,1.2875,1.2449,1.3086
"P10909",1.4176,1.2242,1.1346,1.0899,1.0991
"P36955",1.4111,1.3057,1.1954,1.1419,1.155
"P04075",1.4106,1.4759,1.2898,1.2319,1.2024
"P04114",1.399,1.3622,1.211,1.1578,1.1282
"Q5H9A7",1.3885,1.1992,1.0685,1.022,0.99953
"E9PJK1",1.3777,1.2235,1.1607,1.1075,1.1009
"V9HW75",1.3549,1.1651,1.3488,1.2999,1.2673
"P0C0L5",1.3545,1.255,1.3478,1.3892,1.3962
"P02760",1.3201,1.1273,1.0533,1.0049,1.0338
"P00441",1.3073,1.3412,1.2359,1.2122,1.1888
"P04745",1.2968,1.1111,0.96357,0.92024,0.8965
"P28799",1.2859,1.3892,1.2025,1.2344,1.2105
"P04217",1.2834,1.2034,1.2791,1.2309,1.1994
"O15498",1.2671,1.0983,0.95073,0.91044,0.89164
"P00450",1.2218,1.0516,0.91091,0.86907,0.90296
"P30041",1.2109,1.2879,1.1467,1.1592,1.1295
"P15328",1.2012,1.0545,0.91471,0.87602,0.86106
"H0YCU0",1.1708,1.0848,0.97864,1.0574,1.0705
"P49189",1.161,1.1782,1.272,1.2284,1.2087
"P25774",1.1314,1.2783,1.1073,1.0577,1.0367
"P14550",1.1279,1.2416,1.1839,1.1297,1.1007
"P00558",1.1229,1.2815,1.2253,1.2053,1.1742
"P53634",1.112,0.95392,0.97976,0.93481,0.95594
"P19835",1.1009,1.0249,1.0231,1.0012,0.97688
"P00747",1.1008,1.0232,0.88658,0.902,0.90577
"S4R3V8",1.0446,0.8932,0.79496,0.9374,0.97757
"P30086",1.0367,1.0165,0.94105,0.90176,0.88121
"Q6PCB0",1.0341,0.9308,0.96535,0.98383,0.96051
"S4R371",1.0336,0.9175,1.0791,1.0518,1.1272
"P02675",1.0275,1.2273,1.294,1.2386,1.2928
"P0C0L4",1.0227,1.0318,1.2214,1.4042,1.5809
"P61224",1.0073,0.86471,0.74927,0.77667,0.76941
"Q12841",0.99417,0.85598,1.3817,1.479,1.4537
"Q9UHD0",0.98766,0.9036,0.8513,0.86921,0.84877
"P02749",0.98345,1.1802,1.1191,1.1113,1.0825
"P01011",0.90791,0.84207,0.74576,0.77667,0.76993
"P62820",0.90193,0.80283,0.70742,0.74608,0.73554
"P45877",0.88517,0.77948,0.74606,0.72747,0.71254
"Q13410",0.88358,0.78484,0.81596,0.79778,0.77948
"F5GZD9",0.86241,0.74441,1.2465,1.2232,1.2387
"Q6UXI9",0.82799,0.76236,1.0424,0.99507,0.96944
"P01009",0.8161,0.70202,0.70716,0.86755,0.90493
"P84077",0.8149,0.96996,0.84949,0.93589,0.91816
"O75874",0.80768,1.0776,1.1059,1.1251,1.1156
"P22897",0.79426,0.68191,0.60131,0.74678,0.74262
"P18065",0.78744,0.67241,0.6169,0.75181,0.73571
"Q14697",0.78231,0.67747,0.7919,0.84165,0.86941
"Q14118",0.78102,0.68582,0.62068,0.68958,0.67193
"P06727",0.77504,0.71145,0.64945,0.70208,0.72673
"P06858",0.77264,0.68474,0.62804,0.63572,0.62336
"P06733",0.76425,1.2318,1.2125,1.1697,1.143
"P01591",0.76333,0.65274,0.74511,0.74139,0.72526
"P01019",0.76318,0.66109,0.57281,0.66581,0.70525
"P08571",0.76056,0.68111,0.60867,0.5854,0.59819
"Q96KP4",0.73934,0.89927,1.0699,1.0219,1.0081
"P19652",0.7378,0.66006,0.7073,0.7928,0.77225
"P19875",0.73243,0.73952,0.64904,0.63705,0.62957
"O14745",0.7186,0.62149,0.58832,0.66529,0.84164
"P62258",0.70223,1.184,1.0627,1.0601,1.0327
"Q9NP72",0.70168,0.74799,0.64907,0.71011,0.71503
"P16278",0.70137,0.81508,0.78055,0.745,0.73787
"Q99497",0.69523,1.3034,1.2087,1.18,1.1536
"P04003",0.69488,0.63373,0.94791,0.93005,1.0052
"P02750",0.68454,0.75897,0.86521,0.89643,0.8732
"Q08431",0.64532,0.55251,0.54185,0.52316,0.54102
"P50591",0.62914,0.54036,0.76206,0.73437,0.71968
"P01833",0.62824,0.53707,0.49985,0.48794,0.47531
"P00709",0.62004,0.52952,0.5131,0.49068,0.4829
"D6RHI9",0.61372,0.541,0.48762,0.48535,0.51119
"P01861",0.59851,0.54208,1.466,1.5151,1.5409
"P01008",0.5975,0.6711,0.58218,0.60981,0.69037
"P50395",0.59676,0.81482,0.91012,0.89575,0.87256
"Q9HB40",0.58515,0.82265,0.71863,0.68568,0.7354
"P43490",0.58256,0.98636,0.93288,0.89926,0.90509
"P05090",0.5785,0.91223,0.94114,0.8984,0.90399
"P19827",0.57512,0.72687,0.65609,0.63765,0.70404
"P60953",0.57124,0.5529,0.53229,0.50814,0.63052
"A0A0C4DGN4",0.55709,0.66539,0.69428,1.0291,1.0039
"P49327",0.55582,1.109,1.0332,0.98703,0.96543
"Q68D85",0.54716,0.52187,0.45223,0.54447,0.58806
"P02765",0.53495,0.50306,0.47409,0.49022,0.48333
"P47710",0.53418,0.52222,0.61152,0.62151,0.61883
"A0A0C4DH38",0.53004,1.095,1.2416,1.2032,1.1765
"P14625",0.52551,1.1514,1.7201,1.7261,1.704
"Q08380",0.51357,0.77896,0.819,0.80746,0.81414
"P51148",0.51099,0.51688,0.44905,0.70121,0.771
"O00300",0.50984,0.44581,0.67454,0.76013,0.7417
"A6NNI4",0.50546,0.792,1.4658,1.4173,1.3864
"P15291",0.50101,0.42943,0.38941,0.62083,0.60475
"P17900",0.50043,0.727,0.66385,0.66378,0.66327
"P23284",0.49098,0.43002,0.73111,0.74864,0.74527
"O00299",0.48396,0.64893,0.58803,0.57321,0.62107
"Q02818",0.48062,0.50157,0.91621,0.91487,0.89408
"P15311",0.47846,0.62265,0.55837,0.63936,0.62279
"P17066",0.47793,0.61646,0.53415,0.78085,0.767
"P47989",0.46988,0.61479,0.54081,0.55819,0.59828
"Q14624",0.42136,0.54539,0.5258,0.73169,0.72536
"P01034",0.41813,0.41601,0.41612,0.60958,0.61532
"P10451",0.4164,0.37563,0.32579,0.33078,0.39318
"P18669",0.41011,1.0408,0.92803,0.88704,0.87349
"Q92876",0.40723,0.35139,0.69997,0.66815,0.65217
"Q02487",0.40428,0.6443,0.64889,0.77588,0.75641
"P31946",0.39906,0.77748,0.70785,0.7579,0.7491
"Q5T985",0.39718,0.55679,0.538,0.88949,0.86825
"Q9P2X0",0.38474,0.38537,0.4415,0.48975,0.53831
"P03950",0.37924,0.55813,0.92373,0.88144,0.93014
"P08238",0.36977,0.85568,1.0106,0.96733,0.97197
"Q9BY76",0.346,0.32008,0.71598,0.72169,0.76169
"P01133",0.34305,0.81699,0.711,0.68248,0.68529
"P13639",0.32208,1.1516,1.0877,1.038,1.0115
"P34096",0.31034,0.39505,0.80436,0.79954,0.83855
"P02768",0.30399,0.31166,0.3082,0.29906,0.29458
"P27797",0.30207,0.2792,0.36622,0.52851,0.51482
"P02788",0.28738,0.29265,0.36057,0.41008,0.40005
"P63104",0.28729,0.78504,0.79826,0.77838,0.75986
"P07237",0.27659,0.45773,0.90763,0.92221,0.90735
"P54802",0.27046,0.45637,0.42004,0.42614,0.50109
"P51149",0.26386,0.6458,0.69647,0.80562,0.8119
"P04004",0.25398,0.54561,0.47359,0.47464,0.47345
"P07602",0.24916,0.65,0.61145,0.58342,0.5685
"O00560",0.24557,0.70965,0.74688,0.71749,0.74115
"P01024",0.24493,0.67829,0.64771,0.74886,0.78003
"P02671",0.24299,0.53204,0.47552,0.65909,0.75902
"P22079",0.23897,0.20435,1.307,1.2471,1.2228
"P62937",0.2356,0.85744,0.9319,0.8904,0.87416
"Q02809",0.22438,0.96817,1.1799,1.1332,1.1045
"P63000",0.20802,0.44159,0.5914,0.56789,0.58761
"P07498",0.17968,0.22642,0.196,0.42226,0.41517
"E9PNW4",0.17847,0.27564,0.37747,0.43374,0.4226
"X6R3G6",0.17648,0.69088,0.61917,0.68113,0.66411
"Q16651",0.17414,0.53047,0.49785,0.59585,0.616
"P02649",0.17308,0.57602,0.63973,0.62497,0.61411
"P01876",0.17184,0.5439,1.3308,1.2975,1.2774
"P01859",0.17164,0.15701,0.42402,0.68626,0.75247
"P61586",0.16676,0.70231,0.64327,0.61474,0.67501
"O00592",0.15874,0.14844,0.94727,0.9644,0.95465
"A0A087X1J7",0.15821,0.3478,0.40389,0.38596,0.3764
"E7EU05",0.1443,0.21677,0.37115,0.74406,0.92066
"P00738",0.13548,0.52682,1.0402,1.0346,1.1563
"Q6X4U4",0.12957,0.43216,0.68529,0.79264,0.78551
"P36871",0.11621,0.7505,0.98295,1.056,1.0615
"P63313",0.10946,0.65634,0.79933,0.76356,0.77853
"Q9BRK5",0.10338,0.47225,0.40889,0.75765,0.73858
"P58499",0.10204,0.47995,0.46195,0.48144,0.4691
"Q14512",0.096743,0.60354,0.69221,0.70209,0.86171
"P61769",0.090326,0.085737,0.42193,0.48261,0.49325
"P11021",0.086503,0.12832,0.26969,0.33041,0.37071
"P07900",0.085417,0.98952,1.2128,1.1884,1.1742
"Q16851",0.080621,1.0536,1.0955,1.0706,1.0447
"P23280",0.075538,0.56602,0.66869,0.64269,0.73979
"Q16555",0.072458,0.94107,0.82531,0.85602,1.0243
"P07858",0.064325,0.71149,0.72456,0.69608,0.6781
"P23528",0.055766,0.8035,0.94964,0.91606,0.91173
"O00391",0.052717,0.40282,0.4457,0.58569,0.63881
"P07737",0.040616,0.92101,1.0086,0.96977,0.94992
"D6RC73",0.03688,0.20146,0.79372,0.7676,0.76753
"P04406",0.036139,0.86778,1.0214,0.98636,0.96109
