sample,group,other
a1,1,1210
a2,1,1243
a3,1,1259
a4,1,1260
a5,1,1270
a6,1,129
a7,1,1291
a8,1,1306
a9,1,1307
a10,1,1310
a11,1,1312
a12,1,1331
a13,1,1345
a14,1,137
a15,1,151
a16,1,1525
a17,1,1696
a18,1,185
a19,1,194
a20,1,202
a21,1,305
a22,1,323
a23,1,324
a24,1,327
a25,1,346
a26,1,350
a27,1,355
a28,1,357
a29,1,359
a30,1,57
a31,1,667
a32,1,699
a33,1,759
a34,1,76
a35,1,767
a36,1,924
a37,1,94
a38,1,979
b1,2,119
b2,2,1247
b3,2,1277
b4,2,1304
b5,2,1325
b6,2,1326
b7,2,1335
b8,2,1336
b9,2,147
b10,2,1503
b11,2,1559
b12,2,1594
b13,2,1640
b14,2,1643
b15,2,1657
b16,2,187
b17,2,19
b18,2,312
b19,2,341
b20,2,343
b21,2,348
b22,2,389
b23,2,717
b24,2,719
b25,2,729
b26,2,736
b27,2,901
b28,2,909
b29,2,921
b30,2,943
b31,2,965
b32,2,966
b33,2,983
b34,2,987
b35,2,989
b36,2,990
b37,2,994
b38,2,998
c1,3,1215
c2,3,1272
c3,3,1353
c4,3,15
c5,3,1558
c6,3,1603
c7,3,188
c8,3,197
c9,3,200
c10,3,203
c11,3,28
c12,3,310
c13,3,339
c14,3,382
c15,3,394
c16,3,399
c17,3,601
c18,3,635
c19,3,638
c20,3,665
c21,3,71
c22,3,720
c23,3,762
c24,3,90
c25,3,908
c26,3,913
c27,3,931
c28,3,932
c29,3,936
c30,3,938
c31,3,945
c32,3,946
c33,3,954
c34,3,971
c35,3,985
c36,3,986
c37,3,993
c38,3,995
