sample,group,P00709,P05814,P47710,P07498,P02788,P02768,P01876,P19835,P61769,P61626,P01591,P01833,P10451,P02647,P47989,S4R371,P22897,P10909,P08571,Q08431,Q6WN34,Q13410,P23280,P01859,P01034,P49327,H0YCU0,P02763,P01009,P01011,P04745,P25311,P15328,V9HW75,Q08380,P15291,P00738,Q16851,P07602,Q99541,P06733,P18065,P62937,P02649,P04406,F5GZD9,P02787,P01024,Q02818,D6RC73,P0C0L5,Q6X4U4,Q92876,P63104,P02750,P06858,P06727,P04075,O00391,O60664,P04004,Q12841,P19652,P25774,Q96KP4,P22079,P23528,P60174,Q9NP72,Q9BRK5,P50395,P04114,P20061,P43490,P00558,O75874,P00450,P05155,P60953,P02790,P53634,O00300,P14550,P04217,Q99497,P36871,Q9H173,P50591,P15311,P00747,P08697,Q14697,Q96S86,P02671,P49189,P07900,P01008,Q9BY76,Q14624,P01133,P31946,Q9HB40,P13639,P01042,P61224,Q6PCB0,P02748,P07237,Q14118,Q6UXI9,P02675,P51148,Q5T985,P02760,G3XAM2,P01023,P05067,P54802,Q02809,P17900,P36955,P02751,D6RHI9,P04003,P02766,Q5H9A7,A0A087X1J7,E7EU05,Q9NR31,P04066,A6NNI4,A0A0C4DGN4,Q9UHD0,P51149,P01019,S4R3V8,P16278,P02749,P62820,O00560,P27797,E9PJK1,P84077,P45877,P0C0L4,Q68D85,P02765,P63313,P61586,P28799,P18669,P04792,P08603,P19827,O00592,P14625,P30041,J3KS22,P08238,P23284,P30086,Q9H4G4,P07737,Q13228,P11021,A0A0C4DH38,O00299,P07858,Q15904,E9PNW4,P63000,P05090,P62258,Q9NZH0,O15498,Q9P2X0,P17066,P00441,P40925,P58499,P03950,Q14512,Q02487,P34096,P19875,Q16651,O14745,A0A075B7B8,X6R3G6,Q16555,P07195,P01861,P01877
1695,1,0.395726726,-0.166034248,-0.220560296,0.203003903,-0.021032158,-0.098612184,-0.007778105,0.363686738,-1.123536954,0.216495281,0.418354808,-0.363637296,0.945051892,-0.47321599,-0.780193883,-0.762029728,0.742938684,-0.465591577,0.08798628,0.020571795,1.023498982,-0.347056624,-0.031977526,0.114592835,0.606421102,-0.286042036,-0.992030134,0.09151566,-0.561718808,-0.177824105,-0.31958032,0.054772131,1.350495936,-0.385471259,-0.380625031,0.376591507,-0.150620408,-0.61780988,0.826512066,-1.16535601,-1.393716988,0.968437917,-0.427923425,0.333552214,-0.335899707,0.439828149,1.026328248,0.4090465,0.315786653,0.340532992,-1.591100901,-0.071392881,0.362857552,-0.613179904,-0.210684082,-0.492325627,-0.521352859,-0.310531101,0.168361534,-0.625867869,0.884283591,0.748097764,0.9759719,-0.187836643,-0.43375146,1.175176579,-0.214046338,-0.545941936,0.403558534,-1.213502611,0.024909697,1.165998457,-0.482913475,-0.642868426,-1.257213562,-1.038365296,-1.105780828,0.33574985,0.505165542,0.255173676,-1.172319323,1.102765299,-1.194067432,0.388607184,0.693827894,-0.65646055,0.235128975,-2.512807356,0.099701662,1.367000724,0.699826393,0.97624227,0.729247084,0.134862117,0.178046274,-0.121451966,0.607948892,0.34381189,0.947511122,0.208487088,-0.410252605,0.721291243,-0.702834463,0.216881683,-0.11880386,0.603597217,-0.301476785,-1.087144734,1.491734822,0.79814365,0.660326394,0.47011319,-0.424605623,0.329453427,0.573849192,0.71185791,0.569691245,1.497363415,0.848411181,1.482619658,1.194696109,0.167824588,-1.924337727,-1.882247023,-0.038050134,0.917721028,0.994678663,0.875912151,-2.147429276,1.201857161,0.865512451,-0.279112967,0.232969595,-2.986305423,0.099110642,0.455835983,0.655005136,1.243730476,0.06942949,-1.516682079,0.416168751,1.401610168,-0.63432648,-0.328356593,0.431142216,-1.085886477,0.591533794,-0.306112975,-0.847753519,0.635586734,-1.214053543,-1.624012327,0.616142065,-0.405632129,0.314957093,-1.740851826,-0.141231953,-1.113643221,-0.327527508,1.089432584,-1.018480549,0.460980517,-0.288959665,-1.670258256,0.578120366,1.649394489,0.074478251,0.507396815,0.744639079,0.264013267,-0.346456554,0.945057641,-0.337430265,0.350311838,-0.016298567,-1.975512186,-1.397603411,0.503900666,-0.925832229,0.746867846,0.247071958,1.43064411,0.312913716,0.648328685,1.079663339,0.630173206,0.049584216,0.422042392,-1.449149824,0.324642751,-0.568517717,-0.067843533,1.566066053
1681,1,0.395726726,-0.166034248,0.142740855,-0.19243281,-0.021032158,-0.098612184,0.752409647,-0.361407776,-1.123536954,0.216495281,0.418354808,-0.363637296,0.945051892,-0.339490677,0.789554645,0.370448043,0.742938684,-0.465591577,0.08798628,0.530136793,0.099323907,0.596495525,0.319480433,-0.315986115,0.004887493,1.218517036,-0.686136474,0.201614824,-1.504627019,-3.699822556,1.109029339,-0.285014152,-0.101393477,0.293196629,-0.19609006,0.022161691,-1.755767311,1.002759781,0.489658999,0.196986093,0.705327561,1.134639066,1.109335302,0.837427312,0.644126036,0.229561327,0.319041653,-1.304347363,0.122727334,0.134514126,-2.914678901,1.286673064,0.482864996,0.622820629,0.520936932,-0.231568866,-0.044714609,0.909038,-0.375189348,0.542854959,-0.414196757,0.067667165,-0.885594047,1.327982027,0.764443524,0.196929082,0.473155238,0.155138342,-0.133509679,-0.16143007,0.689564171,0.464892003,0.476855368,0.280866013,0.360733577,0.086553785,-1.407384829,-0.310417623,-1.312781475,-0.348526769,-0.548194354,0.122205206,0.671534919,-0.119379102,-0.285359329,1.08973041,-0.085080977,-0.452896637,0.129406406,0.02642853,-1.094481074,-0.276719364,0.84854371,-0.628889197,1.184778254,0.71966869,-0.601241763,-0.652794177,-1.056993339,-0.532389672,0.831086204,-0.10797702,1.153409426,-0.583012739,0.070371335,-2.073611584,-1.868622426,0.453457767,0.692366399,0.356953518,-0.394498089,0.834374962,-1.843168841,-1.564026789,-0.949522658,-1.366110346,0.022220675,1.256015594,1.04457912,0.481449752,-1.146516564,-0.160619513,-0.978457108,0.664863208,-2.783244463,-0.018577869,0.838638347,-0.905923497,0.314921772,0.817451992,0.653704784,-0.075106986,1.164737665,-1.365913586,-2.548232564,0.588054755,0.060623198,-0.488098279,0.452404124,-1.484832369,0.260821179,0.784005648,0.464139429,-1.363517589,-0.496674421,0.447454059,-0.772399046,0.87413878,0.018796268,0.527716933,-0.949042709,0.007883411,-0.604406032,-1.885047955,0.637223186,0.399593286,1.191942619,0.027791706,1.389615197,0.459717901,-0.689554665,-0.378323167,0.601460458,0.448628232,0.532157111,-1.066323348,1.267594983,-0.997501031,-0.886012587,-1.097331501,0.801996602,0.316528947,0.592409107,0.244185329,-0.398554901,-0.050200076,-0.054213835,0.763277736,0.57683735,-0.579642942,1.905906254,1.650503497,0.428548006,1.051688652,1.183424331,-1.733128571,1.22013006,-0.170163357,0.470354981,0.928366725,0.129584966,-1.114046323,-0.375998064
1652,2,0.395726726,-0.166034248,-0.667165218,0.203003903,0.564437633,-0.098612184,0.752409647,-2.08368289,-1.123536954,0.746613089,1.401983173,0.225401306,-1.645138174,-1.667130873,-0.941034047,0.370448043,-2.008139673,0.861198671,0.08798628,-0.160772017,-1.983339993,-0.155858695,-1.060718305,0.067926355,-1.522172617,-0.46568953,-1.966425323,-0.269707581,-1.542901375,1.757877411,0.701808254,0.399973377,0.277651544,-1.090878556,0.237630787,1.145741882,-1.79472267,-0.8736113,0.734919687,-0.494685496,-0.648374417,-1.100517118,-0.668796602,-1.17736964,0.310003447,-0.669076342,0.937915577,1.448051644,-0.936814506,0.568189623,0.862358595,-1.137620012,1.590564395,0.681786997,1.607911292,0.388947307,-2.480199067,-0.008989011,1.517207936,-1.273668233,0.539858878,-2.1466744,0.235286301,0.549804669,-0.684974986,-1.997335168,-0.3853234,-0.020065695,-1.066995833,-0.887750827,-1.204463917,-1.182841282,2.634275516,-0.867849708,-0.109596121,-0.657115604,-0.078005475,-0.884707405,-0.157016191,1.233293301,-0.436909063,-0.831311857,0.52716067,-0.883975871,-0.396443206,0.248627104,0.456471299,2.009424044,-0.342608245,0.975309065,-0.364748852,0.929958696,0.18296099,-1.90941528,0.405711705,-0.536804496,-0.15861192,-1.875930357,-2.253886383,1.530594497,0.075494344,1.633129851,-0.980792722,-0.755166401,-1.622335794,-0.069472296,-1.499676209,0.482835016,1.599559539,-0.433385704,-0.528738501,-1.324251028,0.339195119,0.329453427,1.113532913,-2.772388242,-1.039709972,-0.519645624,1.995613519,-0.500400378,0.230414396,0.614352184,1.129025898,0.223159498,0.444431628,-0.083825081,-1.082482008,1.627688584,-2.225383241,0.437244205,1.534996874,2.59452581,-0.338351745,-0.169710611,-0.735426487,-1.491245009,0.655005136,0.185171397,-0.451942809,1.154845911,0.416168751,1.527507337,-0.792628596,-0.328356593,1.820721061,0.597678065,0.377437558,0.044576004,-0.934845556,0.118284022,0.764840455,-0.317384627,-2.031035111,0.325995758,2.357581687,0.399593286,0.650254874,-0.270044274,-0.375522101,0.02899737,-0.235287384,-1.684602925,-0.257694951,0.020022498,0.615885912,0.667671264,1.084522435,2.381934614,1.117266052,0.730525562,-0.063094482,-0.932844452,0.288230789,0.938609079,-0.694101057,0.948002008,-0.292405644,1.500502019,-1.411020255,1.531096641,0.583637264,1.310486764,0.696779935,-0.690523818,-0.600462407,1.871484335,1.587313087,1.660677691,1.350757155,-0.234202077,0.297388888,0.844360017,1.269747078
1632,1,-0.470546505,0.648379326,-0.220560296,0.203003903,-0.690868025,0.635940458,-0.007778105,0.363686738,-0.247350317,-0.96781653,0.418354808,0.862304229,0.945051892,-0.754425069,0.789554645,-0.484774718,0.742938684,-0.465591577,-0.779914562,0.7748022,0.099323907,0.890084791,0.486703767,0.291454577,0.438563836,0.51559385,-0.513703777,0.821535999,0.53254226,-2.059819008,-0.31958032,-0.824612519,1.868235421,0.109830483,0.736654212,-0.967111212,0.356483117,0.738859984,0.645591695,1.380109349,0.431265958,0.114989324,0.447240297,0.40022659,0.087559535,0.091194182,-0.449923191,-0.24045922,-0.105481999,-2.574500154,-3.299223421,-0.785652998,-0.693657319,0.622820629,-0.010057327,-1.784817464,0.093694062,0.540704494,-0.184910564,0.639711886,0.539858878,0.404640277,0.684621049,-0.425486572,0.530081301,0.742529357,0.431692418,-0.051257353,1.038781942,-1.135734408,0.649788881,0.778280537,-0.600631514,-2.673854708,-0.597704743,-0.150257364,-0.48144321,0.245717423,0.799124573,-0.242082347,0.455611186,-0.704228833,0.52716067,-0.033648629,0.803080732,0.800986957,-1.615421467,-0.577156339,0.856567558,0.621506468,-1.094481074,-0.580971181,0.123055908,-0.362199456,0.937724226,0.929405103,0.263711768,-3.048114919,0.544552615,-0.309838534,0.444642173,0.144484697,0.337235007,0.390136897,0.35278466,-0.583989101,0.439584929,-0.308514253,0.209590755,-0.331610843,-0.716755965,1.197716199,-0.424605623,-0.190390093,-0.126732827,-0.607442274,-1.451001768,1.256015594,0.307959304,-0.431153307,-0.566184181,-0.241375832,0.144810023,-1.225199413,-0.236395436,0.380021613,0.595739657,-0.410005856,-1.200717688,-0.763727293,0.757099383,-2.365315298,-0.220104914,0.95305656,-0.447871693,0.093355739,-0.799525396,1.188815861,0.708603114,0.493371269,-0.407411067,1.119322848,-0.827417276,0.174898469,-0.395143807,0.267201207,0.246263059,1.775722439,-0.139275662,1.383557009,-0.447167857,-0.317384627,0.130721693,-0.76766317,-1.640085966,-0.350488883,0.934541158,-0.477960343,-0.026830824,0.185905878,0.298436042,0.114263251,0.747317724,1.218700661,0.737122982,1.522872374,0.711114976,0.947457293,-0.162889059,-0.025594628,1.471987387,0.610231648,0.445868208,0.015080533,-0.619908979,0.651086578,-0.054213835,1.159611991,0.050357264,-1.0340408,0.807626748,-0.515025059,-0.005722563,-0.263058047,-0.186010126,0.091414913,1.00953519,-0.780840835,0.986648951,0.428630242,-0.174611138,-1.663679665,0.467046808
1603,1,0.395726726,-0.166034248,-0.220560296,0.203003903,-0.690868025,0.635940458,-0.007778105,0.363686738,-0.247350317,0.216495281,-0.423040417,0.225401306,-1.645138174,1.017547613,-0.941034047,-3.312496305,0.471012535,0.861198671,1.979182146,0.217057596,-0.358690067,0.024989465,0.753156341,0.762928056,0.606421102,-1.457378587,-0.367830079,0.476361833,0.596867127,-1.467799793,0.958355808,1.153051804,-0.16914034,1.313928954,-1.083305788,-0.085765759,0.615129066,-1.99980779,0.407289256,0.536421746,-1.100506163,-0.502715083,-1.863560612,0.144993375,-1.371276365,1.179190693,0.864955852,-1.050455665,0.999464861,-0.611456949,0.980444271,1.168266563,0.298940078,-2.55996465,1.068694848,0.853717925,0.233197726,-0.856846546,0.904783689,-0.2694732,1.499479419,1.020231524,0.134326674,0.746009251,-1.491671684,1.22721571,-1.005446504,-3.658974184,0.209698346,0.677394487,-2.346930875,1.385097822,-0.371244888,-0.447337386,-2.08335091,-2.191629286,-0.115138725,0.511025771,0.27018375,-0.871470361,0.228985988,0.459157485,-2.103152581,0.532491961,-0.253769716,-2.118466221,0.776730273,-0.220469573,0.191781706,-1.135586978,0.786631103,0.87707508,0.878692793,0.219004013,-1.03466408,-1.917291775,0.455769031,1.11765151,-0.063182152,0.142811785,0.146142837,0.915238453,0.627404082,-0.508877108,0.891199245,0.783929482,1.205654987,0.223320965,-0.93048355,-1.393636499,0.583344208,0.08651487,1.054482655,-0.504749131,0.573849192,-2.238547776,0.530947719,0.251111262,0.514719705,1.912875382,-0.816532804,-1.26180893,0.099688542,1.40289881,0.626428205,0.380021613,-0.105426029,0.713984734,0.02423759,2.072267188,1.012148369,-0.153654079,0.826511904,-0.208754496,-0.490344132,2.350801689,2.174080859,0.225676141,-0.323221965,0.756069804,0.554787945,-0.000848161,-0.6047358,1.140963853,-0.836999846,-0.199536624,-2.186237831,-0.306112975,-0.594298962,1.173445884,-0.479072142,-1.419144776,-0.279550824,0.814106459,-0.839269578,-1.740851826,-2.95132074,-0.075790474,1.122006581,1.089432584,-1.050426367,0.651617826,-1.460563776,0.480098929,0.578120366,0.005778522,0.47624262,-0.24809029,-0.096942717,0.264013267,-0.533325326,0.667919436,0.041369512,1.722943741,0.255174513,0.60378879,-0.461703305,-1.006138314,-1.294103759,1.226221111,1.599070244,2.21804541,-0.966335241,1.426216721,0.017185694,0.781195705,0.613855823,0.459384522,1.1591168,0.990251913,-0.956293189,0.732050258,-0.909964327
1589,1,0.395726726,-0.166034248,-0.220560296,-0.678541873,1.04070164,-0.098612184,0.752409647,-1.157220215,-0.247350317,0.746613089,0.082026396,0.225401306,-0.740989502,-0.178887606,-0.941034047,-0.322730729,-1.524790028,0.861198671,0.08798628,1.076969012,0.099323907,-0.155858695,0.486703767,0.912222538,-1.728257973,0.623703236,-0.63727959,-0.917375422,-0.053734889,1.420555744,-0.093424583,0.054772131,0.380367562,-3.056040232,0.395230676,-0.541049057,1.020274586,-0.021301509,1.121559617,-0.081599437,-0.119211631,0.47957532,0.109943781,-0.043349153,0.133999641,0.599463743,1.026328248,1.787970826,-1.105018091,0.134514126,0.211571256,-0.269015075,0.298940078,-0.292889252,0.048413267,-0.299686154,-0.095193494,0.296883451,0.377608689,-0.772819929,0.814337194,-1.12539804,-0.375183576,1.439292066,-0.363681587,-2.232593573,0.227759784,0.442811183,-0.930555007,-0.929789397,-0.264835633,-0.722693417,1.031827807,-1.537377047,0.304885492,-0.692186166,-0.987623698,-0.022159685,-0.707972077,0.514970266,0.533064995,0.149081545,0.258994453,0.488999233,-2.367141834,-0.453393154,0.776730273,0.311598283,-0.743601032,0.87919028,-1.422442316,-0.239967619,0.701139343,0.167115092,0.623542184,0.534401205,0.143128591,-0.727059013,-1.165550101,-0.734619995,0.371423423,0.696055865,0.337235007,0.312622724,-0.697798615,0.568855895,-1.220306484,-0.458632455,-0.211517482,0.288598539,0.499986428,-1.049456772,0.09014802,0.011780942,1.754974539,0.929358169,1.10540278,0.880642516,0.947960616,-0.605328686,0.423840077,2.189465113,0.269793302,-0.901830084,-1.464236855,0.444752996,-0.35109695,0.431157874,-1.470637515,0.461896366,0.711117869,0.935378051,0.305462779,-0.82043449,-0.957946025,-0.447968145,-0.799525396,1.140293467,-0.515754667,-0.213912761,1.080462791,1.200081344,-0.132367382,-1.318154521,1.44948088,-0.03524298,-0.273159036,-0.36344381,0.281856081,1.25304734,-2.262659972,-1.078563857,-0.516516382,0.609563966,-0.475117377,-1.740851826,0.505179562,-0.219432488,0.721373297,-2.068947588,-0.003089711,-0.042246366,0.538627246,-0.361813806,0.615885912,-0.470436635,-0.694419296,1.360555943,0.424858504,0.159342517,0.766695278,0.45394918,0.019096226,-0.305496597,-1.985100929,0.700066343,-1.397603411,0.812539308,0.08707687,-0.44590269,0.302999346,0.15581303,-0.732140893,-0.554926784,0.058295942,0.005865863,-0.841608098,1.614404847,2.087431735,0.291111673,0.037097872,2.103034226,0.731942174
1558,1,-0.470546505,0.648379326,0.142740855,-0.19243281,-0.690868025,0.635940458,-0.007778105,0.363686738,0.210740942,0.216495281,0.082026396,-0.363637296,-0.740989502,0.679365293,1.715177789,1.442533446,-0.030913343,-1.08178539,-0.779914562,0.020571795,-0.469510036,0.890084791,-0.369635094,-0.675327646,-0.949043833,1.077291366,-1.529319322,-0.465740492,-0.889352492,-1.235125358,-1.820415505,0.054772131,1.920633432,0.934125422,-1.212110557,-0.179860549,-2.208790587,0.738859984,-0.152415948,0.768084336,0.431265958,0.167484172,0.252116538,0.457121957,0.705191125,-0.168569104,-0.136031961,-0.539644488,0.511574421,1.196749301,0.532990148,0.363658221,-2.06963133,1.739756579,-0.061372349,-1.6145117,-1.006457308,0.419331514,-1.056054117,1.880962837,0.161789015,-2.38889341,-0.934417597,0.218472217,-0.25352672,0.154731291,0.898887062,-0.074075635,0.966445183,-0.887750827,1.059359912,-0.352449658,-0.113750212,0.464992705,1.225347824,0.894490341,-1.776573729,-1.08946152,1.011666582,-0.686607203,-0.94182507,-0.326072785,1.418429712,-0.95690748,1.548982623,1.517942482,-0.88374295,0.000892871,0.440015019,-0.471983082,-1.349984689,-1.039098237,-0.385310674,-0.058904405,1.070611852,0.129989933,-0.35029264,-1.842682672,-0.468109296,-0.734619995,-0.219834061,-0.515437959,0.937259102,-1.061208273,1.007454214,-1.527594713,-0.754073457,0.298480923,0.176772497,-2.486023555,0.755057428,1.267432773,-0.622522826,-1.304316888,-1.675198186,-1.528426226,0.165976795,-1.020430187,-0.938800201,0.284688273,-0.816532804,-0.689795206,0.914507039,-2.835111094,-1.92036324,-0.141221977,0.201763326,0.646184476,1.259197028,0.776450395,0.757099383,0.49354728,0.953688912,0.282247605,-0.668912589,-1.787197314,-0.981846091,-1.148681073,0.41373923,-1.769844208,0.84738559,1.654797798,1.328237447,-1.462844119,-0.472960843,0.692280677,-0.273159036,0.803787689,1.562870878,0.452773778,1.303861143,1.241822663,-0.44255719,-0.131498643,-0.28463701,0.658102038,1.760349896,1.966445301,0.496784163,1.089432584,0.160157539,-0.149870017,-0.110387491,-0.060201001,0.243136068,-1.096532385,0.513007702,-0.722544143,1.031160141,0.384927149,0.324039478,0.351315426,0.971425778,-0.431311673,0.747045824,-0.643772712,0.041974318,1.45194291,0.46426033,0.398893,0.098942455,-1.445827364,-0.066432816,-0.181674868,0.422677886,-0.532307356,0.22638577,0.010056034,0.470354981,0.530931952,0.158785985,1.520009339,1.269747078
1542,1,0.395726726,-0.166034248,-0.220560296,-0.678541873,1.04070164,-0.098612184,0.752409647,-0.361407776,0.210740942,0.216495281,0.418354808,-0.363637296,-0.160778622,1.412796069,0.322951107,-0.51832973,0.471012535,-0.846062142,-0.611687986,-0.160772017,0.377251489,0.890084791,-0.665091793,0.291454577,-0.322803514,0.835380114,-0.63727959,-0.465740492,-0.83286739,0.623059201,-0.747795673,-0.510289904,0.16645533,-0.312621828,-0.380625031,-0.797514546,0.452682593,0.808580648,0.020310672,1.094342132,0.788860263,-1.350536037,0.447240297,0.207067683,0.705191125,0.676894663,-0.136031961,0.719066788,-0.105481999,0.050019858,-0.051586809,0.976233463,-0.29308572,0.171120533,-0.639315034,0.571416804,0.764753199,0.584219208,-0.871743399,-0.037763294,0.048473491,-0.768917349,-0.713114703,0.405085087,-0.225687977,0.593543846,0.277888776,0.342882266,0.239641955,-2.348388531,0.375278371,-0.033152034,0.346101501,0.201069601,0.840279163,0.725555375,-1.407384829,0.204097082,-0.78879382,1.286527399,-0.775976669,0.169860829,0.80137273,0.05157728,0.481277755,0.858626182,-0.682041412,-0.828633057,-0.30981768,0.207259061,-0.060181417,-0.630572368,-0.858060272,0.057602826,1.126628256,0.634555276,-0.014211151,-0.727059013,-0.930992273,-1.108326518,0.831086204,0.063795232,0.610342248,0.189044538,-0.616211415,-0.299534133,-0.405985854,-1.164397596,-0.071229426,-0.693599828,0.932188209,0.766348103,0.046083337,-0.190390093,-0.501100525,-0.302658208,-2.211513065,0.287177093,0.136818875,-0.651592345,-0.361589514,0.502705892,-0.871530348,1.346089844,-0.860102764,-0.191594699,-0.016060524,-0.814639625,0.285346849,-0.377496482,0.01717215,0.440918725,0.621066875,-0.048626654,-0.490344132,-2.104871068,-1.237352862,-1.117615453,0.184870362,-1.903014867,-0.16481433,0.935063665,0.567939859,-1.10724101,1.371873127,-0.539090653,0.517632294,0.634999285,0.623143554,0.808631346,-0.247026828,-0.022037486,-0.516516382,-0.405632129,-0.214958458,-0.690727601,1.261083548,0.964166786,1.063338266,-0.073598904,-0.123760053,0.082409266,0.275271149,-0.171314968,-1.414804287,0.214111307,0.765764232,-0.028175862,-0.282747607,-0.74626721,1.375790015,-0.469737596,0.478783047,-0.971827945,-0.619908979,-0.848201264,-0.635826336,1.45194291,0.735582945,-1.336682289,-1.003879257,0.27668222,-0.732140893,-0.064535589,0.305740636,-0.997719773,0.578122683,0.304895746,0.267624462,0.808386762,1.217315084,1.064117788,-0.058706256
1525,2,0.395726726,-0.166034248,0.142740855,-0.19243281,-0.021032158,-0.098612184,-0.007778105,0.363686738,-0.657351932,0.216495281,0.082026396,-0.363637296,0.945051892,-1.362238494,0.322951107,0.250982466,-0.20773497,-0.020919003,0.368296302,0.217057596,-0.041942271,0.242186712,-0.369635094,-0.026864262,-1.462387987,0.959700545,-0.992030134,0.201614824,-0.456179655,0.953120745,0.358282401,-0.982929761,0.602935077,-0.469241656,-0.588417065,0.268586566,-1.71842119,0.352508643,0.489658999,-0.366843297,0.358491583,-0.444404479,0.299983539,0.207067683,-0.193670568,0.374785455,1.026328248,0.556938635,-0.23895661,0.4828508,-0.542619187,0.363658221,0.298940078,0.362624694,-0.45320089,-0.356778611,-0.521352859,0.823790186,-1.056054117,0.011747993,0.283189622,-1.373029696,-0.109513974,1.156693268,-0.363681587,-1.251570861,0.227759784,0.008334822,-0.705586888,-0.510912559,0.412362014,-1.182841282,1.488948101,-0.516236741,0.247218116,0.958765947,-1.309187322,-0.717193427,-0.78879382,0.606319595,-0.548194354,0.881694649,0.705715071,-0.655185221,-0.609886667,0.858626182,-0.744274135,0.37609302,-0.409491756,-0.554708369,-1.573048027,-1.17260814,1.133262599,0.134862117,0.736335602,0.39052329,-0.119485051,-1.432325036,-1.503731385,-0.837773286,0.537105123,0.696055865,0.277751457,-1.029694181,-0.515562781,-0.267136557,-0.359546375,-0.685312124,0.692366399,0.078466141,0.730631779,-0.37758132,-0.622522826,0.642349589,0.223598219,-0.986252428,0.368127039,0.520456875,0.446227948,0.170480866,0.423840077,0.614352184,0.626444558,1.317237071,0.073769378,0.323528829,0.029386619,-1.916959354,0.20173045,-0.790947194,0.558874889,-0.075106986,-0.098273208,-0.344899315,-0.913340556,-0.141380948,-0.981846091,-0.105886603,-0.258522004,-0.634727752,-0.507677503,1.310773475,0.329626165,-0.09285455,1.44948088,-0.10742521,0.168385001,1.028702381,-0.066619111,0.884088118,-0.375723707,1.441043048,-1.14558866,-1.323443426,-0.96805874,-1.740851826,1.152994735,-0.676148217,0.721373297,0.127552555,0.639347592,-0.223413502,0.247445721,-0.736951223,-0.41045003,-1.677967684,-0.170308269,0.507396815,0.062563202,-0.203179453,0.992658176,-1.050385434,0.822791604,0.898581877,-1.314490012,0.080645915,-1.104205679,0.220591636,0.97726348,0.203170744,-1.67109755,0.843733525,-0.478900673,-0.181674868,1.285601093,0.781195705,0.049584216,0.942510434,1.78353157,1.041545664,0.297388888,1.790173589,0.731942174
1508,1,-0.470546505,0.648379326,0.142740855,-0.678541873,-0.690868025,1.277975922,0.752409647,-1.157220215,-1.123536954,0.746613089,0.418354808,0.225401306,0.565392382,-0.614594276,0.322951107,0.854136446,-0.030913343,-0.020919003,0.368296302,0.530136793,0.242153464,1.11951919,-0.665091793,-0.866135945,-0.880436992,1.329089765,-1.135671181,-1.820165053,-2.334887067,0.399467572,-1.64835829,0.101856995,0.380367562,0.991058391,0.169333409,0.136502266,-2.030418655,-0.079121673,0.092303212,0.847715919,0.431265958,0.557287435,0.344505877,-0.043349153,0.779189864,1.057370019,0.319041653,0.039868275,-0.040821427,-0.316634068,-0.443856272,0.88477924,0.909286492,1.233126982,0.22683651,-0.173442217,-1.844439923,0.296883451,0.265647887,0.805699618,0.539858878,0.329354291,-0.75449608,0.549804669,-0.896036113,0.154731291,0.277888776,0.036722636,0.919914512,-1.827371401,0.92604247,-0.39108608,1.031827807,-0.478911231,0.812046923,0.148439812,-2.375069723,-3.277970126,0.965596773,0.209122595,-0.735988448,-0.137725202,1.77827856,-1.620256564,1.875288559,1.213881573,-0.715247895,-0.676450545,0.271516909,-0.471983082,-0.554152262,-0.488723356,0.094940766,-1.434304544,0.504890936,0.226267408,-3.108482781,-0.247524827,-0.597599687,-0.165342871,0.044685556,0.7871959,0.990161975,-1.26770622,0.478111802,-0.583989101,-0.405985854,0.524886266,0.462107079,-2.196026693,-0.882468099,1.301366958,-0.424605623,-2.1511351,-0.057494302,-0.401102535,0.289385561,-0.369878433,0.811321168,-0.86171725,-2.044070973,-0.160619513,0.451888942,-0.943319395,-2.2568172,0.676690512,0.248307469,1.093328501,1.176419127,1.201857161,0.328190692,0.440918725,1.126110026,0.146845297,-0.148295915,-0.371004392,-1.511612578,-1.117615453,0.791542,-0.213912761,0.597915591,0.784005648,1.231324311,-0.82011346,0.549706217,-0.427146241,-1.646359007,-0.306112975,1.316264466,-0.00513587,0.944283277,1.241822663,-1.520164442,-1.885047955,-0.007721272,0.113721108,1.634889759,0.692538997,0.474846894,1.298207515,-0.799059215,0.494628921,0.637582686,-0.394131777,0.095540408,-0.788130312,1.232966851,-0.322424311,1.444178311,1.187901115,1.03718035,0.21049264,1.213141523,0.244185329,0.370686772,-0.224502801,-0.292405644,0.694412508,1.061962201,-0.616793859,-0.286193458,1.43064411,0.041153842,-0.906973483,-0.26133265,-0.844464078,1.719089739,1.011757142,0.442038828,-0.19315516,-0.312060889,0.443291324,-3.202412629
