feature,Fold Change,log2(FC)
P52823,0.15087,-2.7286
P11908,6.1924,2.6305
P05387,0.16611,-2.5898
Q16555,4.003,2.0011
P24821,0.25578,-1.967
P32119,3.7441,1.9046
P30085,0.30031,-1.7355
O15232,0.34055,-1.5541
P07741,0.39674,-1.3337
P61981,0.40599,-1.3005
P60981,0.41434,-1.2711
P68871,2.2528,1.1717
P62805,2.2084,1.143
P69905,2.1958,1.1347
P25311,1.9576,0.96912
Q13228,0.51326,-0.96225
Q06323,0.52002,-0.94336
P05067,0.53642,-0.89858
P02766,1.8278,0.87012
Q9BWD1,0.55047,-0.86127
O00764,0.55176,-0.85789
O60664,1.8118,0.8574
P02790,0.55368,-0.85288
Q96S86,0.56181,-0.83184
Q99538,1.7656,0.82014
P0C0L5,1.7553,0.81171
P62269,0.57026,-0.8103
G3XAM2,0.57111,-0.80817
Q15181,1.7379,0.79736
P61626,1.6778,0.74659
P27105,1.6743,0.7436
P20061,1.672,0.7416
P0DJI8,1.6309,0.70569
P02748,0.61463,-0.70222
P19440,0.61756,-0.69535
P02647,1.5964,0.67484
Q99541,1.5946,0.67317
P02760,0.6297,-0.66727
Q6WN34,0.63243,-0.66101
P01023,0.63348,-0.65863
Q9NR31,1.5364,0.61951
P31949,1.5112,0.59565
P08697,1.4905,0.57583
P36955,0.67213,-0.57318
P04792,1.4832,0.5687
P30044,1.4796,0.56519
Q9H4G4,1.4743,0.56006
P30041,1.4716,0.5574
P04114,1.4678,0.55365
P04745,0.68483,-0.54619
P28799,1.4541,0.5401
P08238,0.68783,-0.53987
P02751,0.69333,-0.52839
P01861,0.69939,-0.51584
A0A0C4DH68,1.4282,0.51424
P07195,1.4281,0.51413
E9PJK1,0.70245,-0.50954
P31431,0.70436,-0.50561
P13639,0.70687,-0.50048
P01042,0.71241,-0.48922
P61224,1.3895,0.47452
A0A0C4DH31,0.72147,-0.471
P62328,1.3807,0.46543
O14745,1.3765,0.46101
P05155,0.72774,-0.4585
D6RF35,1.374,0.45837
P84077,1.3728,0.45711
P10909,0.73368,-0.44678
P04217,0.7355,-0.44321
P02787,0.74464,-0.42539
V9HW75,1.3424,0.42485
P07900,0.74635,-0.42208
P25774,1.3387,0.42086
I3L397,1.3382,0.4203
P53634,0.74894,-0.41708
P01714,1.3297,0.41111
P36222,1.3293,0.41071
Q96KP4,1.3267,0.40788
P08603,0.75389,-0.40758
P02763,0.75523,-0.40501
Q9H173,0.76117,-0.39371
P60174,1.3136,0.39352
F5GZD9,1.3115,0.39123
O60543,1.3104,0.39001
Q15904,1.3092,0.38873
J3KS22,1.308,0.38739
Q9Y6Y9,0.76457,-0.38728
E5RJB8,1.3023,0.38111
Q6UXA7,1.3006,0.37913
P01008,1.2992,0.37766
Q9UHD0,1.2988,0.37718
P62820,1.2985,0.37687
Q5H9A7,0.77245,-0.37249
D6RHI9,0.77313,-0.37121
P04066,1.2886,0.36583
P02675,1.2816,0.35799
P00441,0.78409,-0.35091
P00450,0.7851,-0.34905
A0A0C4DH36,1.2712,0.34624
P01619,1.2668,0.34125
H0YCU0,0.79286,-0.33486
P08294,1.2612,0.33485
P15311,1.2504,0.32234
P62258,0.80124,-0.31969
P01011,0.80257,-0.31729
Q92520,1.2416,0.31221
S4R371,1.2378,0.30783
Q9Y646,1.2372,0.30712
P36578,0.81088,-0.30245
A0A0C4DH38,1.2281,0.29639
A0A0C4DGN4,1.2173,0.28369
Q5T985,1.2148,0.28071
P60953,1.2143,0.28017
P00491,1.2126,0.27815
P06727,0.82501,-0.27752
P30086,1.2107,0.27589
P49189,1.209,0.27387
Q99519,1.2045,0.26839
Q9UL46,0.83141,-0.26636
Q6X4U4,1.2007,0.26386
O00299,1.2001,0.26312
P19835,0.8352,-0.25981
P12273,0.83672,-0.25719
Q99497,0.83687,-0.25693
C9J9K3,0.83829,-0.25447
O75891,0.8386,-0.25394
Q13410,1.1892,0.25001
O94760,0.84096,-0.24989
S4R3V8,0.84434,-0.24411
Q14195,0.84483,-0.24327
A0A0C4DH34,0.84584,-0.24154
Q96FQ6,1.1803,0.2392
Q6PCB0,0.84762,-0.23851
Q02818,1.1764,0.23441
P23528,1.1711,0.22788
P02749,0.85523,-0.22561
P51148,1.168,0.2241
Q01459,1.1652,0.22059
P18669,1.1595,0.21348
P01019,0.86296,-0.21263
Q92876,0.86567,-0.20812
P08571,1.155,0.20792
Q8NBJ7,1.1533,0.20581
D6RC73,1.1527,0.20504
P19875,0.86858,-0.20328
P45877,0.86917,-0.20229
O00592,1.1489,0.20021
P07237,1.1478,0.19882
Q9NV23,1.146,0.19664
P01009,0.87406,-0.19419
P22897,0.87547,-0.19188
P06733,0.87737,-0.18875
Q9BRK5,1.1393,0.18814
P05090,1.1374,0.1858
P15328,0.88125,-0.18238
Q8N474,0.88226,-0.18072
P02765,0.88517,-0.17597
Q14697,0.88638,-0.174
P14550,1.1256,0.17066
P47989,1.1228,0.16706
P01591,0.8909,-0.16666
P04075,1.1223,0.1665
O75874,1.122,0.16601
Q02487,1.1211,0.16489
