sample,group,X12.0.10.0.12.0.TG,X12.0.12.0.12.0.TG,X12.0.10.0.14.0.TG,X12.0.14.0.12.0.TG,X12.0.16.0.10.0.TG,X10.0.18.1.10.0.TG,X10.0.12.0.16.1.TG,X12.0.16.0.12.0.TG,X16.0.10.0.14.0.TG,X12.0.18.0.10.0.TG,X18.1.10.0.12.0.TG,X18.2.12.0.10.0.TG,X14.0.12.0.16.0.TG,X12.0.18.1.12.0.TG,X18.2.12.0.12.0.TG,X18.2.14.0.10.0.TG,X18.0.14.0.12.0.TG,X16.0.10.0.18.0.TG,X18.1.16.0.10.0.TG,X18.1.14.0.12.0.TG,X18.2.16.0.10.0.TG,X18.2.14.0.12.0.TG,X16.0.14.0.16.0.TG,X16.0.12.0.18.0.TG,X14.0.18.0.14.0.TG,X18.1.16.0.12.0.TG,X18.1.10.0.18.1.TG,X18.1.12.0.16.1.TG,X18.1.16.1.12.0.TG,X10.0.18.1.18.2.TG,X16.0.16.0.16.0.TG,X18.0.14.0.16.0.TG,X18.1.16.0.14.0.TG,X18.1.14.0.16.1.TG,X18.1.12.0.18.1.TG,X18.2.16.0.14.0.TG,X18.1.12.0.18.2.TG,X18.2.12.0.18.2.TG,X18.1.15.0.16.0.TG,X16.0.18.0.16.0.TG,X16.0.18.1.16.0.TG,X18.1.16.0.16.1.TG,X18.1.14.0.18.1.TG,X16.0.18.2.16.0.TG,X18.2.14.0.18.1.TG,X18.2.16.0.16.1.TG,X18.2.14.0.18.2.TG,X18.1.16.0.17.0.TG,X18.1.17.1.16.0.TG,X18.1.15.0.18.1.TG,X18.0.16.0.18.0.TG,X18.0.16.0.18.1.TG,X18.1.16.0.18.1.TG,X18.1.16.0.18.2.TG,X18.2.16.0.18.2.TG,X18.2.16.1.18.2.TG,X18.2.16.0.18.3.TG,X18.0.18.1.18.0.TG,X20.0.16.0.18.1.TG,X18.1.18.0.18.1.TG,X18.1.20.1.16.0.TG,X18.1.18.1.18.1.TG,X18.1.18.0.18.2.TG,X18.1.18.2.18.1.TG,X18.2.18.1.18.2.TG,X18.2.18.2.18.2.TG,X16.0.LPI,X17.0.LPI,X18.2.LPI,X18.1.LPI,X18.0.LPI,X20.4.LPI,X22.6.LPI,X16.0.18.2.PI,X16.0.18.1.PI,X16.0.18.0.PI,X16.0.20.4.PI,X16.0.22.6.PI,X18.0.18.2.PI,X18.0.18.1.PI,X18.0.18.0.PI,X18.0.20.4.PI,X17.0.20.4.PI,X18.0.22.6.PI,X16.0.LPE,X18.2.LPE,X18.1.LPE,X18.0.LPE,X20.4.LPE,X22.6.LPE,X16.0.18.2.PE,X16.0.18.1.PE,X16.0.18.0.PE,X17.0.17.0.PE,X16.0.20.4.PE,X16.0.22.6.PE,X18.0.18.2.PE,X18.0.18.1.PE,X18.0.18.0.PE,X18.0.20.4.PE,X18.0.22.6.PE,X24.0.Cb,X24.1.Cb,X22.0.Cb,X22.1.Cb,X20.0.Cb,X18.0.Cb,X18.1.Cb,X16.0.Cb,X16.0.Ceramide,X17.0.Ceramide,X18.1.Ceramide,X18.0.Ceramide,X20.0.Ceramide,X22.1.Ceramide,X22.0.Ceramide,X24.1.Ceramide,X24.0.Ceramide,X16.0.LPC,X18.2.LPC,X18.1.LPC,X18.0.LPC,X20.3.LPC,X20.4.LPC,X20.5.LPC,X22.6.LPC,X16.0.18.2.PC,X16.0.18.1.PC,X16.0.18.0.PC,X16.0.20.5.PC,X16.0.20.4.PC,X16.0.20.3.PC,X16.0.22.6.PC,X18.0.18.2.PC,X18.0.18.1.PC,X18.0.18.0.PC,X18.0.20.4.PC,X18.0.20.3.PC,X18.0.22.6.PC,X19.0.19.0.PC,PC..O.16.0.18.2.,PC..O.16.0.20.4.,PC..O.18.1.20.4.,d18.1.14.0.SM,d18.1.16.1.SM,d18.1.16.0.SM,d18.1.17.0.SM,d18.1.18.1.SM,d18.1.18.0.SM,d18.1.20.0.SM,d18.1.21.0.SM,d18.1.22.1.SM,d18.1.22.0.SM,d18.2.23.0.SM,d18.1.23.0.SM,d18.1.24.2.SM,d18.1.24.1.SM,d18.1.24.0.SM
15,0,0.200630746,0.682812783,0.226493996,0.973552471,0.343872641,0.047838138,0.016119373,1.445637712,0.920280649,0.384054129,0.624998968,0.335011058,0.882023503,1.037453599,0.573512619,0.142441043,1.440907776,2.423700851,0.984077363,0.734152953,0.482933815,0.363758212,2.112078441,2.051153101,0.759535901,3.800070576,0.484896791,0.078795728,1.664812314,0.246255315,2.958131457,1.498001136,2.635984155,0.06406088,1.783655882,1.540810715,1.039959525,0.608251026,0.045267475,3.165392467,6.819461496,0.386084974,1.689934228,3.804518596,0.851576495,0.174638022,0.534722964,0.117042433,0.063890686,0.082396954,1.94409783,5.432639969,13.43803121,7.954646231,3.81644263,0.069833909,0.216173755,0.387103006,0.154841203,1.355278177,0.12997719,2.769048856,0.959936937,2.702923719,1.612563746,0.728817418,0.001991022,NA,0.001939311,0.001457891,0.001011784,NA,NA,0.005371406,0.004570064,0.003778359,0.002866668,0.002183771,0.010036627,0.004772813,0.002420173,0.004450111,0.008643722,0.010359099,NA,0.001431614,0.002293367,0.002362263,NA,NA,0.001851618,0.003725429,0.003860198,0.002937271,NA,NA,0.022186075,0.010419513,0.002182398,0.002374685,0.003887479,0.01136791,0.007530375,0.007114368,0.003336733,0.002427797,NA,0.001186212,0.001142767,0.001058338,NA,NA,0.001015161,0.001171985,NA,0.002494348,0.001016901,0.007266618,0.01078425,0.004135572,0.001777839,0.005539268,NA,NA,NA,NA,0.021920824,0.060690882,0.050985882,NA,0.000911965,0.003873276,0.009231353,0.052627059,0.121271691,0.028498059,0.013479529,0.015663375,0.020154441,0.009194824,0.002424891,0.002151179,0.003014629,0.015181699,0.001880133,0.096931765,0.00329179,0.001996328,0.096549816,0.117123309,0.011599346,0.011571386,0.31914739,0.001998219,0.031499382,0.012094279,0.036593813,0.158105184
28,0,0.064995677,0.236333537,0.070634518,0.381977793,0.133609068,0.036811793,0.012823327,0.52339833,0.345466006,0.128249922,0.342742314,0.14933689,0.335363706,0.713221,0.273140002,0.076503108,0.464492668,0.849072619,0.803222698,0.561010582,0.307389261,0.207410127,0.686483537,0.606177915,0.280422048,2.641981021,0.786041463,0.141745182,0.934229608,0.281472568,1.328449031,0.518631869,2.195202338,0.142199686,2.550247881,0.927969779,1.01222775,0.380629266,0.042285315,1.256577531,6.558703067,0.946549485,3.392378083,3.226559195,1.109687968,0.333595637,0.402235667,0.097183853,0.062949911,0.130677271,0.533139357,4.631774379,15.49857202,10.5458149,3.732173615,0.148937326,0.139008171,0.31711364,0.215844249,2.97961225,0.320824586,8.756768944,1.545312167,7.15843136,2.776300979,0.709673208,0.003904596,NA,0.005945338,0.003889325,0.00275503,NA,NA,0.011443557,0.019599113,0.006983491,0.0075825,0.003104686,0.043938142,0.017482302,0.004217196,0.009017066,0.005914698,0.012911179,0.00230096,0.003654,0.002726174,0.002737947,NA,NA,0.010017368,0.02509517,0.008720745,0.008283894,0.00296908,0.002517524,0.142480189,0.058635283,0.008115509,0.015866575,0.018568104,0.012073653,0.006830536,0.009345198,0.004309271,0.00228671,NA,0.003608435,0.003476277,0.019748123,NA,NA,0.005723094,0.006210849,NA,0.019844406,0.013082774,0.023702462,0.013782136,0.002848868,0.002382537,0.004134974,NA,NA,NA,NA,0.05037283,0.122904453,0.094114415,NA,0.005893675,0.020855547,0.011307668,0.150289811,0.17033434,0.030433132,0.028030551,0.035711932,0.026841962,0.00834874,0.004045562,0.005105208,0.006866355,0.021957475,0.003437209,0.108430981,0.004679479,0.004719294,0.104358566,0.155105321,0.014047064,0.049161396,0.44927434,0.003871655,0.018963634,0.019115377,0.085672075,0.144200038
49,0,0.041970107,0.138130238,0.051692911,0.244153969,0.092884662,0.045156317,0.022225375,0.350286616,0.223077266,0.098080252,0.277583415,0.227290481,0.249339464,0.872183389,0.41580663,0.125695674,0.42636889,0.707294187,0.920011087,0.798800123,0.44193069,0.325007324,0.61176099,0.506356225,0.266612053,3.0509417,1.498921749,0.421507488,1.651075672,0.55167087,0.708718073,0.314747906,2.669786508,0.42610324,3.856234319,1.465795144,2.167707254,0.970909704,0.051935184,0.724476455,4.177299391,1.942515411,4.497992552,3.48373933,2.705489922,1.011809239,1.296814926,0.105852652,0.081387844,0.242145652,0.30226765,3.335506407,6.97459809,8.254501712,5.64894947,0.672212395,0.375714672,0.220800111,0.175979575,2.871468291,0.32480543,7.397301005,1.920949912,6.232477136,4.628692549,2.108499093,NA,NA,NA,NA,NA,NA,NA,NA,0.00392217,0.000410527,NA,NA,0.020204374,0.007832308,0.000363939,0.003724975,NA,NA,0.000873239,0.01355938,0.005923609,0.002355144,0.001384934,0.001124496,0.012913846,0.017946066,0.002309954,0.003010789,0.007680231,0.001813714,0.215371978,0.056756703,0.003834346,0.020810769,0.01176033,0.000566751,0.000169598,0.000438462,0.000109078,0.000105375,0.000355324,NA,0.000292649,0.001079677,NA,NA,0.000782585,0.000288242,NA,0.001596923,0.001711296,0.002351608,0.004898341,0.008030677,0.002848559,0.00253873,NA,NA,NA,NA,0.088503033,0.079916571,0.031561002,NA,0.019585899,0.053141538,0.003295495,0.247117714,0.074277099,0.018056334,0.013185969,0.012432343,0.0056064,0.00077165,NA,0.002091265,NA,0.003148253,0.001318043,0.018470295,NA,0.001931068,0.013616664,0.063651429,0.003292457,0.079056,0.173766066,0.0070176,NA,0.00995433,0.032039077,0.042176611
57,0,0.038669167,0.119686743,0.041142318,0.1785593,0.077566577,0.029013092,0.014272988,0.246280173,0.150263454,0.091134513,0.311560724,0.100856716,0.159712078,0.373692776,0.120663809,0.045571634,0.338846675,0.627276717,0.648991043,0.311632636,0.216335038,0.090382563,0.717588931,0.614207475,0.276697427,1.850016864,0.590479609,0.122814919,0.549944636,0.166548417,1.694733633,0.705614003,2.168149728,0.197469055,1.673785326,0.626259004,0.471493228,0.160306134,0.054476228,2.040443223,7.999126489,1.719246278,3.976973466,3.866682196,0.880204069,0.510000593,0.252447417,0.137545955,0.077846408,0.218365773,0.80180425,6.991106485,16.29700084,11.17388925,3.083997184,0.151174861,0.166492138,0.437982191,0.090928157,3.559680073,0.349735104,8.637268186,1.540888644,5.873842625,1.781544041,0.41108863,0.004602651,NA,0.00487452,0.00314442,0.000597831,NA,NA,0.012148263,0.025133211,0.012051789,0.006012789,0.003901986,0.031222484,0.015433768,0.004533613,0.010006168,0.004533139,0.007796274,NA,0.002361803,0.002278452,0.002288292,NA,NA,0.011000558,0.023481789,0.010396989,0.012087107,0.004299875,0.001775116,0.172762105,0.078325263,0.0089628,0.026436979,0.021060947,0.027345448,0.017499227,0.015859156,0.004131023,0.005046897,0.005260566,0.004075573,0.003926306,0.005335768,NA,NA,0.003713463,0.003432174,NA,0.007074789,0.013401095,0.014723874,0.005630514,0.002956225,0.002109495,0.00547884,NA,NA,NA,NA,0.090865516,0.210399663,0.181769432,0.002401723,0.010831225,0.03572976,0.016057971,0.301359158,0.237815242,0.040748362,0.048618442,0.0572832,0.057834442,0.013871899,0.003244578,0.005933684,0.007366737,0.011147672,0.00378764,0.168253137,0.007389486,0.009721364,0.329468211,0.315175074,0.026473036,0.068445853,0.608368421,0.007414105,0.042219739,0.051690821,0.237470653,0.234031832
61,0,0.106144521,0.26574989,0.079379837,0.351870035,0.167528566,0.094587905,0.026759996,0.456764949,0.214616955,0.148292182,0.585220286,0.173565632,0.223275853,0.954245828,0.245990582,0.073149831,0.436145521,0.797909635,1.227392386,0.611673019,0.360507294,0.147296823,0.578687344,0.554838411,0.195701538,3.204332968,1.297969071,0.238658829,0.858334385,0.304860986,1.177227762,0.381508997,2.152895435,0.232830933,3.550310193,0.589308107,0.901592808,0.23742545,0.05553397,1.022622627,6.89365074,1.593925926,4.310334898,3.083086768,0.925683368,0.453883458,0.23160657,0.118988612,0.06848499,0.210020635,0.333407217,4.024169341,17.40524917,10.80468822,2.540868853,0.110614618,0.198184525,0.192147459,0.07998138,2.548207818,0.242838613,9.324994099,0.964379732,6.027652816,1.650275477,0.379967273,0.002255623,NA,0.005712328,0.003684867,0.002369154,NA,NA,0.011174443,0.019951611,0.006216943,0.006516211,0.003239221,0.040225283,0.017550029,0.004011636,0.016831934,0.006022266,0.012369258,NA,0.003647373,0.004314428,0.004333061,NA,NA,0.013771406,0.041514551,0.014550908,0.014841563,0.004366436,0.002956421,0.187558594,0.097884082,0.012086895,0.03148374,0.035533652,0.013617352,0.011861982,0.005309309,0.001862394,0.001513038,NA,0.002083945,0.002007621,0.00119782,NA,NA,0.000695461,0.00183063,NA,0.004434814,0.005587295,0.0112471,0.005251705,0.001978795,0.00171427,0.003923648,NA,NA,NA,NA,0.053881875,0.114154219,0.11446125,NA,0.009375609,0.027570633,0.012676781,0.175414688,0.099464063,0.022074797,0.034317,0.040836656,0.038804063,0.0067635,0.0032652,0.004624102,0.005832,0.003716202,0.002298491,0.048276563,0.003288168,0.004509422,0.085417031,0.09746625,0.010861348,0.039540867,0.246080273,0.003673023,0.016228348,0.029099121,0.141427617,0.094989727
71,0,0.033801919,0.100766879,0.036487819,0.17011845,0.071244502,0.042500276,0.015189914,0.226215353,0.137991365,0.080820576,0.239917472,0.206509667,0.141847161,0.586725699,0.272335549,0.085955908,0.257803716,0.493382975,0.895473801,0.41670563,0.40453848,0.16866823,0.41958592,0.465694263,0.140169362,2.29949062,1.213295408,0.203668492,1.096323639,0.539882468,0.563659675,0.286606614,1.901204621,0.191548754,3.089496031,0.998144872,1.550378212,0.69048725,0.039510346,0.867447277,4.536397165,1.556867754,3.787640348,3.394119273,1.73713478,0.716445418,0.802830406,0.122839026,0.090786023,0.214335047,0.464888256,4.79100056,7.678283653,8.751102705,6.048193717,0.563007758,0.643798108,0.510486918,0.114727988,4.121955467,0.425322793,8.827791902,2.802889417,7.213525781,5.45002983,2.992004741,NA,NA,NA,NA,NA,NA,NA,NA,0.001026839,0.000394946,NA,NA,0.005852871,0.002040919,0.000163054,0.001421645,NA,NA,0.000126087,0.007243908,0.00509684,0.003484122,0.000908486,0.000244458,0.002216463,0.001077155,0.000540738,0.000270407,0.001322849,0.000143308,0.066508136,0.012820207,0.001266058,0.008070843,0.001115068,0.000152587,0.000152203,0.000442338,7.34E-05,0.000141851,0.000205356,NA,6.56E-05,0.000200423,NA,NA,0.000422367,0.000221945,NA,0.000232705,0.000846359,0.000517296,0.004339225,0.003823889,0.001793964,0.004137947,NA,NA,NA,NA,0.031068213,0.026928,0.011845775,NA,0.008697941,0.013898556,0.000756895,0.074455385,0.022463148,0.011466675,0.005712511,0.0047736,0.000628439,0.000308071,NA,0.000577709,NA,0.001326943,0.000394354,0.01103029,NA,0.0005471,0.019344941,0.035987538,0.000290776,0.023330876,0.059299722,0.002028277,NA,0.004196334,0.012090408,0.005982412
76,0,0.929821313,3.084653624,0.884368675,4.393834411,1.199183688,0.084449878,0.018186771,4.826496654,3.553756098,1.074391378,0.820776899,0.266228039,2.992100202,1.347859829,0.451458733,0.10482735,3.268903053,5.198091739,1.047535167,0.960240569,0.312709578,0.264737086,3.743007127,3.520650268,1.556498013,4.029098664,0.315229431,0.054750375,1.078416476,0.092301914,4.683974863,2.13082463,2.814900648,0.061315333,1.00664113,0.99518032,0.344872249,0.127530804,0.049095709,4.826830094,6.222181309,0.266871102,1.107020866,2.055895894,0.333278063,0.083615325,0.120201793,0.179328806,0.036384022,0.047640957,3.264330161,4.219445281,6.702716012,2.609596865,0.84410341,0.01645698,0.032061687,0.382808197,0.159045173,0.692145267,0.067948407,0.650579586,0.338975124,0.579785507,0.316482213,0.155372093,0.000822268,NA,0.002198363,0.000276061,0.000277009,NA,NA,0.002858776,0.001504749,0.001364329,0.001051588,0.001399366,0.00441632,0.002461889,0.001862409,0.003373982,0.003127475,0.005239681,NA,0.000499805,0.001876062,0.001884164,NA,NA,0.000455696,0.001205863,0.001220855,0.001737173,NA,NA,0.006810356,0.003362622,0.001950222,0.001345295,0.00266189,0.003816834,0.001834083,0.003548034,0.001362687,0.000996435,NA,0.00021025,0.000202549,0.000693747,NA,NA,0.000679856,0.000682883,NA,0.001362375,0.000449425,0.002063499,0.004014575,0.001013947,0.000450897,0.003888066,NA,NA,NA,NA,0.006901752,0.033014212,0.027347737,NA,0.001043619,0.001916199,0.006916204,0.016304847,0.057025182,0.016008438,0.00851527,0.009886927,0.011368818,0.004563854,0.00171999,0.000757086,0.001566552,0.01063615,NA,0.048863869,0.001783462,0.001014285,0.074328832,0.078054307,0.006005858,0.005343734,0.154823102,0.002296388,0.011983763,0.005916,0.014783617,0.05945781
90,0,0.196905082,0.634017732,0.224828983,0.976335717,0.286798617,0.06692151,0.040667687,1.208142151,0.988035282,0.265595623,0.541365638,0.210084713,0.956657895,1.207733371,0.39117001,0.123474104,0.8721814,1.575212468,0.970020771,1.186166704,0.350692336,0.347011906,1.250190105,0.904742839,0.641544922,3.987042479,0.905546303,0.308758559,1.271037883,0.224169297,1.65874454,0.74416279,3.241258664,0.393409842,2.877092095,1.164402695,0.924688482,0.325081566,0.049580782,1.228496575,6.332988435,1.596990573,4.451684345,3.486470263,1.31886514,0.572480842,0.430797704,0.092419513,0.059484533,0.133245355,0.408261242,3.800385087,13.12225989,9.049542769,3.232166834,0.16813543,0.150721403,0.193389575,0.126422958,1.879584395,0.323463361,5.538799434,0.971937808,4.519231711,1.804834044,0.515467313,0.003602921,NA,0.005034782,0.002462026,0.001970674,NA,NA,0.022504582,0.029628238,0.016734776,0.00978055,0.00534724,0.055341446,0.02986167,0.00753498,0.0155839,0.008111456,0.017598513,0.004139542,0.009663379,0.007328487,0.007360136,NA,NA,0.023848534,0.044147352,0.014786395,0.01401468,0.007072912,0.004274908,0.319151731,0.110539308,0.01121832,0.039534104,0.041507413,0.036812401,0.026145342,0.021488688,0.006317505,0.004611189,0.003718989,0.004814597,0.004638263,0.003135373,NA,NA,0.00243414,0.003436772,NA,0.011209766,0.007832658,0.026165743,0.02219813,0.013161654,0.005155912,0.008275912,NA,NA,NA,NA,0.164481141,0.299863136,0.187235193,0.004087048,0.021611438,0.064253279,0.031600081,0.411916253,0.451645295,0.059556171,0.073702974,0.087013686,0.078429654,0.023558224,0.007049108,0.011893955,0.009692285,0.062372505,0.006650798,0.285687128,0.010230758,0.008795022,0.27070387,0.441476456,0.03296064,0.097679511,1.22887943,0.007937572,0.064717515,0.060201874,0.265262933,0.507460692
94,0,0.101682768,0.319593125,0.102551953,0.472957546,0.176155445,0.049807887,0.022532139,0.643350174,0.400175613,0.180610232,0.452578469,0.164311733,0.395443571,0.838908352,0.263796875,0.075108832,0.65699179,1.141762432,0.92878653,0.661601364,0.305172474,0.193508533,0.985887409,0.946187245,0.402294996,3.134850148,0.763590303,0.182998366,0.947905204,0.208131597,1.857658107,0.822579236,2.680424448,0.212809209,2.428207638,0.87306342,0.775633026,0.274186275,0.042506561,2.085330214,7.642026449,1.397670302,3.769474451,3.494175755,0.971786536,0.424628465,0.309799057,0.100730236,0.060223482,0.140688945,1.019021907,5.865894856,15.83465029,9.682485612,2.89069584,0.128979608,0.121008958,0.369303377,0.120080239,2.674998418,0.28709138,6.578422652,1.165320584,4.733249514,1.624066696,0.421895039,0.003125395,NA,0.006203935,0.001991466,0.001431004,NA,NA,0.012991827,0.019289209,0.009331636,0.007398682,0.003856713,0.032043873,0.017448245,0.004114874,0.011633045,0.005279155,0.010685209,0.001780984,0.004049296,0.00313224,0.003145767,NA,NA,0.008508464,0.017983909,0.009017591,0.009901571,0.003587245,0.001516745,0.117458182,0.050136545,0.0055062,0.017421136,0.0172584,0.019709378,0.00905046,0.010429478,0.005263822,0.00355152,0.002756995,0.003686317,0.003551306,0.002585692,NA,NA,0.002853404,0.0027279,NA,0.007001782,0.004512355,0.015480436,0.018588125,0.008180913,0.00208643,0.008688665,NA,NA,NA,NA,0.0756432,0.156156,0.125667491,0.003152974,0.00998064,0.024660895,0.017184567,0.207792,0.216328582,0.03620448,0.041599069,0.048603927,0.045488291,0.012461236,0.003383935,0.005657498,0.00559872,0.022631891,0.003637093,0.167031055,0.004356458,0.006568876,0.203466109,0.2183244,0.018653629,0.0507276,0.554832,0.004354102,0.028887545,0.032809756,0.130787236,0.2195424
119,0,0.122967325,0.362725262,0.123587832,0.555904285,0.205579698,0.045279946,0.019398222,0.786940487,0.466699428,0.220234039,0.463719738,0.242328155,0.513955544,0.788074407,0.349973387,0.116469334,0.862251674,1.500081679,0.87762259,0.712700224,0.376544912,0.294304214,1.360042558,1.206884613,0.624884419,3.458582021,0.564380337,0.131648113,1.365239692,0.226141447,2.176953181,1.117037201,3.292147761,0.157882612,2.20404127,1.553564907,0.944933341,0.442379993,0.094042916,2.042426171,7.07566086,0.784294673,3.463968141,4.097939668,1.427888772,0.324697995,0.628314527,0.170541569,0.101684277,0.192070301,0.875622481,5.187369067,14.05304865,9.706355283,4.129012226,0.100635401,0.167054765,0.264316754,0.147541892,1.751166217,0.185581758,4.489850772,1.148566476,4.069922395,1.891756549,0.594583556,0.005183958,NA,0.005477381,0.003066702,0.002848902,NA,NA,0.029475842,0.044987735,0.023092635,0.017221443,0.009376954,0.053945291,0.028005601,0.008641353,0.024178617,0.010968006,0.019628808,0.001080049,0.003132523,0.022969389,0.023068587,NA,NA,0.015770291,0.016237124,0.009600872,0.009263832,0.006437555,0.002471693,0.241430862,0.082013928,0.008267856,0.033026844,0.032496403,0.030097461,0.016896228,0.023037,0.009945956,0.00569382,0.005135952,0.001894964,0.001825561,0.003386092,NA,NA,0.003254053,0.003155997,NA,0.011430481,0.004100321,0.019195431,0.007002198,0.001930493,0.002053604,0.020281834,NA,NA,NA,NA,0.074457234,0.270020681,0.126408337,0.002731515,0.007686685,0.026489122,0.016330004,0.214223327,0.473165531,0.056741002,0.036022124,0.043670309,0.036521651,0.022072112,0.006020008,0.008359479,0.012482116,0.043950661,0.005268265,0.281106974,0.012593952,0.01169578,0.34971006,0.500027255,0.051400281,0.080402645,1.274038076,0.008610168,0.088208537,0.037882834,0.191567134,0.452273267
