feature,Comp. 1,Comp. 2,Comp. 3,Comp. 4,Comp. 5
P61626,3.0311,2.6609,2.4699,2.3462,2.2705
O15232,2.904,2.5505,2.2599,2.1502,2.0864
O60664,2.3821,2.0913,1.8763,1.7777,1.7227
Q96S86,2.3725,2.1229,1.8996,1.8117,1.7529
P25311,2.3259,2.1082,1.8713,1.7992,1.8178
P02790,2.2819,2.0236,2.0497,1.9948,1.9299
Q6WN34,2.2071,1.9511,1.7265,1.7117,1.6562
G3XAM2,2.1783,1.9354,1.7522,1.6834,1.6299
Q13228,2.1422,2.0561,1.8168,1.74,1.7236
P07195,2.1046,1.8501,1.8087,1.714,1.7022
D6RF35,2.081,1.8902,1.7978,1.8288,1.8782
P05067,2.026,1.7839,1.5877,1.5039,1.5255
Q9NR31,2.018,1.784,1.5751,1.4915,1.4665
P01023,2.0142,1.7682,1.602,1.5986,1.5571
Q99541,2.0141,1.7681,1.5784,1.4992,1.4561
J3KS22,1.9829,1.7902,1.5993,1.5404,1.4988
P02748,1.9529,1.7381,1.5353,1.4554,1.4353
P02647,1.877,1.6494,1.4828,1.4692,1.4278
P20061,1.8719,1.6644,1.5164,1.5768,1.5445
P04792,1.8572,1.8744,1.8489,1.7507,1.7376
P19440,1.8276,1.649,1.4613,1.4336,1.39
P02766,1.8064,1.5982,1.6134,1.5467,1.5114
P04066,1.7965,1.6449,1.5477,1.4686,1.5168
P01042,1.7939,1.5796,1.4245,1.3597,1.3655
P08697,1.7933,1.7046,1.5237,1.4828,1.4356
P24821,1.6721,1.7647,2.4832,2.3555,2.3042
P68871,1.6543,1.454,1.3535,1.3896,1.3656
Q9H4G4,1.6454,1.4573,1.3189,1.2488,1.2268
P31949,1.6402,1.471,1.311,1.2609,1.2216
P10909,1.6347,1.4406,1.3203,1.2518,1.2326
P02751,1.6347,1.4605,1.3878,1.3495,1.316
P05155,1.5316,1.3662,1.2092,1.1524,1.1181
P30044,1.5178,1.5036,1.4117,1.3747,1.3665
P02763,1.5061,1.3334,1.179,1.1934,1.1646
P01877,1.4964,1.3336,1.1842,1.2782,1.2424
P36955,1.4917,1.4529,1.3507,1.3257,1.373
P04075,1.4884,1.5444,1.3745,1.3027,1.2698
P02787,1.481,1.3058,1.176,1.1149,1.0813
Q9H173,1.4758,1.3748,1.2161,1.1585,1.1296
V9HW75,1.4661,1.2875,1.4225,1.3517,1.3094
Q01459,1.4579,1.3693,1.2394,1.2109,1.2847
P60174,1.4478,1.3753,1.2415,1.1978,1.1803
P08603,1.4293,1.2665,1.2431,1.1994,1.2184
A0A0C4DH31,1.4266,1.2687,1.1202,1.1378,1.1017
P04114,1.4091,1.3499,1.2573,1.1979,1.1716
E9PJK1,1.3777,1.2591,1.1642,1.1047,1.2163
Q15904,1.3668,1.4126,1.2615,1.2439,1.2213
P01619,1.3529,1.2406,1.0964,1.2731,1.2459
A0A0C4DH68,1.3496,1.2579,1.1413,1.1057,1.1643
P0DJI8,1.3476,1.493,1.5059,1.4358,1.4266
P00441,1.3398,1.2994,1.2186,1.173,1.196
Q5H9A7,1.3306,1.1733,1.125,1.0706,1.0662
P30041,1.3244,1.3286,1.2158,1.2576,1.2167
P04745,1.324,1.1652,1.0299,0.97578,0.94489
