"sample","group","P00709","P05814","P47710","P07498","P02788","P02768","P01876","P19835","P61769","P61626","P01591","P01833","P10451","P02647","P47989","S4R371","P22897","P10909","P08571","Q08431","Q6WN34","Q13410","P23280","P01859","P01034","P49327","H0YCU0","P02763","P01009","P01011","P04745","P25311","P15328","V9HW75","Q08380","P15291","P00738","Q16851","P07602","Q99541","P06733","P18065","P62937","P02649","P04406","F5GZD9","P02787","P01024","Q02818","D6RC73","P0C0L5","Q6X4U4","Q92876","P63104","P02750","P06858","P06727","P04075","O00391","O60664","P04004","Q12841","P19652","P25774","Q96KP4","P22079","P23528","P60174","Q9NP72","Q9BRK5","P50395","P04114","P20061","P43490","P00558","O75874","P00450","P05155","P60953","P02790","P53634","O00300","P14550","P04217","Q99497","P36871","Q9H173","P50591","P15311","P00747","P08697","Q14697","Q96S86","P02671","P49189","P07900","P01008","Q9BY76","Q14624","P01133","P31946","Q9HB40","P13639","P01042","P61224","Q6PCB0","P02748","P07237","Q14118","Q6UXI9","P02675","P51148","Q5T985","P02760","G3XAM2","P01023","P05067","P54802","Q02809","P17900","P36955","P02751","D6RHI9","P04003","P02766","Q5H9A7","A0A087X1J7","E7EU05","Q9NR31","P04066","A6NNI4","A0A0C4DGN4","Q9UHD0","P51149","P01019","S4R3V8","P16278","P02749","P62820","O00560","P27797","E9PJK1","P84077","P45877","P0C0L4","Q68D85","P02765","P63313","P61586","P28799","P18669","P04792","P08603","P19827","O00592","P14625","P30041","J3KS22","P08238","P23284","P30086","Q9H4G4","P07737","Q13228","P11021","A0A0C4DH38","O00299","P07858","Q15904","E9PNW4","P63000","P05090","P62258","Q9NZH0","O15498","Q9P2X0","P17066","P00441","P40925","P58499","P03950","Q14512","Q02487","P34096","P19875","Q16651","O14745","A0A075B7B8","X6R3G6","Q16555","P07195","P01861","P01877"
119,0,26.28608951,28.50937409,6.512338255,9.12755839,6.945505806,4.733339969,3.291656437,2.252424939,0.668514199,2.92330187,0.518411219,1.053315235,0.300275453,0.049881444,0.190667847,0.010409456,0.160573126,0.460728126,0.272501769,0.153938945,0.1178818,0.093332551,0.12426581,0.026655324,0.114689796,0.05602918,0.016458977,0.095181041,0.042928526,0.206192387,0.083839927,0.016480288,0.032644155,0.048625953,0.023708395,0.069033473,0.004948302,0.012127302,0.02836483,0.009776152,0.036291102,0.01504736,0.003254965,0.007420832,0.023704689,0.043666069,0.014275071,0.027715774,0.011835435,0.005224881,0.00100481,0.037878765,0.014999179,0.005479222,0.03439443,0.045019775,0.008452558,0.001602303,0.010164844,0.004800516,0.016773081,0.001008701,0.011087236,0.006451648,0.001556948,0.006165804,0.008061086,0.00077076,0.001761486,0.002431715,0.003898508,0.000129098,0.046800627,0.000987205,0.000691261,0.001742631,0.002581586,0.007391645,0.001508164,0.002298382,0.002903427,0.003843007,0.002840514,0.005761823,0.002311169,0.001477634,0.003218134,0.003204235,0.001252711,0.001823844,0.001797715,0.00233651,0.002628516,0.000550053,0.001666699,0.001349398,0.004888539,0.005282328,0.001033904,0.001186647,0.002065584,0.001720949,0.00030671,0.005756727,0.001973993,0.00255592,0.000590544,0.000974604,0.000585865,0.000211937,0.000490707,NA,0.000777107,0.000520079,0.00158266,0.000122881,NA,0.000151159,0.00166707,0.00067185,0.002876649,0.000141806,0.001691253,NA,0.009890119,0.020594222,0.000927118,0.003082115,0.001755788,0.002573201,0.040592664,0.0458055,0.003949191,NA,0.002642368,0.000434576,0.000558392,0.008417812,0.002061507,0.000365862,NA,0.022855495,0.006075928,0.002349529,0.061023347,0.000209963,0.019593072,0.002341051,0.000833581,0.001911311,0.00143756,0.000882689,0.000298622,7.44e-05,0.000786049,0.00037787,0.004211686,0.001505246,0.000872172,0.010222754,0.004047592,0.004322271,NA,0.001358478,0.00070238,0.002741279,NA,0.00158076,0.000557373,0.025095921,NA,NA,0.000901359,0.00207888,0.000659202,0.004790787,0.000358802,0.003141183,0.000622232,0.000394933,0.001083243,0.008319597,0.000484036,0.009668207,0.003097727,0.002755687,NA,0.00202375,0.002675354,0.000624178,NA,0.002618231,0.120647587
1210,0,22.01529266,16.57795155,8.270499373,10.47710965,8.307452177,7.323913715,2.493159473,8.053731587,1.52410519,0.624799324,1.477287308,1.706823607,1.345939887,0.1771557,0.47837384,0.024736933,0.450395288,1.062953997,0.15841205,0.381801647,0.426112017,0.228787345,0.382890435,0.009648311,0.115299346,0.05263135,0.091263527,0.217813682,0.082094613,0.08585588,0.158032624,0.012620042,0.063855764,0.044696396,0.076036992,0.112788535,0.052872203,0.041446529,0.068405578,0.063304772,0.067633529,0.098169082,0.025538677,0.074624867,0.034049369,0.018739361,0.107291806,0.045052726,0.038684966,0.02269628,0.00888583,0.104715007,0.016460824,0.015445612,0.037216752,0.087776106,0.038262649,0.006585847,0.008775631,0.036187353,0.030518727,0.008384987,0.064202197,0.008424249,0.008179107,0.015540634,0.019980579,0.007832345,0.012300665,0.005989324,0.016745559,0.003216841,0.021166698,0.000348841,0.003882684,0.004903175,0.014064831,0.045682904,0.008160961,0.017752523,0.009714298,0.022151886,0.003909409,0.034415598,0.003577493,0.003979025,0.012534589,0.002560994,0.005301078,0.011147209,0.003106642,0.009131302,0.019742695,0.012151534,0.002976185,0.004102421,0.008982831,0.004718741,0.0049817,0.001075723,0.001258375,0.004150922,0.000849057,0.010198314,0.006044093,0.005679514,0.006895657,0.001652879,0.003860578,0.008827761,0.010444776,0.005422164,0.004454133,0.00472567,0.011190761,0.004321168,0.001466102,0.004475908,0.002689966,0.009128002,0.006165179,0.002807555,0.001991129,0.001657894,0.003073154,0.02993903,0.011628585,0.042588106,0.004759323,0.000481145,0.007727755,0.019278806,0.005871537,0.004379897,0.003766217,0.002924748,0.000852389,0.025333127,0.005242349,0.004283886,0.000234997,0.10737429,0.020862167,0.006458492,0.107819703,0.001174637,0.051793314,0.035659456,0.014047674,0.010129687,0.0005794,0.000258561,0.005241689,0.001378538,0.000953481,0.000973244,0.002546939,0.000519583,0.00091247,0.078636886,0.010584669,0.011171954,0.008021398,0.004968832,0.001528955,0.005466046,0.003753019,0.001763309,0.000816525,0.060328751,0.016337098,0.014443267,0.004180946,0.010912295,0.001716095,0.03122083,0.000454651,0.010802096,0.003763247,0.004454463,0.000434756,0.008236186,0.001637966,0.010571471,0.024767287,0.007947822,0.000848331,0.009700441,0.008534448,0.000452969,0.00898646,0.004336016,0.402092695
1211,0,27.50614669,19.40367317,7.75551216,8.680474115,8.064637826,7.901622338,2.544893148,3.808806566,1.829114278,1.922576491,1.336485498,1.516527048,1.108626071,0.215252896,0.292449786,0.0221049,0.259701785,0.657415301,0.252774633,0.30171148,0.20673584,0.159654551,0.274353054,0.009979365,0.139806913,0.075437933,0.042601381,0.166239572,0.055022759,0.15603601,0.130605594,0.010837511,0.053831337,0.083335128,0.047789701,0.091091445,0.076146346,0.033494651,0.060166803,0.031889452,0.060629686,0.101093753,0.021737813,0.064067099,0.058057664,0.0695734,0.069670002,0.066313091,0.028483435,0.017774323,0.001458566,0.075184353,0.031341639,0.021920149,0.05784031,0.068474555,0.029225256,0.007761952,0.013661905,0.022482855,0.025312079,0.007590887,0.033050283,0.024397582,0.006320171,0.04393368,0.021869031,0.006500494,0.007527693,0.008715895,0.011147039,0.002446681,0.04023343,0.001035571,0.004230755,0.004823648,0.006979075,0.010526373,0.003080308,0.019940618,0.007958778,0.009698818,0.00291202,0.017564214,0.001264316,0.001560481,0.007813473,0.001691014,0.004752002,0.006886499,0.002039384,0.004639703,0.008582665,0.006427238,0.003683748,0.005270834,0.004030709,0.004799095,0.002975013,0.001536813,0.003661328,0.004465417,0.002347262,0.006187343,0.003426465,0.004728657,0.002252713,0.001459049,0.002837234,0.002477272,0.006310913,0.002347262,0.001391146,0.005983675,0.005329198,0.001065155,0.000728619,0.00290401,0.002743933,0.00628314,0.012970398,0.001225434,0.002850356,NA,0.017292924,0.054829555,0.02834457,0.025747189,0.00290876,0.003650017,0.035744668,0.007688293,0.020147909,0.002197851,0.002588082,0.001634301,0.00127937,0.01689726,0.006668742,0.001449429,0.001407609,0.124052774,0.014199655,0.004328967,0.03695702,0.000831298,0.052281683,0.037609484,0.003222192,0.014964822,0.000904313,0.000834881,0.001706833,0.000625818,0.00133246,0.000805981,0.006427238,0.000227425,0.002474696,0.063113157,0.005733315,0.006415565,0.005201603,0.00086845,0.001206315,0.00696861,0.005312292,0.002766634,0.002231581,0.095068218,0.007980111,0.017196725,0.001080048,0.00585125,0.000291122,0.019326794,0.000583837,0.015168491,0.003330467,0.003582155,0.001428901,0.010011969,0.001185143,0.007446789,0.015741661,0.006805997,0.000514807,0.007820718,0.022624135,0.000492267,0.008005469,0.017687784,0.305128768
1215,0,33.84931824,14.36677163,8.837474491,9.324181158,7.164940942,5.178249545,2.601322189,3.247785263,0.662111467,1.612617459,1.220158146,1.387292501,1.475232899,0.138892874,0.244061379,0.018368714,0.376721671,0.566376622,0.30526266,0.220612589,0.262970349,0.137131686,0.164290275,0.055066873,0.169728538,0.071515535,0.027555749,0.114283843,0.034277715,0.123779977,0.072086731,0.0182515,0.088663318,0.069037377,0.038359387,0.11983218,0.033168048,0.024762243,0.087357302,0.023749262,0.026368434,0.079179083,0.020956649,0.04670718,0.036000229,0.083930125,0.085274816,0.061724877,0.039817127,0.024563812,0.000932269,0.054373703,0.030853514,0.013982404,0.034209291,0.040031326,0.015480604,0.00807588,0.017842143,0.012253346,0.032977649,0.021194052,0.056720962,0.012113522,0.005659601,0.042075137,0.017937045,0.004749852,0.007122994,0.003384634,0.010341327,0.004353883,0.022743124,0.001393837,0.00141499,0.002038129,0.003192451,0.014248367,0.006204915,0.016617641,0.001217957,0.013325826,0.001850527,0.016274924,0.004223579,0.001926567,0.009200422,0.000544243,NA,0.009289671,0.004494302,0.008781247,0.005817275,0.004585336,0.003925188,0.004088515,0.005751826,0.007108416,0.002873087,0.002144901,NA,0.007005185,0.000868932,0.004720103,0.0032698,0.006452433,0.000977906,0.000761089,0.005029798,0.002901111,0.004693625,0.003397129,0.000890798,0.001879235,0.004855762,0.002549171,0.001577632,0.003608948,0.003030612,0.006242697,0.005557262,0.00090722,0.00048748,0.00040067,0.021392186,0.074624389,0.031493134,0.039692178,0.000734879,0.022084761,0.04458602,0.016176154,0.011248398,0.000336351,0.002882993,0.001345583,0.001260618,0.027187744,0.005626876,0.001579327,NA,0.130476657,0.010836958,0.003758887,0.060130288,0.000375204,0.052734489,0.027783037,0.003913586,0.015655533,0.000943753,0.000585535,0.001704485,0.000454666,0.002682569,0.000245287,0.004496682,0.000885711,0.000935542,0.108812855,0.003973383,0.007864954,0.005030393,0.000660535,0.002499905,0.023592778,0.003166866,0.004446107,0.001879711,0.11175511,0.004191746,0.008203804,0.002009807,0.006972162,NA,0.003417954,0.000269923,0.011903191,0.001614105,0.005364186,0.005139872,0.029999695,0.001397556,0.023939066,0.01569986,0.006152853,0.001785583,0.006089188,0.001456639,0.002179857,0.005424578,0.004021875,0.660772726
1235,0,30.21421766,23.12831656,5.088921266,7.502167493,7.126299626,6.412700099,2.563076273,3.40284847,1.589051701,0.494219383,1.301478848,1.422286594,0.873868551,0.178024983,0.278003251,0.046244998,0.331688041,0.975963701,0.18858031,0.170074554,0.200286186,0.119343704,0.236366916,0.046768563,0.093146069,0.016115779,0.043578696,0.148682728,0.030309235,0.432652032,0.202464475,0.011864885,0.057786049,0.058086614,0.054967848,0.089006028,0.032409312,0.018913943,0.062052133,0.027865286,0.032373761,0.028939887,0.01299669,0.037409033,0.010538521,0.026778404,0.062365625,0.088986637,0.025910321,0.01786455,0.007433328,0.04270932,0.007821154,0.008677603,0.04396329,0.053839921,0.036206773,0.002621282,0.008146928,0.008382532,0.025834048,0.019792045,0.029451494,0.026882471,0.004228271,0.017006163,0.011473504,0.001717002,0.005901416,0.005142894,0.008845014,0.000678146,0.006619864,0.000126325,0.000148098,0.000845751,0.007723551,0.018508341,0.00498033,0.017231425,0.004240875,0.013233587,NA,0.01343461,0.000687906,0.001803261,0.012695479,0.002523453,0.001012516,0.007673457,0.002590289,0.004865598,0.010798687,0.008600038,0.00032091,0.000570169,0.00429097,0.003928352,0.001809434,0.002090349,0.000551553,0.012056212,0.000148734,0.005373327,0.001713221,0.007011568,0.001901898,0.000960709,0.003893771,0.002528818,0.011474474,0.001069527,0.001386219,0.009258372,0.017467675,0.005373004,0.003340796,0.002906108,0.001930759,0.005879763,0.009206016,0.003865008,0.005555282,0.009553766,0.025706712,0.066434565,0.01635914,0.019069396,0.002073414,0.005405969,0.049486576,0.007396162,NA,0.002919424,0.004493285,0.002054766,0.00090845,0.029613088,0.004370797,0.003921889,0.000618873,0.131621623,0.012598199,0.004484559,0.199665665,0.000299857,0.052311241,NA,0.002265711,0.014805574,NA,NA,0.002346928,0.000288336,0.002339333,9.03e-05,0.000471919,NA,NA,0.053578138,0.002844218,0.004410549,NA,0.003851757,0.001710603,0.011671295,0.001356356,0.007071034,0.001565718,0.075519385,0.002872012,0.002278574,0.001654465,0.004046316,0.000256143,0.015044087,0.0004099,0.010159098,0.000832339,0.005740792,0.001420412,NA,0.001833576,0.010192386,0.010746331,0.007488594,0.000400333,0.015714056,0.007886761,NA,0.003789058,0.039829713,0.004344296
1243,0,17.63028268,27.72606689,8.971805659,10.08956093,7.308025183,3.592726809,3.065100866,2.337599392,0.782969842,0.177647597,1.230775451,1.678121078,0.838140576,0.054486172,0.317766107,0.018470696,0.311326364,0.838411153,0.308891168,0.351128301,0.427377014,0.106883487,0.300882076,0.044699388,0.076873747,0.118220681,0.109467502,0.280209963,0.078570267,0.170488118,0.300584441,0.013300774,0.029966448,0.025165322,0.046474375,0.171878886,0.057329941,0.119987551,0.082783158,0.03832729,0.172528272,0.06809351,0.045570647,0.047102115,0.098831104,0.011895124,0.084655553,0.050549271,0.029376589,0.01346312,0.00522485,0.031982249,0.020102007,0.041644569,0.061964932,0.082163535,0.015409383,0.019757021,0.017460901,0.008964771,0.014666648,0.014361166,0.045348773,0.004216678,0.019817089,0.007025001,0.048192542,0.021796904,0.012815087,0.011238974,0.014288381,0.000564424,0.01121841,0.003851399,0.009162022,0.008565669,0.013209318,0.015995183,0.005518156,0.013421181,0.008885221,0.003005033,0.007621354,0.032342117,0.006468423,0.01096082,0.018601114,0.004171221,0.012232263,0.006658369,0.001119947,0.008490178,0.015875047,0.007349153,0.008105958,0.025891281,0.004144164,0.003221765,0.002245549,0.002275691,0.010182369,0.007297743,0.00973321,0.007997998,0.004012122,0.010109854,0.011308783,0.002431409,0.00467693,0.003011527,0.005802803,0.00368797,NA,0.000972293,0.006831268,0.002293144,0.006277937,0.000998079,0.004077872,0.003351913,0.003653607,0.000359868,0.011610747,0.000854619,0.001077629,0.051461117,0.007706586,0.052332376,0.001100736,0.00089994,0.032756101,0.031516856,NA,0.004980248,0.004084366,0.001821744,0.00019809,0.010814438,0.005902105,0.018898208,0.00300368,0.10217544,0.014521619,0.011405379,0.069587098,NA,0.040643432,0.046436495,0.012390551,0.004649602,0.004003463,0.000398073,0.001585908,NA,0.002805617,0.001188295,0.009638779,0.001504275,0.008218518,0.061707883,0.013969912,0.006257644,0.022847286,0.031541208,0.004027815,0.010375291,0.009453163,0.007871638,0.000925672,0.080656419,0.014286487,0.033638183,0.007026084,0.011151036,NA,0.02304129,0.001063802,0.020294929,0.010708642,0.001508794,NA,NA,0.001961767,0.005337951,0.011467071,0.016986308,0.010336328,0.010996807,0.004656908,0.005915363,0.016711943,0.00103228,0.294550565
1247,0,18.72800488,25.69788308,7.38364548,10.65925517,8.461799862,3.494866061,2.883998232,2.723641831,0.621024981,0.079723575,1.570876978,1.644653008,1.389947307,0.065512194,0.400876618,0.024099211,0.283660778,0.737587655,0.276352232,0.373742922,0.459575175,0.164545867,0.238178028,0.073971692,0.100975905,0.131361041,NA,0.392791179,0.106701892,0.14080748,0.385166121,0.01604197,0.043275799,0.037477878,0.114493838,0.22341419,0.073488292,0.119241515,0.114493838,0.048679519,0.185570885,0.109064221,0.084344647,0.039707848,0.122800835,0.016376897,0.104681971,0.062752786,0.023602287,0.025010477,0.005053831,0.030785091,0.023977785,0.076650533,0.053844417,0.096913044,0.011748919,0.018280285,0.025326126,0.009967821,0.028259327,0.007019369,0.0733473,0.011197038,0.027142903,0.006465761,0.072098517,0.026165457,0.026102155,0.014573068,0.028633099,0.000161174,0.01078586,0.011310694,0.008355625,0.009520388,0.02560293,0.021243698,0.007559453,0.018291794,0.005554207,0.005155114,0.011695112,0.030664241,0.00798099,0.014087078,0.019323335,0.003440771,0.012633713,0.006021781,0.000501758,0.014324174,0.015889757,0.001898093,0.005529174,0.023181039,0.003851661,0.007907616,0.002555488,0.002259607,0.004240108,0.00975288,0.013196817,0.005135548,0.005708435,0.009115541,0.009457086,0.003349846,0.00494075,0.002270742,0.003302369,0.011549517,NA,0.00261387,0.007382207,0.004765229,0.007222512,0.001723205,0.002765939,0.002294279,0.002546597,0.000555737,0.003961289,0.000455719,0.002263175,0.074590328,0.010490065,0.075830479,NA,NA,0.071511532,0.05989267,NA,0.005572622,0.012230017,0.002861612,0.002836435,0.008977426,0.009111225,0.039345298,0.000458683,0.107924779,0.014403302,0.013082873,0.073568858,NA,0.047473897,NA,0.02016612,0.004815584,0.003077934,0.00088701,0.001555425,0.000485961,0.005520542,0.002228675,0.015528358,0.000580339,0.01108482,0.145097654,0.017024596,0.021722782,0.038064863,0.040714931,0.00528546,0.028695826,0.010180171,0.013630726,0.000491974,0.211956462,0.011081079,0.020999697,0.016792679,0.029415458,0.001695985,NA,0.000478854,0.028284936,0.006989732,0.002775751,0.001524321,NA,0.00340279,0.002129348,0.013392479,0.019125083,0.015797393,0.009297103,0.009116404,0.005923087,0.007172734,0.0020901,0.651611533
1251,0,22.7999594,21.16490151,9.358169045,12.20414057,6.970605557,3.502175101,3.28517107,2.556572249,0.715516281,0.114537116,1.658445519,1.524349487,0.822850213,0.048953098,0.344351133,0.012397523,0.368699193,0.556215595,0.247169149,0.358108566,0.38754428,0.139401728,0.179817431,0.060755937,0.11547937,0.096844538,0.270917592,0.300249477,0.086734123,0.094684881,0.413345955,0.008210072,0.04652608,0.019982541,0.06662491,0.176632456,0.070232991,0.080148726,0.076592559,0.034962049,0.132351693,0.110103588,0.055385347,0.039821278,0.064382189,0.025140021,0.071564607,0.047450164,0.030863372,0.021481582,0.002823908,0.03215086,0.034037965,0.02899963,0.045960208,0.072187585,0.01236897,0.013082021,0.020687804,0.006560738,0.024739757,0.005774488,0.067818951,0.00870534,0.017481024,0.007606043,0.04366038,0.02053803,0.018474934,0.012081362,0.021172948,3.88e-05,0.010237606,0.004239625,0.007390597,0.007315061,0.020039128,0.017091144,0.009020723,0.013951335,0.004568506,0.004885446,0.010755197,0.036140516,0.008921046,0.011149491,0.017398739,0.003948902,0.008849144,0.00496851,0.000814388,0.011132618,0.019110891,0.001985042,0.003803281,0.018509717,0.004197574,0.004630285,0.00228228,0.002136867,0.002973163,0.005599535,0.008151149,0.009326761,0.006715444,0.008946225,0.00787003,0.002422165,0.005009782,0.002521893,0.001792749,0.00840034,0.000182265,0.001359779,0.005960862,0.004394851,0.0042674,0.000784693,0.00303001,0.003028452,0.004756438,0.000785731,0.001741457,0.000289477,0.004992391,0.062450957,0.00829054,0.04847029,0.000789755,NA,0.05056765,0.040431277,0.000755257,0.002794835,0.00374332,0.000938542,0.001174989,0.019185389,0.006990593,0.043008849,0.000349646,0.159552473,0.006622776,0.018953848,0.058030408,NA,0.039621406,0.048563737,0.013440233,0.003358631,0.002742401,0.000346609,0.001984834,0.000150688,0.001937618,0.001795189,0.013018944,0.000557591,0.005867156,0.119027749,0.014127845,0.015939154,0.026141718,0.033495455,0.005488177,0.014440113,0.007079886,0.010953512,0.000821526,0.11897843,0.007894949,0.011543005,0.007709094,0.019997077,0.000325039,0.006422644,0.000726289,0.02308004,0.007890017,0.002723712,0.000949964,NA,0.001710516,0.002972384,0.014765619,0.006423942,0.006102849,0.00732129,0.003258175,0.003472324,0.01053404,0.002437428,0.486104604
1259,0,23.64838021,19.7171192,8.656021932,11.93082316,8.406933769,8.088284196,2.440897383,4.099541305,1.437380322,1.179336649,0.816451017,1.615115973,1.674722187,0.343941602,0.578900884,0.085489723,0.418493106,0.866768492,0.240615833,0.157604495,0.207251348,0.195171822,0.262850492,0.073385205,0.106183202,0.052633412,0.037340732,0.156071645,0.045556476,0.288246655,0.158108503,0.002508459,0.081603448,0.082382369,0.067341276,0.13464923,0.017042545,0.033565671,0.087264164,0.029565265,0.069065733,0.031269728,0.021386177,0.062242883,0.034784454,0.071573276,0.082957188,0.078458606,0.04093085,0.008001228,0.003984036,0.098718887,0.039483806,0.022433346,0.03826669,0.083319574,0.027924949,0.010186373,0.01319001,0.011892502,0.043698728,0.022179676,0.05042994,0.022315883,0.017819801,0.060247679,0.016074101,0.009471598,0.008581879,0.004931779,0.022288392,0.002621715,0.051025585,NA,0.000339056,0.004386534,0.008428594,0.017119188,0.005860236,0.055744931,0.004732259,0.018387538,0.005839826,0.015114403,0.001711752,0.004598134,0.010539595,0.003367022,0.0035423,0.005064237,0.001689717,0.007577612,0.007060275,0.008612286,0.004751419,0.003456911,0.004147651,0.010570002,0.001788853,0.004434436,0.000790001,0.020405652,8.82e-05,0.005419958,0.005271255,0.008902194,0.002974687,0.001445211,0.002410657,0.004422356,0.011521785,0.003390473,0.001038506,0.004889709,0.011149403,0.002646291,0.000479307,0.003218361,0.003683839,0.006013105,0.007221058,0.003195743,0.001463247,0.018559567,0.027669196,0.086851794,0.022701595,0.025027112,0.004833477,0.029678147,0.032062395,0.024543931,0.018737845,0.003542259,0.004635206,0.000834404,0.001201246,0.015598417,0.005502432,0.01028051,0.00039675,0.173207911,0.018069305,0.002076679,0.10469617,0.001001143,0.046647798,0.030463732,0.007406416,0.018126371,0.001191708,0.0024077,0.002701107,NA,0.00340072,NA,0.004979264,0.00211096,0.000318775,0.065271096,0.021747729,0.002812322,0.009639462,0.00129001,0.00077309,NA,0.001868036,0.004270737,0.00145979,0.139014521,0.008993832,0.005535755,0.002953694,0.01350491,0.00284906,0.029364495,0.000380413,0.019330158,0.00644172,0.009891049,0.03077655,0.013927277,0.001395519,0.052541774,0.013757747,0.008622699,0.001659435,NA,0.004674777,0.001407556,0.016952574,0.015545517,0.139285269
1260,0,31.67822902,16.64509543,10.35021617,10.54619483,7.207077606,6.777345786,1.533570369,4.15631829,1.192365548,1.094114418,0.594144447,1.632307707,1.153469022,0.125811564,0.342925244,0.035406312,0.240447856,0.856957806,0.208631246,0.255602542,0.21490331,0.172322834,0.402878256,0.049839915,0.215557819,0.085030052,0.036096351,0.139660971,0.044413101,0.032163314,0.173867475,0.032285987,0.033851572,0.042427135,0.104396034,0.108659692,0.041907268,0.058505612,0.044805807,0.038900267,0.083361989,0.102331526,0.032716093,0.075201198,0.045613658,0.052353229,0.059870731,0.043803473,0.044753446,0.014836033,0.00360107,0.059504206,0.016751313,0.025741273,0.047367742,0.06500956,0.026689375,0.010904492,0.008304034,0.02909722,0.023886581,0.00518745,0.041432281,0.004158936,0.010297855,0.02526666,0.020991408,0.009386405,0.003928923,0.009422684,0.007944242,0.000709413,0.018362901,0.0022931,0.002519784,0.003382801,0.004264032,0.01710213,0.006885059,0.052345749,0.001867332,0.003728008,0.004803347,0.021140262,0.002688049,0.003145233,0.010933664,NA,0.006454953,0.005810169,0.001533683,0.005710683,0.004316392,0.003851504,0.003034079,0.008172011,0.004983991,0.007443449,0.000945186,0.001192104,0.001433374,0.001717917,0.002652743,0.006950136,0.0022462,0.002602739,0.00207412,0.001366727,0.002972069,0.001822975,0.004658607,0.004644769,0.001391748,0.002826094,0.00396221,0.000859838,0.002000403,0.002533623,0.000623541,0.001767847,0.006306099,0.000662026,0.001129682,NA,0.007417268,0.045097531,0.016634997,0.021731564,0.002595408,NA,0.01712831,0.041047056,0.015775908,0.002600158,0.003230132,0.001279322,NA,0.010302718,0.007116942,0.001374768,0.001232197,0.09079721,0.019119139,0.004931631,0.071367647,NA,0.065783751,NA,0.006928818,0.004638411,0.001121791,NA,0.001244539,0.000362819,0.002208163,0.000298677,0.004331353,NA,0.001786585,0.02139309,0.017335509,0.00518184,0.00755565,0.007450555,0.001588998,0.001380266,0.003619733,0.000759978,0.000553191,0.096672829,0.009407349,0.008961161,0.001511392,0.004604376,0.000621222,0.035237261,0.000638614,0.011330857,0.004655989,0.000763644,0.001760741,0.003352133,0.000938977,0.013568904,0.010543951,0.015134115,0.00257682,0.004023546,0.002940166,0.000685551,0.015009945,0.003141381,0.080123105
