"","coef.mean","1","2","3"
"P19440",71.959,80.279,42.189,93.408
"Q66K79",70.638,58.006,72.211,81.697
"O75629",69.13,73.47,33.921,100
"P27797",68.302,75.182,31.421,98.303
"Q92484",64.695,63.546,53.195,77.343
"G3XAM2",64.452,80.323,62.363,50.671
"O43405",63.688,57.568,60.751,72.746
"O94760",61.472,58.037,59.971,66.407
"O00462",61.2,60.624,72.617,50.359
"Q92520",61.065,55.893,51.967,75.336
"P55058",60.496,68.495,58.858,54.135
"P02790",60.393,70.641,62.263,48.275
"Q8N392",60.253,49.863,45.912,84.984
"A0A0C4DH34",60.127,64.667,38.141,77.572
"O95436",58.047,50.182,90.043,33.915
"Q7KZF4",57.632,51.107,70.963,50.827
"Q8NBJ4",56.983,56.035,50.221,64.692
"Q9HBR0",54.709,36.248,57.505,70.375
"Q68D85",54.56,52.811,59.669,51.199
"O15232",54.489,70.467,44.68,48.319
"P55072",54.468,43.014,40.658,79.73
"Q9NZ08",54.172,54.1,55.247,53.17
"P24298",52.533,47.383,46.854,63.361
"P03950",52.519,43.455,55.845,58.256
"P27169",52.166,55.764,54.853,45.88
"A0A075B6K5",51.111,52.553,53.833,46.946
"Q99497",50.415,47.891,58.142,45.213
"Q9Y646",50.31,60.55,33.356,57.025
"P20827",50.087,50,68.607,31.656
"Q6UX06",49.713,57.504,46.646,44.989
"P62258",49.449,50.073,50.438,47.837
"P05090",48.578,48.649,56.178,40.907
"O14672",48.538,34.062,51.255,60.298
"Q9BWS9",48.356,55.808,44.125,45.136
"P60022",48.222,56.066,23.299,65.3
"P49788",48.057,58.612,32.382,53.177
"P24821",47.764,60.485,29.698,53.108
"P01624",47.033,50.243,18.487,72.369
"Q99727",46.784,44.894,38.134,57.324
"P05067",46.361,49.717,24.47,64.895
"P31949",46.044,54.713,53.602,29.817
"E9PDQ1",45.568,32.013,46.764,57.928
"A0A087WWU8",44.226,44.084,22.128,66.466
"A0A0B4J1V2",43.933,43.518,44.703,43.579
"P27469",43.499,50.627,38.02,41.851
"P01877",43.488,28.097,77.746,24.621
"P61626",43.278,36.172,64.347,29.315
"P04114",43.209,49.947,44.838,34.841
"O00299",43.125,49.01,23.7,56.665
"O60543",43.123,51.589,45.767,32.013
"Q16651",43.106,43.716,30.75,54.852
"P14324",42.961,36.247,33.53,59.106
"Q9Y5P6",42.729,47.682,15.977,64.53
"Q16555",42.606,36.991,41.166,49.662
"D6RF35",42.448,48.872,23.003,55.469
"Q9NV23",42.264,51.61,18.609,56.573
"P18085",41.992,33.273,53.248,39.455
"Q99650",41.975,37.178,57.563,31.184
"Q9UNQ0",41.148,52.239,45.416,25.79
"P53634",41.143,51.005,17.106,55.318
"P08294",41.09,32.073,43.475,47.722
"P01780",40.993,27.091,46.72,49.168
"P01619",40.869,28.779,47.284,46.543
"P48723",40.653,36.405,41.897,43.657
"P48449",40.634,38.473,55.66,27.768
"P39019",40.524,31.809,46.795,42.967
"Q9NR45",40.165,37.93,35.135,47.429
"X6R3G6",40.083,41.364,45.337,33.548
"P16278",40.072,38.388,18.716,63.112
"Q6UXA7",40.009,39.099,31.576,49.352
"Q5JP53",39.321,35.927,29.916,52.122
"Q9UHD0",39.261,36.384,56.339,25.06
"Q9H4G4",39.017,37.717,56.126,23.208
"P01133",38.951,30.634,34.973,51.245
"O43707",38.319,48.7,31.605,34.65
"P25786",38.231,44.124,33.392,37.176
"P29622",38.23,44.187,39.803,30.701
"P23381",38.039,44.871,45.286,23.96
"I3L397",37.664,40.649,40.569,31.774
"Q06210",37.621,37.971,28.502,46.392
"P04233",37.581,39.598,25.514,47.631
"Q99519",37.127,27.561,48.605,35.216
"P05546",36.945,40.167,46.355,24.313
"P49773",36.72,38.037,49.071,23.053
"P01861",36.382,29.299,37.47,42.375
"P36955",36.381,42.258,24.923,41.961
"P43251",36.228,39.146,46.604,22.933
"Q8WUM4",36.213,41.494,30.775,36.371
"Q16706",36.098,44.925,23.432,39.938
"Q9NR19",35.996,43.383,30.455,34.149
"P27348",35.825,33.12,29.316,45.038
"Q14195",35.715,33.4,45.307,28.438
"P09237",35.302,41.088,40.029,24.788
"Q14914",35.234,37.113,48.949,19.64
"P60981",35.187,29.036,47.536,28.989
"Q15843",34.945,31.087,42.151,31.597
"Q9UBI6",34.848,39.383,53.934,11.226
"Q9Y2S2",34.373,40.167,22.152,40.801
"O60664",34.372,39.258,26.095,37.763
"P61019",34.059,24.424,63.091,14.661
"P11908",34.024,36.005,30.986,35.08
"P78371",33.803,25.182,41.824,34.403
"E5RJB8",33.726,34.87,45.08,21.227
"P08238",33.68,37.049,36.698,27.292
"Q96MK3",32.981,38.674,42.354,17.916
"B1AKG0",32.901,40.904,23.694,34.103
"Q10471",32.769,35.237,10.12,52.951
"Q99536",32.724,28.641,15.462,54.07
"P07686",32.72,16.204,48.622,33.334
"P06727",32.617,32.874,29.726,35.253
"Q15181",32.432,30.343,31.465,35.487
