"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"P61626",0.07949,0.033028,-0.014598,-0.09639,0.021951,0.06161,0.030723,-0.054687
"S4R371",-0.034824,0.051389,0.037987,-0.10433,-0.020053,0.0523,0.083335,-0.036655
"P01859",0.041409,0.010718,-0.037984,-0.0041318,-0.050809,0.048181,-0.071006,0.086892
"P01034",0.050043,0.12391,-0.040776,-0.062484,0.012589,0.034616,-0.016821,0.10597
"P49327",0.018075,-0.070073,0.065662,-0.026486,-0.021524,0.025835,-0.013307,0.0046047
"H0YCU0",-0.028291,0.062574,-0.030339,-0.06958,0.067236,-0.052185,-0.029412,-0.025779
"P01009",-0.028819,0.077164,-0.037972,-0.070353,0.072993,-0.043845,-0.093344,0.043228
"P01011",-0.042797,-0.027504,-0.027839,-0.0063963,0.046175,0.059958,-0.046027,0.017384
"P04745",-0.060311,0.0052573,-0.012536,0.062991,-0.067483,-0.013596,-0.028345,0.044164
"P25311",0.0080195,0.12621,-0.0081021,-0.1061,0.041126,-0.054514,0.028128,0.015818
"Q08380",-0.036226,0.060622,-0.034355,0.018685,-0.037921,0.029517,0.056745,-0.030556
"D6RF35",0.11326,0.061537,-0.037489,-0.15873,0.17225,-0.069181,-0.046034,0.078946
"P00738",-0.01758,0.021933,-0.038176,0.017619,0.019241,0.060381,-0.080621,0.071332
"Q16851",-6.8339e-05,-0.11572,0.11583,-0.057948,-0.022882,0.022688,-0.011442,-0.032673
"P06733",0.0089246,-0.12108,0.06928,-0.0047115,-0.0474,0.045035,-0.066772,-0.028521
"P62937",0.018251,-0.036183,0.064953,-0.017625,-0.079156,0.071762,-0.1162,0.13569
"P04406",0.039674,-0.11467,0.068894,-0.0038096,-0.039696,0.07398,-0.10821,0.060173
"F5GZD9",0.044678,0.065012,-0.030308,-0.031668,0.050481,-0.087752,0.050834,-0.079591
"Q02818",-0.0038669,0.11116,-0.039698,-0.053879,0.037807,-0.093871,0.030395,-0.014988
"D6RC73",-0.073302,0.081779,-0.024945,-0.060513,0.031703,-0.059196,0.093324,-0.026819
"P01714",-0.00088516,0.10297,-0.020532,-0.12327,0.18652,-0.027483,-0.0033692,0.00061869
"P0C0L5",-0.075777,0.10461,0.015663,-0.11733,0.082722,-0.038982,0.042253,0.052744
"Q6X4U4",-0.022311,0.064348,-0.02961,-0.0077832,0.031904,-0.012561,0.066545,-0.069329
"Q92876",-0.005844,0.058651,-0.032009,-0.026431,-0.017437,-0.018353,-0.011295,-0.026666
"P63104",-0.036677,-0.043142,0.097558,-0.066573,-0.0086174,0.011623,0.059263,-0.062839
"P06727",-0.076879,0.063938,-0.050421,0.0010613,0.051378,-0.011504,-0.024694,-0.00070893
"P04075",0.019119,-0.046522,0.10591,-0.09683,-0.014314,-0.028805,0.069417,-0.06332
"O60664",0.10002,0.014721,-7.6459e-05,-0.01885,-0.04454,0.018817,0.067243,-0.017242
"Q12841",-0.048236,0.10522,-0.033338,-0.023789,0.044622,-0.073988,0.042465,-0.034234
"P19652",0.062104,-0.03103,-0.039291,0.041571,-0.089997,0.035826,-0.022847,0.077648
"Q96KP4",-0.0012114,-0.042887,0.067827,-0.050799,0.020344,0.020312,0.024866,-0.071882
"P22079",0.067473,0.056875,-0.050441,-0.039456,-0.014978,0.0015497,0.072316,-0.043949
"P23528",0.040241,-0.12027,0.062592,0.018239,-0.051929,0.10712,-0.03008,-0.031185
"P60174",-0.0059017,-0.019316,0.093204,-0.058476,0.0098032,-0.015546,0.0558,-0.058567
"Q9NP72",0.035193,0.030875,-0.015647,-0.0022956,-0.071915,-0.0026053,-0.017904,0.044182
"Q9BRK5",-0.036952,0.098053,-0.049262,-0.028216,0.098113,-0.057409,0.0033969,0.040224
"P50395",0.024358,-0.04404,0.021344,-0.016711,-0.081722,0.10306,-0.09126,0.022164
"P04114",0.079017,0.091237,-0.084558,-0.011624,0.052448,-0.014784,-0.032756,0.0053283
"P20061",0.044048,-0.0086843,-0.01228,0.011526,-0.029504,0.00047771,0.034625,0.0015624
"P43490",0.022809,-0.048523,0.089087,-0.080842,0.035752,0.050628,-0.15094,0.088782
"P00558",0.040114,-0.071312,0.068359,-0.065316,0.0089728,0.030844,-0.036452,0.029839
