"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1210",-1.1315,0.053042,-1.2412,0.086588,-1.2774,0.134,0.28684,-0.16779
"1243",-1.9612,-1.0657,1.4782,1.5493,-0.48191,-0.84378,-0.48294,0.22802
"1259",-0.60444,-0.00073876,-1.4008,-0.11218,-0.96809,0.19416,-0.099435,-0.41352
"1260",-1.0272,-0.54857,-0.98147,0.062703,-0.91706,-0.30418,0.29227,0.45022
"1270",-0.90106,-0.29733,-2.057,0.57724,-0.85638,-0.13125,0.35366,-0.19603
"129",-1.0961,-1.0371,-2.8039,0.85165,1.1184,-0.59164,-0.37828,0.5563
"1291",-0.36445,-1.0773,1.4232,0.23765,-1.1333,-0.45423,-0.33638,-0.30608
"1306",-0.65692,0.036043,-1.5157,0.79679,-0.86212,-0.47745,-0.40104,-0.97518
"1307",-1.031,-0.25415,-2.3807,0.27134,-0.57284,-0.073239,0.50924,0.10065
"1310",-1.2868,-0.42979,-1.7836,0.041384,-0.80656,0.50875,-0.0085467,-0.076696
"1312",-1.6535,-0.27779,0.36014,1.0805,-1.0046,-0.30261,-0.6725,-0.17602
"1331",-0.87175,-0.27384,-1.7811,0.35171,-0.81605,0.20274,0.19318,-0.26387
"1345",-0.95642,-0.1259,-1.7152,0.29678,-0.7839,0.12787,-0.16011,-0.49635
"137",-0.91386,-2.0227,-0.37891,-0.062036,1.2834,0.39884,-1.0362,0.30347
"151",-0.46887,-1.3321,-3.2924,-0.65584,0.68744,0.097059,0.4637,0.61242
"1525",-0.10051,-0.96344,1.5375,-0.55095,-1.7105,-0.49945,0.1272,-0.11857
"1696",-0.28129,-0.53883,-0.36244,-0.30944,-1.0898,0.2808,-0.24583,-1.058
"185",0.28699,-0.68871,-1.653,-0.8161,0.55575,-0.14173,-1.3452,-0.27409
"194",-0.61044,-1.1134,-3.4093,-0.16297,0.8091,-0.11034,0.5777,0.68479
"202",-0.11451,-1.3261,-1.0175,-1.3172,0.49992,0.85803,-0.34021,-0.51254
"305",-1.6246,-0.15,-0.60871,-0.47752,0.89593,0.12785,-0.26422,0.51588
"323",-0.082377,-0.87227,2.1163,-1.4639,-0.33225,-0.8669,-0.25154,0.57146
"324",-0.18809,-0.969,2.4639,-1.1682,-0.061903,-1.1621,-0.13881,0.67634
"327",-0.38461,0.54381,-0.99183,-1.3746,0.36016,-0.7645,-0.025042,-0.28929
"346",-0.6111,0.92836,-0.34049,-1.1989,-0.56963,-0.028159,-0.44237,0.25743
"350",-1.2381,0.33036,1.0145,-1.0565,0.81836,-1.1309,0.5111,-1.7686
"355",-0.33927,1.6702,-0.62242,-0.77518,-1.0233,-0.69307,-0.71159,-0.054968
"357",-1.2109,-0.28532,0.54324,-1.0379,-0.056316,0.063059,-0.2369,0.58235
"359",-0.62204,0.091887,-1.5492,-2.2046,0.62794,0.47388,0.52045,0.039875
"57",0.24344,-0.9822,-2.0864,-0.73693,0.32916,-0.048986,-0.61587,-0.21493
"667",-0.69135,0.62925,-0.27611,-1.2843,-0.14904,0.21718,-0.53659,-0.16748
"699",-1.0196,0.22544,0.6045,-1.3202,0.5048,-0.52514,0.8745,-0.96805
"759",-1.0596,-0.052175,0.4511,-0.89588,0.11438,0.041263,-0.036068,0.45916
"76",0.7786,-0.65592,-2.0633,-0.23485,0.15153,-1.1397,-0.50737,-0.031696
"767",-0.25738,-0.71843,2.3963,-1.6022,-0.66541,-0.81375,0.19034,0.34551
"924",-0.64444,-0.29075,-1.476,-0.074966,-0.45043,0.053406,-0.68771,-0.081294
"94",-0.52785,-1.449,-0.85642,-0.74209,0.60072,0.34698,-0.94063,-0.083318
"979",0.37235,-1.896,-0.72367,-1.1363,-0.76552,0.47484,0.4369,0.25315
"119",0.3648,-0.84073,-1.4935,-0.043524,0.95679,0.63932,0.095221,0.21111
"1247",-1.6648,-0.55929,2.3893,2.0695,-0.32215,-0.72558,-0.24236,0.7466
"1277",-1.5007,-1.395,2.0417,1.5025,0.25229,-0.13685,0.37093,0.48774
"1304",-1.2869,0.20792,-0.0674,1.1117,-1.0246,0.32913,0.23006,0.14931
"1325",-1.2036,0.3408,0.080086,1.2612,-0.89187,-0.038508,-0.023397,-0.080848
"1326",-0.49862,-0.0030162,-1.2408,0.85973,-0.37711,0.49625,0.44305,-0.42699
"1335",-0.35168,0.51018,0.39124,0.15463,-0.95258,0.5624,0.18595,-0.28719
"1336",-0.52714,0.60351,-0.81841,0.28789,-0.99353,0.24985,0.2237,0.31744
"147",0.55803,-1.2366,1.1043,-0.35574,0.4519,-0.052723,-0.78322,-0.06293
"1503",0.2198,-1.4852,3.0136,-0.086002,-0.43932,-0.11983,0.27662,-0.0091431
"1559",-0.49625,0.22384,0.39889,0.74472,-0.80469,0.55613,-0.29635,-0.6018
"1594",-0.78053,-0.67734,0.52041,0.18622,-0.80177,1.0731,0.64142,-0.086484
"1640",0.37173,-1.2204,2.8873,-0.11044,-0.74663,-0.047708,0.33377,-0.05892
"1643",-0.16328,-0.28521,0.35283,-0.09669,-1.0083,0.79207,0.041847,-0.53146
