"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"P19440",4.0067,3.2875,2.9952,2.6696,2.5784
"G3XAM2",3.3522,2.7939,2.5458,2.3876,2.3099
"O75629",3.3308,2.8108,2.5665,2.282,2.1851
"P27797",3.0907,2.6258,2.4063,2.151,2.0574
"P05067",2.8874,2.402,2.1899,1.9663,1.8973
"O15232",2.8711,2.4259,2.2153,2.0565,1.9731
"P24821",2.863,2.3495,2.1455,1.9695,1.8838
"Q8NBJ4",2.7519,2.3124,2.1078,1.973,1.8988
"Q9Y2S2",2.7509,2.5152,2.3087,2.0637,1.9739
"A0A075B6K5",2.4943,2.208,2.0347,1.8515,1.7764
"P55058",2.2814,1.871,1.814,1.6344,1.5701
"P60022",2.2683,1.9257,1.7617,1.626,1.598
"Q96S86",2.2406,1.9393,1.7746,1.5666,1.4988
"Q16651",2.1478,1.7858,1.6436,1.4472,1.3922
"P30044",2.1364,1.7973,1.6442,1.5361,1.4936
"P02790",2.1019,1.7997,1.6707,1.4703,1.432
"O60543",2.0505,1.6826,1.6267,1.4844,1.4273
"Q9NV23",2.0081,1.6467,1.6828,1.5249,1.4944
"A0A0C4DH34",2.0005,1.9636,1.8456,1.649,1.5838
"P27469",1.9439,1.598,1.4706,1.4385,1.376
"Q92484",1.9318,2.2363,2.0507,1.8567,1.7798
"Q99727",1.9281,1.6,1.5081,1.5203,1.4992
"C9JFR9",1.8843,1.5457,1.4081,1.4593,1.4145
"O60664",1.8822,1.5495,1.4239,1.2896,1.2384
"Q8N392",1.8804,1.8478,1.7654,1.5583,1.5391
"Q9Y646",1.855,1.8425,1.7024,1.514,1.4514
"Q6UXA7",1.8518,1.5191,1.3985,1.23,1.1841
"O43405",1.8172,1.5161,1.3848,1.2354,1.2061
"Q66K79",1.8019,1.566,1.4694,1.4331,1.3847
"Q9NZP8",1.7947,1.9263,1.76,1.5578,1.4991
"P42330",1.7849,1.4813,1.3801,1.2378,1.2271
"Q9NR31",1.7617,1.5771,1.4847,1.3618,1.3149
"P53634",1.7476,1.4884,1.5035,1.3247,1.2879
"P01624",1.7211,1.4164,1.3339,1.5365,1.6019
"I3L397",1.6943,1.4911,1.4597,1.2926,1.2399
"P04066",1.6935,1.4386,1.3921,1.2401,1.1957
"P11908",1.6801,1.5187,1.4858,1.3091,1.2564
"A0A087WWU8",1.6627,1.4847,1.4968,1.3653,1.3425
"D6RF35",1.6622,1.4593,1.5248,1.518,1.6378
"P01034",1.6615,1.4482,1.4415,1.3261,1.284
"P34096",1.659,1.3631,1.3096,1.1773,1.1657
"P62820",1.6579,1.4623,1.3661,1.2189,1.1659
"P43652",1.6535,1.7893,1.6397,1.4845,1.5713
"Q15843",1.6215,1.4091,1.2867,1.1398,1.1532
"Q6UX06",1.6046,1.4528,1.3393,1.1949,1.2249
"P31949",1.5967,1.3122,1.2138,1.1737,1.274
"P04114",1.5965,1.3094,1.3625,1.2022,1.1656
"Q9P2X0",1.5675,1.4518,1.3478,1.1852,1.1342
"Q9UNQ0",1.5646,1.4872,1.4192,1.7382,1.6674
"Q92520",1.5583,1.4226,1.2971,1.2181,1.1673
"P61224",1.5397,1.3489,1.2548,1.1139,1.0676
"P04271",1.528,1.4328,1.3441,1.184,1.1328
"P62258",1.5194,1.2815,1.2105,1.2066,1.1551
"Q9Y2J8",1.4934,1.2687,1.1561,1.6309,1.577
"P02760",1.4703,1.2609,1.2713,1.1232,1.0753
"Q9Y2V2",1.4562,1.5785,1.4383,1.3187,1.2648
"B1AKG0",1.4482,1.2421,1.143,1.0696,1.0321
"Q99497",1.4386,1.2186,1.1288,1.324,1.318
"P48723",1.4035,1.1566,1.1286,0.99249,0.9571
"Q16706",1.3724,1.4474,1.3586,1.2326,1.2036
"Q13228",1.3638,1.186,1.1944,1.0598,1.0581
"P17900",1.3606,1.4382,1.3493,1.1943,1.145
"P01011",1.3585,1.1742,1.0701,1.0024,1.0264
"P20827",1.3536,1.1118,1.0986,0.97323,0.94256
"P27348",1.3535,1.1325,1.072,0.94308,0.90935
"Q15084",1.3481,1.4066,1.3263,1.2669,1.2158
"P62701",1.3463,1.1041,1.2097,1.1681,1.1899
"P16278",1.3322,1.4858,1.3651,1.2304,1.1801
"P01619",1.3233,1.3119,1.201,1.2852,1.5227
"E9PJK1",1.3194,1.0931,0.99659,0.92017,1.0013
"P36955",1.2926,1.1834,1.2346,1.2118,1.1607
"P28072",1.2881,1.3169,1.1997,1.2343,1.1903
"P04233",1.2769,1.2226,1.1692,1.0716,1.025
"O43707",1.2748,1.4951,1.3705,1.328,1.4097
"Q96FQ6",1.2652,1.038,1.0174,1.0898,1.1689
"P49788",1.2489,1.6728,1.5888,1.4708,1.4142
"M0R0F0",1.2426,1.0265,1.091,0.96356,0.94493
"Q9NR45",1.2327,1.0121,1.0427,1.0637,1.0424
"P03950",1.231,1.1812,1.1175,0.99084,0.94776
"P23381",1.231,1.0474,1.0366,0.91807,0.88489
"Q15782",1.2296,1.0085,0.92732,1.2062,1.1605
"P08238",1.2238,1.084,1.1581,1.0298,1.0289
"P07900",1.2235,1.0184,1.0616,1.0957,1.05
"Q10471",1.2116,2.081,1.9,1.6767,1.6713
"O00339",1.2099,1.4927,1.4134,1.2658,1.223
"Q9NZ08",1.2001,1.0224,1.0016,0.89189,0.97355
"P30043",1.1888,1.2994,1.2025,1.2877,1.2585
"Q68D85",1.1828,1.0532,1.2667,1.1618,1.1797
"P04792",1.1822,0.97698,0.96331,1.0775,1.0395
"P06727",1.18,1.0171,0.96339,0.89011,0.8834
"Q7KZF4",1.179,0.97732,1.1595,1.0215,1.0133
"P04745",1.1742,0.96423,0.87846,0.79041,0.8571
"P33908",1.1657,0.96841,0.88274,0.93091,0.9857
"P61981",1.1603,0.96368,0.88549,0.97062,0.97359
"P36222",1.1533,1.0679,0.98558,1.0226,0.97872
"P01780",1.152,1.0728,0.99186,1.1799,1.5265
"P07858",1.1509,0.98192,1.0702,1.0107,1.1979
"D6RC73",1.1505,0.98384,0.98568,0.9272,0.91791
"Q06210",1.1448,1.2478,1.2113,1.4594,1.4009
"A0A0B4J1V2",1.1328,0.93385,0.85387,1.074,1.0636
"P55072",1.1301,1.3348,1.7275,1.5324,1.4724
"P26641",1.1301,0.96545,1.2272,1.0864,1.1164
"Q9H4G4",1.1297,0.93815,0.87878,0.80858,0.80757
"Q14512",1.1164,1.0131,1.009,0.88793,0.87663
"D6RHI9",1.1131,0.92117,0.86518,0.828,0.79196
"P01133",1.1031,1.221,1.199,1.1528,1.1099
"P50897",1.1012,0.9827,0.93301,0.9094,0.88225
"Q6UX73",1.099,1.018,0.92741,0.88601,0.92629
"P07357",1.0962,0.99461,0.96478,0.84836,0.98036
"P14324",1.0793,1.2722,1.178,1.0908,1.0433
"P14625",1.0664,0.87897,0.80127,0.70462,0.70202
"Q9UHD0",1.0509,1.0524,1.1311,1.0403,1.0058
"P04003",1.0497,0.87157,0.80771,0.76938,0.79543
"X6R3G6",1.0328,0.90885,0.83796,0.99588,0.98496
"P28070",1.0319,1.203,1.1313,0.99965,0.96428
"P27169",1.0291,0.84957,1.2852,1.5369,1.4852
"Q96MK3",1.0246,0.99718,0.94545,0.87532,0.85969
"Q2I0M4",1.02,0.83641,0.9428,0.84656,0.92357
"Q02878",1.0186,0.84731,1.0071,0.89582,0.86405
"O14672",1.0131,1.3708,1.2624,1.1153,1.0742
"P02748",1.0122,0.85237,0.85002,0.81501,0.78488
"P08697",1.0117,0.83944,1.0378,0.94487,0.92981
"P30101",1.0048,0.86383,0.82701,1.1285,1.0997
"P61626",1.0017,0.95855,1.0211,1.1222,1.1007
"P23083",1.0007,0.89044,0.89251,0.83848,0.97251
"Q562R1",0.9976,0.81935,0.74987,0.82346,0.7995
"P04430",0.9958,0.81937,0.89788,0.79132,1.008
"P09237",0.99575,0.9672,0.88495,0.95997,0.98421
"F5GZD9",0.98658,0.81064,0.85357,0.80229,0.76773
"P09467",0.98443,0.81789,0.81263,0.82002,0.78894
"Q9Y5P6",0.96876,1.5786,1.4665,1.4476,1.4073
"E5RJB8",0.96379,0.81683,0.85645,0.86429,0.84146
"P24534",0.95947,1.0059,0.93952,0.83905,0.81772
"P40429",0.9557,0.87208,0.91855,0.86337,0.83802
"P30041",0.95042,0.94552,0.94666,0.87583,0.89514
"Q9NR19",0.94882,1.0988,1.2503,1.2072,1.2298
"P25786",0.94595,1.3193,1.2373,1.2427,1.2391
"J3KS22",0.94016,0.77898,0.76718,0.96017,0.95308
"P49773",0.93296,1.1703,1.0962,0.96654,0.9291
"O00299",0.93267,1.3406,1.3819,1.2363,1.3695
"P05387",0.93209,0.81741,0.91957,0.82442,0.80324
"Q5JP53",0.92387,0.80653,1.041,1.0361,0.99269
"P22079",0.92325,0.83943,0.98375,0.9211,0.88325
"P02751",0.91634,0.82098,0.82065,0.73922,0.72828
"P25786.1",0.91423,1.1827,1.1266,0.99262,0.96786
"Q9BWS9",0.90739,1.7999,1.6437,1.4466,1.3837
"Q99538",0.90668,0.9639,0.92137,0.83812,0.83541
"Q8WUM4",0.90472,1.6086,1.4877,1.4985,1.5869
"P06733",0.90299,1.1239,1.0815,1.0311,1.0356
"Q03167",0.88267,0.73505,0.83651,0.74271,0.76748
"P01714",0.88095,1.0056,0.9665,0.87836,1.2206
"P84077",0.88074,1.2608,1.1532,1.0657,1.0461
"O94760",0.87288,0.82611,0.75267,1.3335,1.2801
"P22676",0.86471,1.1247,1.0641,1.072,1.0274
"H0YCU0",0.86459,0.74214,0.88643,0.93937,0.90958
"O60547",0.86423,0.81435,0.77418,0.87575,0.85
"A0A0C4DH68",0.85595,0.70198,0.69597,0.70442,0.71704
"A0A0C4DH31",0.85481,0.82103,0.80444,1.238,1.4441
"Q9H3G5",0.85399,0.72595,0.69684,0.67482,0.65017
"P06702",0.85332,0.72404,0.68662,0.74981,0.78637
"P50991",0.85011,0.70669,1.0361,0.91108,0.87696
"J3QR09",0.84758,0.76722,0.78708,0.69305,0.67721
"Q15181",0.84606,0.72747,0.84814,0.81657,0.88286
