,value.var,Freq,Comp
A0A075B6K5,-0.124810959,0.89,1
A0A075B7B8,-0.16939986,0.946,2
A0A087WWU8,0.531282534,0.908,3
A0A0C4DH34,0.11195392,0.8,1
C9JXB8,0.179232952,0.992,2
E9PDQ1,-0.097570382,0.772,2
E9PJD9,0.0678921,0.738,2
G3XAM2,0.367548716,1,1
H3BVI7,-0.242415794,0.664,3
J3QR09,0.225892618,0.996,2
O00462,-0.059737851,0.726,2
O15232,0.189052774,0.99,1
O43175,0.146586175,0.938,2
O60543,-0.106376953,0.814,1
O60547,0.085610045,0.774,2
O75629,-0.376720116,1,1
P00352,0.078253788,0.742,2
P01133,-0.17047677,0.966,2
P02790,0.151007127,0.95,1
P05067,0.244379049,1,1
P05090,-0.296383184,1,2
P06733,0.112157992,0.882,2
P14324,0.119051521,0.906,2
P17858,0.414588322,0.826,3
P19440,0.403772882,1,1
P23396,0.073689667,0.676,3
P24821,0.40169395,1,1
P25786,0.123376442,0.922,2
P25788,0.08083468,0.846,2
P27469,-0.106060634,0.826,1
P27797,0.366115839,1,1
P28070,0.182863171,0.992,2
P30044,-0.012887604,0.37,1
P35579,0.022046377,0.434,3
P43251,-0.161562467,0.968,2
P60022,0.124301939,0.866,1
P62266,0.211758777,0.986,2
P62820,-0.002625984,0.316,1
Q02809,-0.192800335,0.984,2
Q06210,0.166052287,0.922,2
Q10471,-0.10234543,0.824,2
Q16651,0.039173598,0.492,1
Q6UXI9,-0.208694368,0.98,2
Q7KZF4,0.190386319,0.982,2
Q8N392,0.693666899,0.976,3
Q8NBJ4,0.162198844,0.938,1
Q92597,0.225336121,0.998,2
Q96S86,0.06656629,0.648,1
Q9BWS9,-0.080606969,0.848,2
Q9HBR0,-0.209867143,0.998,2
Q9NR31,-0.102557911,0.802,1
Q9UHL4,-0.116132815,0.872,2
Q9Y2S2,-0.192874921,0.988,1
Q9Y5P6,0.392623635,1,2
Q9Y646,-0.173502976,0.958,2
