,nrep.1,nrep.2,nrep.3,nrep.4,nrep.5,nrep.6,nrep.7,nrep.8,nrep.9,nrep.10,nrep.11,nrep.12,nrep.13,nrep.14,nrep.15,nrep.16,nrep.17,nrep.18,nrep.19,nrep.20,nrep.21,nrep.22,nrep.23,nrep.24,nrep.25,nrep.26,nrep.27,nrep.28,nrep.29,nrep.30,nrep.31,nrep.32,nrep.33,nrep.34,nrep.35,nrep.36,nrep.37,nrep.38,nrep.39,nrep.40,nrep.41,nrep.42,nrep.43,nrep.44,nrep.45,nrep.46,nrep.47,nrep.48,nrep.49,nrep.50,Mean,SD
1,0.7791,0.8511,0.8082,0.8116,0.7555,0.8283,0.7597,0.8102,0.7832,0.7569,0.7708,0.7999,0.8089,0.7625,0.7839,0.7943,0.7666,0.8186,0.8116,0.8012,0.8241,0.8047,0.7735,0.7964,0.7867,0.7604,0.7922,0.7791,0.7881,0.7964,0.8456,0.7659,0.8054,0.849,0.8289,0.7645,0.8733,0.8033,0.7583,0.7916,0.8158,0.7922,0.7943,0.813,0.7999,0.75,0.8193,0.7943,0.7639,0.8172,0.796188,0.027513304
2,0.7909,0.847,0.7819,0.7978,0.7562,0.8296,0.7729,0.8373,0.7853,0.7867,0.7521,0.7978,0.8061,0.7763,0.7874,0.8012,0.7701,0.822,0.7964,0.7777,0.8262,0.8165,0.7895,0.8026,0.7957,0.7666,0.7791,0.7749,0.8082,0.7971,0.8386,0.7825,0.8109,0.8497,0.8241,0.768,0.8795,0.8213,0.7715,0.7971,0.8096,0.8075,0.7881,0.8179,0.7992,0.7465,0.7715,0.7943,0.7708,0.8172,0.797898,0.026751506
3,0.8047,0.831,0.7971,0.7763,0.7583,0.831,0.7784,0.8456,0.7985,0.7798,0.7645,0.7971,0.8109,0.777,0.8012,0.8033,0.7839,0.8303,0.8061,0.7715,0.8186,0.8248,0.795,0.7832,0.7978,0.7659,0.7867,0.7902,0.8158,0.7999,0.831,0.7888,0.8123,0.8456,0.8123,0.7839,0.876,0.8109,0.7791,0.8075,0.8089,0.8255,0.7909,0.8193,0.8068,0.7417,0.7708,0.7985,0.7777,0.8359,0.800956,0.02534012
4,0.8082,0.8386,0.7971,0.7652,0.7555,0.8241,0.7846,0.8483,0.7971,0.7853,0.7701,0.7992,0.8151,0.7825,0.8075,0.804,0.7902,0.8248,0.8123,0.7784,0.8144,0.8269,0.8179,0.7791,0.8012,0.7611,0.7992,0.8012,0.8227,0.7957,0.8289,0.7895,0.8082,0.8421,0.8102,0.8012,0.867,0.8019,0.7867,0.8123,0.804,0.8269,0.786,0.8199,0.8151,0.7458,0.7742,0.7902,0.7839,0.8262,0.802554,0.02402842
5,0.8123,0.84,0.7902,0.7645,0.7542,0.8213,0.7839,0.849,0.7999,0.7812,0.7742,0.7888,0.8165,0.7936,0.8089,0.8089,0.7916,0.8324,0.8172,0.7784,0.8151,0.831,0.8179,0.7839,0.8026,0.759,0.7992,0.7985,0.8317,0.7916,0.8283,0.786,0.8116,0.8428,0.7909,0.8123,0.8629,0.7964,0.7888,0.8123,0.7999,0.8317,0.7867,0.8213,0.8193,0.7507,0.7729,0.7825,0.7936,0.8289,0.803146,0.024601578
6,0.8109,0.8373,0.7902,0.7708,0.7569,0.8193,0.7867,0.8463,0.7964,0.7839,0.7819,0.7895,0.813,0.8026,0.8054,0.8116,0.7957,0.8317,0.8102,0.7825,0.8054,0.8303,0.8206,0.7874,0.8006,0.7645,0.8019,0.8054,0.8227,0.7922,0.8227,0.7853,0.8096,0.8435,0.8026,0.8116,0.8636,0.7999,0.7846,0.8116,0.7999,0.838,0.7895,0.8234,0.8096,0.7659,0.7756,0.7791,0.7936,0.8345,0.803958,0.022589144
7,0.8137,0.8324,0.795,0.7722,0.7763,0.8144,0.7909,0.8449,0.7992,0.7922,0.786,0.7971,0.8165,0.8137,0.8047,0.8158,0.7992,0.8359,0.8089,0.786,0.8054,0.8296,0.8213,0.7832,0.8026,0.7735,0.804,0.8019,0.8193,0.7909,0.8234,0.786,0.8102,0.8414,0.7999,0.8109,0.8615,0.7999,0.7909,0.8096,0.8012,0.8359,0.7916,0.8234,0.8151,0.7645,0.7819,0.7812,0.7936,0.8352,0.80568,0.020540016
8,0.8123,0.8317,0.795,0.7722,0.7756,0.8165,0.7999,0.84,0.7999,0.7929,0.7916,0.7971,0.8179,0.8234,0.8033,0.8206,0.7978,0.8352,0.8026,0.7853,0.8026,0.8276,0.8269,0.7763,0.7992,0.7805,0.8047,0.8019,0.8165,0.7909,0.8241,0.7909,0.8012,0.8414,0.7992,0.8137,0.8615,0.7971,0.795,0.8082,0.7978,0.838,0.7999,0.8234,0.8206,0.7708,0.7798,0.7819,0.7943,0.8359,0.806252,0.020184195
9,0.8116,0.831,0.8019,0.7749,0.7749,0.8158,0.804,0.8414,0.804,0.795,0.7936,0.7999,0.8179,0.8241,0.8033,0.8206,0.7971,0.8338,0.7992,0.7957,0.8033,0.8276,0.8324,0.7756,0.7978,0.7805,0.804,0.8068,0.8186,0.7909,0.8227,0.795,0.804,0.8345,0.7971,0.8096,0.8615,0.7971,0.7957,0.8082,0.7978,0.8386,0.8006,0.8186,0.8206,0.7708,0.7839,0.7853,0.7985,0.8373,0.807092,0.019386886
10,0.8109,0.8324,0.7985,0.7798,0.777,0.8186,0.804,0.8407,0.7992,0.7964,0.7957,0.8019,0.8165,0.8255,0.7992,0.8227,0.7971,0.838,0.7971,0.795,0.8054,0.8289,0.8331,0.7784,0.7957,0.7825,0.8047,0.8096,0.8206,0.7916,0.8234,0.7964,0.8054,0.8324,0.7957,0.8109,0.8594,0.7971,0.7964,0.8054,0.7943,0.838,0.7992,0.8213,0.8234,0.7687,0.7874,0.7832,0.8019,0.8366,0.807464,0.019303703
