"","nrep.1","nrep.2","nrep.3","nrep.4","nrep.5","nrep.6","nrep.7","nrep.8","nrep.9","nrep.10","nrep.11","nrep.12","nrep.13","nrep.14","nrep.15","nrep.16","nrep.17","nrep.18","nrep.19","nrep.20","nrep.21","nrep.22","nrep.23","nrep.24","nrep.25","nrep.26","nrep.27","nrep.28","nrep.29","nrep.30","nrep.31","nrep.32","nrep.33","nrep.34","nrep.35","nrep.36","nrep.37","nrep.38","nrep.39","nrep.40","nrep.41","nrep.42","nrep.43","nrep.44","nrep.45","nrep.46","nrep.47","nrep.48","nrep.49","nrep.50"
"1",0.8359,0.8186,0.8331,0.7832,0.8109,0.8324,0.8518,0.7895,0.8463,0.8116,0.8158,0.8151,0.84,0.8248,0.8331,0.8172,0.8033,0.7735,0.8289,0.8248,0.8359,0.7978,0.8026,0.7694,0.8096,0.8539,0.8082,0.8186,0.8331,0.7971,0.8151,0.8123,0.8006,0.849,0.8359,0.8345,0.7812,0.8303,0.7784,0.7895,0.8269,0.8532,0.7881,0.7922,0.8082,0.8269,0.7798,0.813,0.768,0.8373
"2",0.8643,0.8553,0.8573,0.8006,0.8061,0.8331,0.8539,0.786,0.8594,0.8276,0.831,0.8033,0.856,0.838,0.8428,0.8393,0.8082,0.7722,0.8435,0.8421,0.8317,0.8054,0.8144,0.8082,0.8414,0.876,0.822,0.8359,0.8234,0.7943,0.8289,0.8241,0.8151,0.8615,0.8428,0.8317,0.786,0.8594,0.7943,0.8123,0.849,0.8449,0.7971,0.7999,0.8296,0.8276,0.7985,0.8123,0.7819,0.831
"3",0.8698,0.8608,0.8629,0.8006,0.8082,0.8352,0.8733,0.7853,0.8636,0.8324,0.8525,0.8179,0.8719,0.8497,0.8483,0.847,0.8241,0.7777,0.858,0.8553,0.8518,0.8075,0.8255,0.8172,0.8525,0.876,0.8331,0.8386,0.8317,0.7985,0.8345,0.8172,0.8227,0.8615,0.8511,0.8296,0.7888,0.867,0.8068,0.8255,0.8733,0.8511,0.8068,0.8116,0.8359,0.831,0.8137,0.8102,0.7943,0.8393
"4",0.8663,0.8643,0.8615,0.7957,0.822,0.8269,0.876,0.7971,0.8643,0.8518,0.8594,0.8276,0.8753,0.8483,0.8566,0.8622,0.838,0.786,0.8601,0.849,0.8525,0.8061,0.8269,0.8317,0.8525,0.8726,0.8393,0.8435,0.8345,0.8047,0.84,0.8269,0.8352,0.8608,0.8532,0.8269,0.7888,0.8622,0.8179,0.8359,0.8705,0.8525,0.8061,0.8199,0.8463,0.8345,0.8206,0.8172,0.7922,0.8525
"5",0.8698,0.8594,0.865,0.7992,0.8234,0.8186,0.8843,0.795,0.8726,0.849,0.8456,0.8331,0.8677,0.8532,0.8608,0.8677,0.8497,0.7839,0.8677,0.8407,0.8504,0.8096,0.8276,0.8338,0.858,0.876,0.8435,0.8476,0.8303,0.8109,0.8532,0.8338,0.8352,0.8553,0.8573,0.8262,0.7964,0.8587,0.8269,0.838,0.8698,0.8636,0.8026,0.8366,0.8518,0.8359,0.8262,0.8234,0.7978,0.8463
"6",0.8608,0.8629,0.8601,0.8006,0.8296,0.8206,0.8843,0.8019,0.8705,0.8483,0.849,0.8303,0.8615,0.8546,0.8566,0.867,0.8587,0.7832,0.8698,0.838,0.849,0.804,0.8366,0.8366,0.8636,0.8747,0.8421,0.8421,0.8303,0.8172,0.8539,0.831,0.8359,0.8566,0.8594,0.8269,0.8054,0.8525,0.8296,0.8414,0.8691,0.8705,0.8026,0.8352,0.8497,0.838,0.8262,0.8289,0.8006,0.8463
"7",0.8601,0.8622,0.8622,0.8006,0.84,0.8158,0.8795,0.8165,0.8733,0.8476,0.8497,0.838,0.8608,0.8553,0.8546,0.867,0.8636,0.7832,0.8719,0.8352,0.849,0.8033,0.8352,0.84,0.8615,0.874,0.8386,0.8476,0.8296,0.8193,0.8532,0.8317,0.8359,0.8615,0.8546,0.8255,0.8102,0.8476,0.8317,0.8366,0.8636,0.8691,0.7971,0.8283,0.84,0.8366,0.8338,0.8255,0.8012,0.8428
"8",0.856,0.858,0.8622,0.7957,0.84,0.8137,0.8781,0.8303,0.8767,0.8476,0.8483,0.838,0.8636,0.8476,0.856,0.865,0.8629,0.7881,0.8698,0.8331,0.8463,0.8026,0.8359,0.8428,0.8539,0.874,0.838,0.8476,0.8248,0.8255,0.8553,0.8345,0.8296,0.8643,0.8594,0.8283,0.8109,0.8435,0.8338,0.838,0.8663,0.8691,0.7985,0.8296,0.8366,0.831,0.8345,0.8234,0.8006,0.8414
"9",0.856,0.8553,0.8608,0.7929,0.8449,0.8102,0.8774,0.8296,0.8753,0.8428,0.8463,0.8366,0.8643,0.8463,0.8511,0.8663,0.8601,0.7867,0.8698,0.8331,0.8449,0.8026,0.8359,0.8456,0.8518,0.8781,0.8352,0.8476,0.8248,0.822,0.8573,0.8345,0.8276,0.8643,0.8608,0.8276,0.8096,0.8386,0.8428,0.8324,0.8663,0.8684,0.8012,0.831,0.8303,0.8241,0.8338,0.8241,0.8047,0.8414
"10",0.849,0.8546,0.8566,0.7902,0.8456,0.8096,0.8802,0.8283,0.8747,0.8456,0.8435,0.8331,0.8643,0.8428,0.8532,0.8657,0.8615,0.7846,0.8698,0.8241,0.8476,0.8054,0.8352,0.8442,0.8511,0.8747,0.8248,0.847,0.8241,0.8241,0.8539,0.8338,0.8234,0.8608,0.8622,0.8283,0.8102,0.8366,0.8456,0.8303,0.867,0.8643,0.8047,0.8317,0.8289,0.8227,0.8283,0.8234,0.8075,0.8449
