ter,1,2,3,fc
P61626,1.367127051,1.054153695,1.492724611,0.915860193
S4R371,0.081311969,0.046843278,0.062273349,1.305726611
P01859,0.05230383,0.028846351,0.032337424,1.617439584
P01034,0.167464162,0.13945054,0.131442008,1.274053588
P49327,0.105161031,0.105638019,0.044749515,2.349992618
H0YCU0,0.091037767,0.057594579,0.043908011,2.073374861
P01009,0.077808654,0.058141089,0.052741611,1.475280189
P01011,0.281210993,0.142911812,0.085207414,3.3003113
P04745,0.114740667,0.1073969,0.052634698,2.179943459
P25311,0.023382488,0.022693629,0.021401913,1.092541965
Q08380,0.052427821,0.042334941,0.031075304,1.68712174
D6RF35,0.0272741,0.020331706,0.027412192,0.994962355
P00738,0.045005184,0.035181394,0.031231936,1.440998844
Q16851,0.055913639,0.054486888,0.021170442,2.641118212
P06733,0.091530848,0.074837045,0.03204436,2.856379363
P62937,0.034905966,0.028251805,0.016965574,2.057458634
P04406,0.055155368,0.048729495,0.023462584,2.350779776
F5GZD9,0.065848317,0.040703165,0.052261372,1.259980636
Q02818,0.040083647,0.02461754,0.030756859,1.303242524
D6RC73,0.024918816,0.019163076,0.018159598,1.372211906
P01714,0.01103181,0.009066951,0.009947863,1.108962786
P0C0L5,0.046792693,0.037906872,0.026928824,1.737643392
Q6X4U4,0.060541043,0.048337201,0.053548938,1.130574113
Q92876,0.028701181,0.01491257,0.01732466,1.656666292
P63104,0.026453397,0.024725704,0.011759803,2.249476323
P06727,0.027447561,0.021622877,0.013325044,2.059847744
P04075,0.019705559,0.019381563,0.007886447,2.498661338
O60664,0.016937368,0.015926067,0.010539557,1.607028465
Q12841,0.017743021,0.010002327,0.011876121,1.494008084
P19652,0.029705253,0.018351876,0.013767513,2.157633944
Q96KP4,0.015743371,0.01494178,0.006508538,2.41887961
P22079,0.019571033,0.011035142,0.013952219,1.402718354
P23528,0.019210792,0.022063433,0.008639809,2.223520554
P60174,0.014552792,0.015032316,0.006102179,2.384851522
Q9NP72,0.007754951,0.007149529,0.003952502,1.962036248
Q9BRK5,0.009066994,0.007438251,0.006865775,1.320607436
P50395,0.012123816,0.010974439,0.00556221,2.179676036
P04114,0.001652171,0.001795853,0.001846526,0.894745894
P20061,0.03083111,0.021530173,0.016845197,1.830261164
P43490,0.005391983,0.00505326,0.00214508,2.513650962
P00558,0.006917315,0.007332048,0.003000048,2.305734917
Q96FQ6,0.003475496,0.003396033,0.001534304,2.265194377
O75874,0.008522876,0.009025828,0.003551936,2.399501559
P60953,0.007377208,0.00693567,0.004054515,1.819504573
P02790,0.020814232,0.009398325,0.007446796,2.795058642
P53634,0.004554469,0.002959861,0.001967141,2.315273437
O00300,0.009317559,0.004345542,0.005742447,1.622576382
P14550,0.00725534,0.00747423,0.003332088,2.177415682
P04217,0.013543849,0.009796168,0.007424021,1.824327896
Q99497,0.005537907,0.004935108,0.002095865,2.642300695
P36871,0.006139107,0.006833965,0.002493479,2.462064517
P15311,0.00630795,0.006286586,0.003481809,1.811687693
P08697,0.003424489,0.002458127,0.002458715,1.392795988
Q96S86,0.006875888,0.005425477,0.002380988,2.887829924
P02671,0.007339146,0.003728678,0.005089812,1.441928686
P49189,0.005880756,0.005691369,0.002446895,2.403354023
P07900,0.010210139,0.010038053,0.002988396,3.416595373
P01008,0.006099054,0.005015081,0.004029487,1.513605506
Q9BY76,0.007569011,0.005690382,0.005832896,1.297642195
Q14624,0.001818406,0.001344434,0.001266439,1.435841114
P27105,0.003175571,0.002151721,0.00248597,1.277397232
P01133,0.002364464,0.00168725,0.001715061,1.378647273
P31946,0.005507795,0.005469509,0.002123254,2.594034468
Q9HB40,0.006382347,0.004370739,0.003220857,1.981568241
P13639,0.004030329,0.004651748,0.001037231,3.885661448
P61224,0.0035788,0.003371478,0.00214812,1.666014987
P02748,0.002225145,0.001428204,0.001069909,2.079750894
P07237,0.002587278,0.002041121,0.001635171,1.582267746
Q14118,0.002413739,0.001794323,0.001340802,1.800220712
Q6UXI9,0.002397722,0.002357753,0.001583553,1.514140754
P02675,0.005809433,0.003134359,0.003680375,1.578489416
P51148,0.003279253,0.002950455,0.00133094,2.463862088
Q5T985,0.001886379,0.001466133,0.001624505,1.161202585
P02760,0.002460135,0.001526302,0.001047049,2.349589405
G3XAM2,0.005401009,0.003317403,0.001868167,2.891074041
P01023,0.002901025,0.00153481,0.001448991,2.002100439
P05067,0.00251811,0.002407025,0.000784975,3.207888141
P54802,0.00178481,0.000965244,0.001177462,1.515811089
P31947,0.002348681,0.002854124,0.001420494,1.653425632
Q02809,0.001827992,0.001373401,0.001359711,1.344397067
P17900,0.003778669,0.00284842,0.002025495,1.865553642
P36955,0.003701238,0.002387196,0.001624943,2.277764077
P02751,0.001616799,0.000896184,0.000971486,1.664252488
D6RHI9,0.003044513,0.001966072,0.001376646,2.211544233
P04003,0.005554777,0.001942015,0.004259165,1.304193991
O00339,0.000403529,0.000406373,0.000190452,2.118794929
P43251,0.00079732,0.000681833,0.000572175,1.393490113
P02766,0.025553268,0.016996512,0.019254736,1.327116028
Q5H9A7,0.045399671,0.031442424,0.024089161,1.88465142
A0A087X1J7,0.014269562,0.010926123,0.012007977,1.188340265
Q9NR31,0.004847256,0.004340622,0.003843857,1.26103949
P04066,0.007167617,0.003873682,0.006127225,1.169798234
A6NNI4,0.029027955,0.022515406,0.013901912,2.08805484
A0A0C4DGN4,0.01738495,0.013088628,0.007735052,2.247554331
Q9UHD0,0.00891528,0.003768632,0.007545632,1.181515358
P51149,0.002958699,0.002672695,0.00138749,2.132410243
P01019,0.003312604,0.002805366,0.001516675,2.184122445
S4R3V8,0.001590908,0.001334373,0.000952954,1.66944833
P27169,0.000713144,0.000430765,0.000706197,1.00983705
P16278,0.000743643,0.000698413,0.000678485,1.096034589
E5RJB8,0.003747943,0.003989712,0.002247398,1.667680705
P62820,0.00596724,0.005157207,0.003381201,1.764828673
O00560,0.007837591,0.006801709,0.00465503,1.683682065
P31949,0.003717631,0.005186926,0.002041774,1.8207842
P07686,0.001005418,0.000622029,0.000715776,1.404653498
P00491,0.00211512,0.001976747,0.000753363,2.807571813
P27797,0.001252223,0.001376181,0.000476508,2.627918694
E9PJK1,0.067567704,0.050023947,0.029800368,2.267344611
P84077,0.014527782,0.012931868,0.007039902,2.063634212
P45877,0.005148233,0.00367592,0.002672818,1.926144315
Q8NBJ7,0.001081904,0.000827078,0.000766778,1.410974041
P55058,0.000511747,0.000247972,0.000296256,1.72738138
P0C0L4,0.060551176,0.038294775,0.022963972,2.636790209
Q96PD5,0.000388022,0.000298896,0.000284297,1.364847863
Q68D85,0.000781436,0.000761024,0.000639748,1.221473723
P10643,0.00076284,0.00037922,0.000731863,1.042327289
P52823,0.003244368,0.001630417,0.001471877,2.204238601
Q6UWP8,0.000718056,0.000281518,0.000544725,1.318198733
P63313,0.033386793,0.034466433,0.016341677,2.04304569
P61586,0.009078201,0.00874238,0.004359061,2.082605046
P28799,0.010239552,0.006642992,0.009960736,1.0279915
P18669,0.004556068,0.004697471,0.00201711,2.258710884
P04792,0.006216551,0.008116916,0.00247124,2.515558993
Q9UBI6,0.006159728,0.005474454,0.003469036,1.775630989
P08603,0.001728577,0.001064347,0.001155602,1.495824436
P30101,0.001263589,0.000951724,0.00047788,2.644156782
P11234,0.001667252,0.001061888,0.000808476,2.0622156
Q99538,0.001949055,0.001181812,0.001035348,1.882512709
P19827,0.000690368,0.000531926,0.000650671,1.061008203
O00592,0.002471927,0.001708951,0.001399566,1.766210137
P14625,0.001055361,0.000890794,0.000356869,2.957275683
P48449,0.000338785,0.000287144,0.000197648,1.714084761
P30041,0.006172212,0.008546309,0.002916464,2.11633406
O60603,0.00018612,0.000134032,0.000214873,0.866186628
Q9NZP8,0.000946521,0.000765765,0.000472705,2.002348798
P19440,0.001913387,0.00176062,0.000530057,3.60978
Q99727,0.001748623,0.001393868,0.00046017,3.79994963
J3KS22,0.003762056,0.004380985,0.001882867,1.998047141
O94760,0.002188508,0.00251369,0.000766638,2.854682304
P61981,0.002000184,0.002022663,0.00078315,2.554026134
P52209,0.002470393,0.003485748,0.00085985,2.873050774
P60981,0.00182021,0.002210051,0.000788035,2.309809552
P08238,0.003705405,0.003618577,0.000928677,3.989982438
Q8NC51,0.000757829,0.001099515,0.000203943,3.715885379
P26038,0.001022526,0.001121578,0.000597472,1.711421685
P05387,0.003196198,0.003845657,0.000901464,3.545564438
P61026,0.00058589,0.000566519,0.000342626,1.709998516
Q9NQX5,0.000511657,0.000310959,0.000388543,1.316860922
Q9H0U4,0.00050875,0.000517004,0.000206803,2.460073062
P43652,0.000722506,0.000605977,0.000440699,1.639455833
P00918,0.001178878,0.00104835,0.000491201,2.399992928
Q2I0M4,0.000519517,0.000377561,0.000567771,0.91501242
P48723,0.000129999,8.38E-05,0.00010193,1.275376208
P30086,0.015158752,0.014470178,0.006448854,2.350611791
Q9H4G4,0.007196061,0.006984069,0.003764402,1.911607694
P07737,0.010018392,0.011207834,0.003584141,2.795199834
Q13228,0.005001816,0.006515741,0.001236785,4.044208643
P11021,0.002135484,0.001916567,0.000990161,2.156704014
Q9UNQ0,0.001022143,0.00082079,0.00064734,1.578990423
P21399,0.001986907,0.002396479,0.000713696,2.783967255
