sample,group,DSLNT,LNnH,LNDFH11,LSTA,LSTB,LSTC,LNFP ¢ó,LNFP¢ñ,3SL,6SL,3FL,2FL
983,0,29239.81,38.56,401.27,453.89,927.57,676.58,1817.11,4998.87,2226.7,2881.96,590.12,243.02
901,0,27322.9,18.16,529.5,327.8,1131.34,617.76,2784.39,3675.09,2964.94,2680.25,1787,428.91
909,0,17962.93,5.96,384.4,232.59,387.19,268.34,2147.86,3946.32,3374.84,1253.6,709.74,211.26
924,0,31340.19,16.38,486.93,460.08,1785.89,906.97,2961.34,3459.72,2855.7,2767.04,1449.54,400.33
931,0,26056.56,13.82,704.5,308.1,1090.42,946.25,2728.82,3943.33,3356.45,2700.64,650.85,345.12
945,0,26531.04,10.1,162.54,256.74,573.16,373.66,2095.8,5477.08,1887.31,1922.3,535.09,344.68
956,0,2457.87,19.68,573.65,995.54,2016.68,748.28,3029.13,5877.78,2747.94,1731.05,1401.36,334.28
985,0,25441.84,7.94,385.93,393.61,96.79,306.94,2141.4,2874.52,2783.66,1611.12,1027.68,376.66
987,0,20149.77,3.9,292.96,216.1,452.28,260.76,1785.53,1028.46,1961.11,1701.7,959.25,349.61
990,0,25032.73,27.25,209.13,237.53,621.28,657.24,2131.43,6515.6,2693.13,2368.79,308.58,316.71
913,0,27487.39,16.03,416.3,339.6,583.67,434.14,2803.66,6073.14,2426.35,1611.22,772.47,262.66
938,0,19227.16,13.1,422.03,363.93,1166.71,534.4,2768.42,2265.67,2243.75,1850.26,1534.56,635.68
943,0,10521.97,4.09,332.04,144.54,152.07,140.44,2427.04,224.61,2328.8,399.59,1440.89,334.48
966,0,3266.6,0,132.52,92.95,81.3,108.89,625.49,71.53,877.44,234.18,1718.88,656.83
995,0,9839.77,2.9,362.33,123.53,122.27,129.58,1371.68,801.77,2367.99,807.47,1601.41,419.62
971,0,21880.05,4.67,207.82,153.25,200.65,327.17,2120.54,185.29,1283.44,959.04,1675,489.42
946,0,8992.03,2.48,212.85,137.24,142.88,124.3,1606.39,113.84,1310.93,486.35,2072.55,607.7
965,0,9579.33,3.75,388.29,157.55,147.31,128.31,2924.72,156.06,2390.32,379.4,2249.97,630.44
986,0,18955.12,6.55,445.98,260.24,357.15,181.48,3279.65,384.72,2450.34,634.76,2230.81,416.38
908,0,232172.12,18.88,290.3,131.83,107.19,426.55,2207.06,1746.21,1817.05,846.56,1178.35,443.54
989,0,21938.04,3.33,261.49,116.45,137.08,302.3,2220.79,127.57,185.77,1157.72,1817.39,427.17
994,0,11920.12,3.65,137.24,91.25,99.83,271.26,1647.24,2625.71,2144.58,884.93,767.23,451.74
921,0,16906.41,10.32,460.62,415.2,520.19,225.16,3213.41,5070.52,2703.56,803.25,1535.94,289.04
993,0,17152.09,6.55,440.25,254.89,477.22,223.11,2674.89,683.2,3103.03,679.18,2064.23,356.76
932,0,12200.59,5.34,428.45,69.64,87.48,187.03,2834.81,2023.06,1089.46,683.36,2397.76,152.43
979,0,24328.38,8.46,389.69,128.72,160.04,323.07,311.04,1041.84,2442.5,505.46,2252.98,687.83
936,0,17126.78,3.45,253.06,110.2,109.52,152.8,972.34,706.83,2459.74,325.26,2013.89,592.85
911,0,31617.5,16.08,473.6,517.51,319.77,139.86,3603.7,2532.81,3116.33,182.53,222.64,417.67
954,0,70335.34,4.71,327.32,139.11,112.23,116.46,1660.24,304.06,2831.4,303.84,2313.47,501.72
998,0,10892.07,2.85,272.47,322.52,90.55,170.62,1423.04,214.58,2074.38,399.79,2622.56,882.73
61,0,41746.14,13.9,943.71,314.04,2340.54,120.95,4013.08,958.88,2233.64,1045.2,3280.72,4096.35
90,0,11490.97,20.4,580.99,176.49,789.26,109.63,22415.21,711.71,1782.09,6021.51,3126.16,2908.22
135,0,22733.07,11.61,764.2,167.5,1040.73,110.46,641.29,1271.57,715.8,2422.48,3048.41,8719.15
194,0,21528.93,6.85,582.6,462.63,602.44,109.5,132.91,1048.39,1431.52,17010.97,422.28,8004.12
57,0,6521.55,13.25,681.91,111.29,361.3,107.09,479.69,693.76,1265.61,3460.51,3528.69,6130.15
137,0,14971.57,6.72,430.03,231.01,1359.43,106.87,384.33,861.99,2617.11,1232.55,1517.44,5634.12
151,0,4856.64,8.26,504.37,133.47,296.56,107.52,592.03,494.79,607.04,3635.75,2664.32,2879.38
203,0,5781.36,4.67,482.69,124.34,600.61,107.7,1315.19,591.61,2194.63,8830.67,1522.37,3608.01
28,0,7055.08,3.52,682.95,181.62,230.25,105.58,98.68,1187.84,1316.67,2350.76,138.99,9955.43
94,0,22691.94,21.54,909.18,205.88,1272.21,112.43,2036.23,1014.3,1886.4,8743.66,3154.69,6689.21
185,0,14743.82,13.72,147.77,229.06,407.77,104.19,3113.24,488.05,1854.4,6497.89,2635.78,1070.12
197,0,15511.43,7.27,781.03,169.8,657.14,110.39,8922.26,1073.89,520.46,9176.96,4642.95,3797.69
202,0,13874.99,13.28,764.51,194.98,622.91,109.62,2032.01,869.81,1677.82,7436.03,2852.32,6228.92
49,0,24638.38,3.2,240.82,204.53,76.47,174.72,651.23,422.94,1224.64,5697.72,1335.13,3498.82
76,0,5567.31,0,517,100.4,102.42,103.25,85.68,353.49,1535.14,2980,2734.93,8713.94
119,0,13930.87,2.75,765.21,337.96,151.87,105.08,975.41,623.49,2515.34,3628.4,2609.18,6699.89
129,0,25940.57,3.33,471.85,481.95,3806.7,109.29,592.23,922.71,3443.37,309.16,1522.37,3970.22
15,0,7817.42,5.34,566.17,121.88,173.61,105.26,98.18,922.31,4919.13,2066.88,2609.58,9515.44
