sample,group,P00709,P05814,P47710,P07498,P02788,P02768,P01876,P19835,P01833,P47989,P22897,P10909,Q6WN34,P23280,P49327,H0YCU0,P02763,P04745,P15291,Q16851,P06733,P04406,P02787,P63104,P06727,P04004,P19652,Q96KP4,P23528,P60174,Q9NP72,P50395,P43490,O75874,P00450,P05155,P02790,P53634,O00300,P04217,Q99497,P36871,Q9H173,Q14697,Q96S86,P07900,P31946,P13639,P01042,Q6PCB0,P02748,P02760,P01023,P05067,P36955,P51149,P01019,P62820,E9PJK1,P45877,P63313,P18669,P04792,P14625,P08238,Q9H4G4,P07737,Q13228,P11021,P62258,P17066,Q16555
1,T3,33.84931824,14.36677163,8.837474491,9.324181158,7.164940942,5.178249545,2.601322189,3.247785263,1.387292501,0.244061379,0.376721671,0.566376622,0.262970349,0.164290275,0.071515535,0.027555749,0.114283843,0.072086731,0.11983218,0.024762243,0.026368434,0.036000229,0.085274816,0.013982404,0.015480604,0.032977649,0.056720962,0.005659601,0.017937045,0.004749852,0.007122994,0.010341327,0.001393837,0.002038129,0.003192451,0.014248367,0.016617641,0.001217957,0.013325826,0.016274924,0.004223579,0.001926567,0.009200422,0.008781247,0.005817275,0.004088515,NA,0.000868932,0.004720103,0.006452433,0.000977906,0.001879235,0.002549171,0.001577632,0.005557262,0.000336351,0.002882993,0.005626876,0.130476657,0.003758887,0.027783037,0.000943753,0.000585535,0.000245287,0.000935542,0.007864954,0.005030393,0.000660535,0.002499905,0.002009807,0.000269923,0.002179857
2,T1,30.21421766,23.12831656,5.088921266,7.502167493,7.126299626,6.412700099,2.563076273,3.40284847,1.422286594,0.278003251,0.331688041,0.975963701,0.200286186,0.236366916,0.016115779,0.043578696,0.148682728,0.202464475,0.089006028,0.018913943,0.032373761,0.010538521,0.062365625,0.008677603,0.036206773,0.025834048,0.029451494,0.004228271,0.011473504,0.001717002,0.005901416,0.008845014,0.000126325,0.000845751,0.007723551,0.018508341,0.017231425,0.004240875,0.013233587,0.01343461,0.000687906,0.001803261,0.012695479,0.004865598,0.010798687,0.000570169,0.000551553,0.000148734,0.005373327,0.007011568,0.001901898,0.009258372,0.005373004,0.003340796,0.009206016,0.002919424,0.004493285,0.004370797,0.131621623,0.004484559,NA,NA,NA,9.03E-05,NA,0.004410549,NA,0.003851757,0.001710603,0.001654465,0.0004099,NA
3,T1,17.63028268,27.72606689,8.971805659,10.08956093,7.308025183,3.592726809,3.065100866,2.337599392,1.678121078,0.317766107,0.311326364,0.838411153,0.427377014,0.300882076,0.118220681,0.109467502,0.280209963,0.300584441,0.171878886,0.119987551,0.172528272,0.098831104,0.084655553,0.041644569,0.015409383,0.014666648,0.045348773,0.019817089,0.048192542,0.021796904,0.012815087,0.014288381,0.003851399,0.008565669,0.013209318,0.015995183,0.013421181,0.008885221,0.003005033,0.032342117,0.006468423,0.01096082,0.018601114,0.008490178,0.015875047,0.025891281,0.010182369,0.00973321,0.007997998,0.010109854,0.011308783,0.000972293,0.002293144,0.006277937,0.003653607,0.004980248,0.004084366,0.005902105,0.10217544,0.011405379,0.046436495,0.004003463,0.000398073,0.001188295,0.008218518,0.006257644,0.022847286,0.031541208,0.004027815,0.007026084,0.001063802,0.005915363
4,T1,22.7999594,21.16490151,9.358169045,12.20414057,6.970605557,3.502175101,3.28517107,2.556572249,1.524349487,0.344351133,0.368699193,0.556215595,0.38754428,0.179817431,0.096844538,0.270917592,0.300249477,0.413345955,0.176632456,0.080148726,0.132351693,0.064382189,0.071564607,0.02899963,0.01236897,0.024739757,0.067818951,0.017481024,0.04366038,0.02053803,0.018474934,0.021172948,0.004239625,0.007315061,0.020039128,0.017091144,0.013951335,0.004568506,0.004885446,0.036140516,0.008921046,0.011149491,0.017398739,0.011132618,0.019110891,0.018509717,0.002973163,0.008151149,0.009326761,0.008946225,0.00787003,0.001359779,0.004394851,0.0042674,0.004756438,0.002794835,0.00374332,0.006990593,0.159552473,0.018953848,0.048563737,0.002742401,0.000346609,0.001795189,0.005867156,0.015939154,0.026141718,0.033495455,0.005488177,0.007709094,0.000726289,0.003472324
5,T1,23.64838021,19.7171192,8.656021932,11.93082316,8.406933769,8.088284196,2.440897383,4.099541305,1.615115973,0.578900884,0.418493106,0.866768492,0.207251348,0.262850492,0.052633412,0.037340732,0.156071645,0.158108503,0.13464923,0.033565671,0.069065733,0.034784454,0.082957188,0.022433346,0.027924949,0.043698728,0.05042994,0.017819801,0.016074101,0.009471598,0.008581879,0.022288392,NA,0.004386534,0.008428594,0.017119188,0.055744931,0.004732259,0.018387538,0.015114403,0.001711752,0.004598134,0.010539595,0.007577612,0.007060275,0.003456911,0.000790001,8.82E-05,0.005419958,0.008902194,0.002974687,0.004889709,0.002646291,0.000479307,0.007221058,0.003542259,0.004635206,0.005502432,0.173207911,0.002076679,0.030463732,0.001191708,0.0024077,NA,0.000318775,0.002812322,0.009639462,0.00129001,0.00077309,0.002953694,0.000380413,0.001407556
6,T1,27.52736866,16.54716233,8.240709009,9.449497466,7.28809665,6.691863783,3.373589842,5.393300339,1.880559267,0.533390376,0.43643339,0.621261044,0.275981005,0.218493275,0.020003953,0.093991691,0.163930033,0.17004652,0.148409842,0.018442865,0.060239923,0.029882375,0.049498663,0.011183787,0.05113547,0.02729749,0.046882493,0.007315755,0.013714716,0.004666486,0.006393067,0.010433395,NA,0.001046921,0.00720603,0.026103664,0.017025509,0.004364062,0.005875728,0.009641743,NA,0.003027911,0.019984456,0.009387834,0.01034362,0.001216768,NA,NA,0.006527276,0.004281405,0.005200602,0.001153881,0.002614901,0.001303642,0.005474007,0.001711664,0.006133717,0.005704792,0.12158163,0.008436582,NA,NA,NA,0.000188333,NA,0.005566503,0.001543268,0.002863097,0.001577047,0.001115114,0.000315985,0.000216317
7,T3,33.5258748,16.77159964,9.22001102,8.033661005,5.946061598,5.175875636,3.256361312,3.136973073,1.334398964,0.444636453,0.283846481,0.34647823,0.152617339,0.187605249,0.164209673,0.028770683,0.090644674,0.152978893,0.081843086,0.073794737,0.085650705,0.067215202,0.051374605,0.027338777,0.017485293,0.016779132,0.016468798,0.017405073,0.026878172,0.011289909,0.006236435,0.016987779,0.003276925,0.005937023,0.002624395,0.008832847,0.011541491,0.002158893,0.005663974,0.0119972,0.002170267,0.00906861,0.008692368,0.005450808,0.007865689,0.009094973,0.006004061,0.004911112,0.003175765,0.00142765,0.000416202,0.000691586,0.000651928,NA,0.001329051,0.001087751,0.00051111,0.008859963,0.078268971,0.002096827,0.052967704,0.001696066,0.003020146,0.001069485,0.005878647,0.005497885,0.013993281,0.00403359,0.002487908,0.004549935,0.000734595,0.004525078
8,T1,16.24431331,32.10776008,3.757660224,10.65673777,9.800101615,3.933042786,4.409857593,1.856379472,1.669207189,0.142630548,0.049107117,1.580240778,0.069020041,0.04623076,0.012270926,0.036552736,0.053509449,0.047940687,0.07740663,0.009064707,0.031514093,0.012926468,0.012016318,0.000456622,0.011159682,0.014873027,0.004748917,0.001416104,0.002565059,0.000847773,0.001450303,0.002570159,0.000194326,0.000860817,0.00373985,0.014986743,0.005202528,0.007863995,NA,0.009102334,0.000773105,0.001577816,0.012791012,0.00354139,0.002222028,0.000648727,0.001505405,NA,0.000138701,0.008522046,NA,NA,0.00013059,0.002631784,0.003168801,0.000641662,0.001816119,NA,0.020624906,0.007799194,NA,0.000655166,NA,0.000173359,0.000370214,0.001193312,0.001279812,NA,0.001061033,NA,0.00048689,0.000146121
9,T3,21.79457608,12.89892873,5.752641325,11.06994331,9.578665972,5.607394834,4.607074648,2.155089808,2.216749545,0.277224735,0.109266975,1.317181608,0.04857955,0.124859966,0.072239123,0.017042655,0.1109075,0.134499051,0.168778023,0.021656532,0.056442066,0.073175422,0.104465438,0.029500643,0.004490637,0.027334749,0.032330749,0.006066342,0.018229435,0.010024409,0.00418774,0.005007203,0.001231274,0.004208947,0.006569303,0.006229194,0.029695905,0.002539013,0.00293734,0.00762164,0.002108715,0.00506002,0.01452745,0.011610516,0.005286892,0.00415413,0.00424896,0.000746399,0.003633483,0.005729434,0.000645527,0.002177377,6.59E-05,0.000636804,0.004242958,NA,0.001567822,0.005242078,0.162323957,0.004760724,NA,0.006365638,0.002739077,0.001034051,0.001122439,0.002290373,0.006366438,0.003505282,0.003385084,0.004379402,0.000688901,0.001472471
10,T1,32.02550177,15.03675291,7.671015188,8.219663404,6.415082811,6.411213642,2.972760208,3.770621624,1.624006459,0.374756137,0.242612396,0.711656322,0.196159149,0.195543951,0.247069679,0.100818946,0.076744974,0.077240228,0.069064673,0.11519678,0.155703114,0.109764466,0.040575979,0.041872151,0.036090451,0.030143538,0.031492717,0.019814016,0.030965736,0.014312444,0.003821308,0.015842701,0.008644498,0.018470254,0.004692142,0.010561285,0.033440457,0.000598328,0.009439613,0.009828464,0.007190464,0.017090508,0.010572505,0.005735657,0.008009568,0.019774938,0.005075576,0.009741795,0.005437344,0.005873012,0.001980705,0.001774246,0.001167793,0.000867545,0.004372935,0.002932173,0.002552027,0.005946913,0.071711185,0.003687551,0.077689052,0.00627734,0.013253453,0.00015371,0.007009774,0.002615984,0.014954727,0.006812833,0.002057005,0.006830245,0.000790781,0.00943497
