"","Fold Change","log2(FC)"
"P24821",0.14871,-2.7494
"O15232",0.21667,-2.2065
"P0C0L5",3.0511,1.6093
"E5RJB8",3.0449,1.6064
"P27105",2.947,1.5593
"P62805",2.8682,1.5201
"P16278",2.83,1.5008
"Q9UNQ0",2.8132,1.4922
"P19440",0.37243,-1.4249
"P01619",2.6244,1.392
"O60543",2.4742,1.307
"P61626",2.3768,1.249
"P01714",2.3739,1.2473
"Q92520",2.3617,1.2398
"P11908",2.3335,1.2225
"P25311",2.3072,1.2061
"P01780",2.2889,1.1946
"G3XAM2",0.4453,-1.1671
"Q9H4G4",2.0861,1.0608
"A0A087WWU8",2.0784,1.0555
"A0A0C4DH38",2.0421,1.03
"P02766",2.0417,1.0298
"A0A0C4DH34",0.49079,-1.0268
"P42330",2.0137,1.0098
"O15498",2.011,1.0079
"P62269",0.4994,-1.0017
"O60664",1.9883,0.99152
"P07195",1.9684,0.97701
"O14745",1.9126,0.93554
"P04792",1.8897,0.91812
"P02790",0.53446,-0.90384
"P30044",1.8709,0.90374
"Q8N474",0.53566,-0.9006
"Q9UHD0",1.8618,0.89667
"F5GZD9",1.8308,0.87245
"Q99541",1.8228,0.86615
"P60174",1.8217,0.86531
"P02647",1.8181,0.86239
"Q96KP4",1.8099,0.85589
"P31949",1.8082,0.85459
"P28799",1.7899,0.83986
"O75954",1.771,0.82456
"Q9Y646",1.7693,0.82316
"P01861",0.56754,-0.81721
"A0A0C4DH68",1.754,0.81062
"Q9Y6Y9",0.57044,-0.80984
"P68871",1.7505,0.80776
"P08697",1.7465,0.8045
"S4R371",1.7327,0.79298
"D6RF35",1.7226,0.78455
"Q16651",0.58087,-0.78372
"P22079",1.713,0.77649
"Q6X4U4",1.6995,0.76509
"P26038",1.69,0.75706
"Q96S86",0.59247,-0.7552
"P69905",1.6658,0.73622
"P31431",0.60408,-0.72718
"P62820",1.6546,0.72644
"P15311",1.6419,0.71534
"Q9NR31",1.6323,0.70687
"Q9NZP8",1.6281,0.70319
"P02671",1.6212,0.69706
"P61224",1.611,0.68795
"Q9NV23",1.6074,0.68472
"P09467",1.6064,0.68381
"P01034",1.6007,0.67869
"P30085",1.5792,0.65916
"Q9UL25",1.575,0.65531
"I3L397",1.5729,0.65347
"P20061",1.5711,0.65179
"P08294",1.5669,0.64792
"P27797",0.6394,-0.6452
"P04114",1.5528,0.63486
"Q02818",1.5518,0.63393
"P04075",1.5406,0.62346
"P19827",1.5342,0.61747
"P01008",1.5338,0.61715
"P84077",1.5261,0.60981
"P0DJI8",1.5045,0.58928
"Q5T985",1.5037,0.58848
"P30086",1.5013,0.58618
"Q9BRK5",1.5012,0.58608
"J3KS22",1.4973,0.58233
"Q68D85",1.4954,0.58051
"P25774",1.4673,0.55315
"P53634",0.68207,-0.552
"Q13410",1.4643,0.55023
"P08238",0.68643,-0.54281
"O00300",1.4564,0.54236
"E9PJK1",0.68957,-0.53623
"P02748",0.69161,-0.53197
"P43251",1.4398,0.52586
"P00441",0.69563,-0.52361
"P02760",0.69643,-0.52196
"P30043",1.4275,0.51345
"Q08380",1.4266,0.51256
"P17066",1.4192,0.50505
"P61026",1.4191,0.50498
"P14625",0.70515,-0.504
"O00592",1.4175,0.50337
"O00299",1.4036,0.48909
"P55072",0.71259,-0.48885
"Q12841",1.3995,0.48487
"P32119",0.71914,-0.47565
"P62328",1.3893,0.47435
"E9PDQ1",1.388,0.47298
"P30041",1.3757,0.46022
"P62258",0.72853,-0.45694
