"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"P61626",-0.023786,-0.096749,0.03851,0.017206,0.032571,-0.042907,0.045666,-0.06804
"P01591",0.031318,-0.037767,-0.071166,0.046105,-0.0065389,-0.0089503,0.028461,-0.021516
"P10451",0.033296,-0.062938,-0.014069,0.036316,-0.018076,0.011563,0.0028113,-0.029367
"P02647",0.0060216,-0.097813,0.0046818,0.015336,0.080827,-0.055269,0.0028044,0.0063953
"S4R371",-0.032424,0.013613,-0.083769,0.073995,-0.050843,0.048181,-0.074488,0.068574
"Q13410",0.0040617,-0.077657,-0.025183,0.057279,0.035364,-0.026493,0.0052772,0.014401
"P01859",0.00076252,0.024589,-0.10055,0.10597,-0.011628,-0.047409,0.0029364,0.011417
"P01034",0.004858,-0.078697,-0.033432,0.026383,0.053023,-0.045613,0.00059379,-0.0013632
"P49327",-0.066413,0.032649,0.0081462,-0.0053629,0.05709,-0.079202,0.086215,-0.074045
"H0YCU0",0.034457,-0.062852,0.051372,-0.0090183,0.080849,-0.040229,-0.010948,0.00077711
"P01009",0.054223,-0.080853,0.048531,-0.028696,0.067292,-0.05062,0.030129,0.063531
"P01011",0.053581,-0.030976,0.0063102,0.019522,-0.0591,-0.037609,0.04976,0.047137
"P04745",0.043802,-0.058046,-0.053368,0.045078,0.032224,-0.020875,-0.032252,0.010499
"P25311",-0.015825,-0.10422,0.029736,0.0042782,-0.0069169,-0.011652,-0.0023528,0.013362
"P15328",0.071055,-0.059155,-0.0087559,0.011164,-0.044438,0.026317,0.042247,0.0010209
"Q08380",0.029321,-0.074156,-0.054223,0.0043487,0.021407,-0.0083464,-0.039279,0.020498
"D6RF35",-0.041001,-0.11261,0.083708,0.021545,0.12973,-0.083556,0.05238,0.017708
"P00738",0.032743,-0.058239,8.0122e-05,-0.025351,0.024222,-0.053552,0.033741,-0.013579
"Q16851",-0.059432,0.042249,0.0050682,-0.026624,0.092019,-0.062407,0.026167,-0.032994
"P07602",0.052403,-0.07224,-0.0038652,0.020811,-0.04464,-0.011236,0.048732,-0.052856
"Q99541",-0.0288,-0.066985,-0.050805,0.068175,0.035458,-0.031124,-0.032243,0.06175
"P06733",-0.02437,0.048161,-0.071024,0.035069,0.097458,-0.087652,0.033248,0.019247
"P18065",0.041531,-0.064522,0.045413,-0.012544,0.0056754,-0.021849,-0.012503,-0.016008
"P62937",-0.050995,0.073265,-0.1172,0.060343,0.055857,-0.035837,-0.065161,0.042756
"P04406",-0.034019,0.044901,-0.045963,0.013382,0.063777,-0.098559,0.072575,0.0026527
"F5GZD9",0.031663,-0.10672,0.029428,0.0305,0.048449,-0.035946,0.019569,-0.04373
"P02787",0.062209,-0.059493,0.027867,0.029502,-0.029736,-0.0052347,0.01558,-0.051635
"P01024",0.050072,-0.058458,-0.020855,0.032438,-0.061389,-0.00037536,0.0011348,0.04042
"Q02818",0.037524,-0.10225,0.045194,0.0067834,0.016341,-0.021183,-0.0050407,-0.010308
"D6RC73",0.053319,-0.052928,0.10658,0.048591,-0.049785,0.053853,-0.031881,-0.0077404
"P01714",-0.079556,-0.12288,0.08948,-0.062424,0.058442,-0.14166,0.008739,0.14584
"P0C0L5",-0.041389,-0.039715,0.18201,-0.0093584,-0.16378,0.059344,-0.088859,0.13831
"Q6X4U4",0.058406,-0.106,0.0098667,-0.010748,0.050031,-0.0070218,0.020218,-0.022874
"Q92876",0.039605,-0.070254,0.013013,0.019962,-0.0048275,0.0096151,0.056873,-0.04455
"P63104",-0.043275,0.017734,0.019669,-0.054041,0.051946,-0.0014561,-0.007662,-0.0048444
"P06727",0.044815,-0.060094,0.0038536,-0.026862,0.049503,0.014488,0.022897,-0.047915
"P04075",-0.10479,0.044017,0.022316,-0.048976,0.0029588,0.049802,-0.0026607,-0.035528
"O00391",0.027592,-0.053658,-0.071934,0.081874,-0.01887,-0.022232,0.0069821,0.021864
"O60664",-0.034587,-0.05387,-0.058089,0.023405,0.070954,-0.034669,-0.020004,0.022151
"Q12841",0.062296,-0.081369,0.055782,0.00687,0.0054164,0.0080748,0.019518,0.005855
"P19652",0.00096973,0.050092,-0.18956,0.17179,-0.044631,-0.040319,0.034598,-0.021646
"P25774",0.029676,-0.08477,-0.01652,0.029166,0.0027257,0.014777,0.00036326,-0.066573
"Q96KP4",-0.055838,0.05355,-0.030473,-0.083047,0.060309,0.012622,-0.056423,0.068941
"P22079",0.026324,-0.089992,-0.0073157,0.044061,0.03315,0.0006109,0.034283,-0.027202
"P23528",-0.031929,0.07245,-0.14611,0.062671,0.074396,-0.059468,-0.0033961,0.0063247
"P60174",-0.0982,0.01181,0.0081161,-0.045364,-0.035983,0.058019,0.0024774,0.02185
"Q9NP72",-0.005248,-0.013896,-0.042543,0.050772,0.01028,-0.011734,-0.031294,0.061734
"Q9BRK5",0.030281,-0.08815,0.054316,-0.01311,0.0014314,-0.029072,0.0091992,0.01342
"P50395",-0.014484,0.022329,-0.093185,0.010042,0.11144,-0.026639,-0.020507,0.032338
"P04114",0.03217,-0.10169,-0.044533,0.0013834,-0.044753,-0.061839,-0.040705,0.028071
"P20061",-0.042506,-0.056446,0.04637,0.097451,-0.093572,0.030096,0.053923,-0.042655
"P43490",-0.13446,0.041241,0.072271,-0.098859,0.024336,-0.093782,0.051867,0.035509
"P00558",-0.051848,0.068585,-0.068242,0.032362,0.079788,-0.083943,0.0012683,0.03283
"Q96FQ6",-0.067297,0.057107,0.030186,0.0095676,0.14244,0.017918,-0.19249,0.11202
