"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1215",2.846,-0.66269,-3.8903,-2.592,-5.0607,1.2981,2.0508,-0.38237
"1272",-1.7541,2.9123,-1.1804,0.1187,-1.4761,-3.7614,-5.2588,-6.0971
"1353",-0.50569,1.7034,-3.6628,-4.4306,-2.1376,1.6425,0.127,3.235
"15",1.6167,-12.496,-1.0227,6.9627,3.4973,-2.6715,-0.30236,-3.5197
"1558",-3.3692,2.3959,-0.022323,0.35779,-2.3632,-4.2462,-1.6865,-0.50372
"1603",4.0295,-3.2263,-3.3645,-2.0794,-3.011,0.46757,-3.0399,1.3043
"188",1.5221,-9.9051,-0.49389,2.6143,0.87646,-3.0863,3.5745,-0.17389
"197",0.91969,0.97559,-3.9474,-6.3758,1.6382,-0.50522,1.0381,-1.7422
"200",0.94911,-3.9648,-3.309,-3.0856,2.9652,-2.3122,4.5475,-1.665
"203",-1.3842,2.8141,-2.9894,-6.7408,1.171,-2.2245,1.337,1.9256
"28",-0.48075,-4.4276,-1.0389,-3.3242,5.3851,-5.5117,2.2403,-1.4626
"310",-0.49108,-6.1446,0.63492,0.92237,0.14449,3.0043,-3.2603,-0.77405
"339",1.518,-4.3258,-2.1275,-2.6813,1.7069,-0.29764,-3.1518,9.1864
"348",-4.2414,-0.3233,1.3512,0.049892,-1.004,1.1682,-1.56,-0.29478
"382",-4.2345,0.84388,1.794,0.52832,-1.226,1.1986,-0.58645,0.64547
"394",-3.589,-1.614,1.6747,0.3035,-1.7768,0.0077554,-0.13599,-0.7588
"399",-3.1491,-2.5506,0.030056,-1.198,-2.4722,0.56922,-0.42275,3.3093
"601",-3.2674,-2.9522,1.5672,1.2202,-1.838,1.5801,-0.92458,-1.412
"635",1.2819,-9.0544,6.1077,-10.707,1.9722,4.0191,-1.9195,-0.06928
"638",-1.4154,-0.65007,1.7962,0.15371,-3.4043,-0.64995,-1.7743,-4.9437
"665",-1.4675,-2.5234,1.1024,-0.078408,-1.6454,0.88922,-2.3711,-0.58488
"71",1.0034,-3.6454,-1.6223,-1.0906,-4.785,0.56954,7.6588,0.54578
"720",-3.892,-0.073845,1.6818,1.1927,-1.2504,1.3302,-1.2733,0.15682
"762",1.6695,-11.834,9.0564,-7.6398,-1.1611,1.1477,0.19907,-1.6444
"90",-0.32674,0.44676,-2.652,-5.228,1.3647,-1.54,1.9983,0.34974
"908",-2.1985,-2.2828,-1.5971,1.6217,-0.7419,0.36158,0.1163,0.48547
"913",-4.6108,5.231,0.10814,-1.5376,-0.52572,-3.0702,-3.2705,-1.1771
"931",-2.0151,-0.05657,-2.0057,-0.47677,-0.0087705,0.90451,-1.22,1.0444
"932",-5.5821,3.4469,-0.086532,0.31881,1.1397,-0.93835,-0.61087,-0.55728
"936",-4.5291,-1.3971,-1.6253,2.0033,-0.17926,-0.60682,0.50751,0.85689
"938",-4.9978,2.5933,-1.8045,-0.29728,0.89933,-1.7505,-1.3582,-0.37241
"945",-2.7415,-1.1902,-1.0564,1.7551,-0.63103,0.010095,-0.21126,0.56074
"946",-4.1143,-2.669,-1.6492,3.1943,2.7357,1.4387,0.11018,-0.069171
"954",-4.9107,-4.9245,-1.6722,4.2365,1.111,2.2073,1.2504,1.4309
"966",-4.5627,-0.42169,-1.4528,0.65956,1.7787,1.1596,-0.43038,0.039311
"971",-3.8664,1.6208,-0.87856,0.2547,-0.38547,-1.155,-0.89343,-1.6158
"985",-5.4477,1.3863,-1.1953,0.28173,1.7239,0.97246,-0.0063467,0.58465
"986",-1.8006,0.27755,-1.6297,1.4333,-2.222,-2.0241,-0.20304,-0.10642
"987",-2.7483,-2.4495,-1.6036,3.181,0.091518,1.5191,1.0011,-0.04663
"993",-4.8706,5.1638,-0.26179,-1.8753,-1.2981,-2.7659,-0.86885,-0.78062
"995",-1.9595,-3.5458,-1.1722,3.9656,-1.9923,0.23638,0.67467,0.17371
"1243",3.2159,10.823,1.0423,-1.5226,-2.9822,-0.20131,-1.8299,1.6212
"1259",6.1908,3.0749,-0.94986,1.262,1.1113,2.6344,-1.6152,-1.0315
"1270",9.418,1.3363,-3.1854,1.1768,0.52439,4.0632,-2.95,-0.11639
"1291",-0.18991,6.3042,0.42968,0.86825,1.5928,4.1254,5.2352,-0.79257
"1306",7.7296,0.84071,-0.80153,2.1501,-1.4534,5.7801,2.6786,-2.9326
"1307",9.6968,0.51884,0.12893,1.5317,-1.7296,2.9344,-0.74441,-2.9187
"1310",3.7956,2.5708,0.30008,2.4302,-0.69706,5.6549,2.8491,0.76063
"1331",7.5129,2.4253,-2.3868,-0.072639,2.9547,5.6841,-2.4529,-1.1646
"137",3.3054,8.6074,3.1566,-4.0186,-0.71867,-5.8156,4.1348,-1.064
"151",9.8029,1.5264,-0.19688,-0.82929,1.7653,-3.8268,-1.3819,-0.76723
"1525",-2.832,5.914,3.4129,3.9509,3.0328,3.2092,2.1601,-0.88493
"194",9.533,-2.4832,1.822,4.3503,-0.91375,-5.0898,-1.9663,5.1796
"202",1.2983,6.284,2.2132,0.56881,3.2435,-3.057,-0.26299,-0.15718
"305",1.8972,3.6212,4.5532,1.6406,0.30672,1.6806,-1.0807,2.1213
"324",-3.313,5.3009,5.5799,2.4064,2.1328,1.6522,1.0605,1.9688
"57",5.4954,2.5998,0.39988,1.6305,4.3598,-3.0707,-3.6884,0.49222
"76",5.9972,-1.8018,4.211,6.5093,-2.8312,-9.0503,2.9328,2.515
"767",-4.4186,3.6824,3.0999,1.5285,1.7133,4.3404,1.5059,3.151
