"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Q9UNQ0",3.0025,2.3451,2.2411,2.1474,2.1056
"P01714",2.913,2.5488,2.3659,2.2946,2.2452
"O60543",2.6725,2.1385,1.9917,1.9328,1.9058
"P04792",2.4939,1.9822,1.8393,1.8101,1.7695
"P42330",2.3765,1.9618,1.8209,1.7455,1.7076
"Q9NV23",2.3088,1.9284,1.9434,1.8727,1.8371
"Q6UXA7",2.285,2.1441,2.0568,1.9824,1.9879
"O15232",2.1977,1.8025,1.6775,1.6107,1.5748
"P24821",2.1953,1.7729,1.6484,1.5873,1.5517
"P09467",2.1781,1.7872,1.6619,1.6076,1.5713
"P36578",2.17,1.8907,1.7667,1.6928,1.7386
"A0A087WWU8",2.1162,1.6703,1.6226,1.571,1.56
"P13639",2.1081,1.7113,1.6371,1.6862,1.6504
"P30044",2.0696,1.6377,1.5818,1.5181,1.4838
"G3XAM2",1.9808,1.5628,1.4559,1.461,1.504
"E5RJB8",1.9501,1.536,1.4268,1.4986,1.4667
"P27105",1.8304,1.4136,1.3634,1.3317,1.3037
"P30085",1.815,1.7484,1.6226,1.5551,1.5264
"Q92520",1.812,1.4708,1.3849,1.3557,1.3564
"P43490",1.7575,1.3845,1.3057,1.3501,1.3223
"P05387",1.7042,1.5336,1.4295,1.3697,1.3389
"P18669",1.6719,1.4354,1.385,1.3638,1.333
"P19440",1.6694,1.4042,1.4068,1.3543,1.325
"J3KS22",1.6557,1.3652,1.2907,1.2523,1.2394
"Q16651",1.6553,1.5406,1.43,1.3752,1.3448
"O00764",1.644,1.607,1.5193,1.4701,1.5073
"P30101",1.6387,1.4748,1.7481,1.7212,1.7602
"P27797",1.6025,1.6574,1.8577,1.809,1.7833
"O75891",1.5568,1.6741,1.5561,1.4913,1.4615
"Q06323",1.5512,1.7035,1.6071,1.5399,1.5188
"P60174",1.539,1.1885,1.1161,1.0827,1.0596
"P63000",1.527,1.2151,1.1887,1.1595,1.1389
"Q9UBI6",1.4945,1.2047,1.1226,1.135,1.1119
"D6RF35",1.4912,1.3032,1.4858,1.4513,1.4431
"P30043",1.4882,1.4165,1.3282,1.3061,1.2779
"P25311",1.4788,1.4488,1.3697,1.314,1.2861
"Q9UL46",1.4707,1.4815,1.39,1.332,1.3161
"P31949",1.4658,1.337,1.3356,1.2977,1.3257
"P04003",1.4578,1.1271,1.0464,1.0033,0.99106
"P61626",1.4499,1.3639,1.3063,1.2538,1.2255
"P04114",1.4396,1.8008,1.7902,1.7398,1.7533
"P62805",1.4099,1.0919,1.0878,1.1287,1.104
"I3L397",1.3968,1.4297,1.3392,1.2878,1.2739
"O60664",1.3783,1.223,1.1389,1.1076,1.0892
"P68871",1.376,1.2635,1.1944,1.1541,1.1311
"C9J9K3",1.3649,1.4677,1.3832,1.3411,1.3236
"A0A0C4DH36",1.3423,1.0662,1.1875,1.1411,1.1699
"P05067",1.3412,1.1577,1.0832,1.0796,1.0598
"O75954",1.3079,1.0694,1.3111,1.2791,1.2526
"Q9H0U4",1.2949,1.1295,1.1201,1.1196,1.1111
"A0A0C4DH68",1.2562,0.988,1.0422,1.0051,0.9834
"Q99541",1.2494,1.1233,1.0552,1.0723,1.0503
"P61026",1.2365,1.0207,0.9695,0.99657,0.9837
"P16278",1.2316,1.0231,1.037,1.0451,1.0547
"P19827",1.2255,1.1664,1.0908,1.073,1.05
"Q9UHD0",1.2161,1.0599,1.0351,1.0372,1.0223
"P02790",1.1945,0.92235,0.89565,0.86574,0.84757
"P07195",1.1724,1.1099,1.0375,1.0319,1.0488
"O14745",1.1584,0.98537,1.0432,1.0013,0.97877
"Q9BWD1",1.1413,1.601,1.4888,1.427,1.3984
"X6R3G6",1.1396,0.88308,0.82451,0.86518,0.90358
"P02647",1.1194,1.2354,1.159,1.1159,1.0923
"Q9P2X0",1.0875,0.84034,0.79359,0.81107,0.80199
"Q9H4G4",1.0814,0.90332,0.85615,0.91213,0.89154
"P53634",1.0779,0.87373,0.86321,0.8286,0.80989
"P04075",1.0663,0.93067,0.86373,0.83545,0.83126
