"","V","p.value","-log10(p)","FDR"
"O15232",164,0.00021477,3.668,0.047102
"G3XAM2",177,0.00052495,3.2799,0.047102
"O60664",601,0.00056074,3.2512,0.047102
"P25311",594,0.00088024,3.0554,0.055455
"Q99541",588,0.0012769,2.8938,0.064355
"P61626",580,0.0020551,2.6872,0.085126
"Q9UNQ0",576,0.0025855,2.5875,0.085126
"Q9H4G4",575,0.0027359,2.5629,0.085126
"Q9NR31",571,0.003419,2.4661,0.085126
"P60174",567,0.00425,2.3716,0.085126
"P02790",212,0.00425,2.3716,0.085126
"E5RJB8",565,0.0047292,2.3252,0.085126
"P27797",214,0.0047292,2.3252,0.085126
"O60543",565,0.0047292,2.3252,0.085126
"P19440",216,0.0052558,2.2794,0.088297
"P01714",559,0.0064666,2.1893,0.10185
"P09467",553,0.0087435,2.0583,0.12858
"P02647",552,0.0091845,2.0369,0.12858
"P08697",550,0.010125,1.9946,0.13429
"P42330",545,0.012853,1.891,0.16163
"P62820",543,0.01411,1.8505,0.16163
"P24821",236,0.01411,1.8505,0.16163
"P04075",542,0.014778,1.8304,0.16192
"P04792",540,0.016196,1.7906,0.17006
"Q96KP4",537,0.018542,1.7318,0.17306
"P61224",537,0.018542,1.7318,0.17306
"Q16651",242,0.018542,1.7318,0.17306
"P53634",243,0.019386,1.7125,0.17447
"P04114",534,0.021173,1.6742,0.18399
"Q6UXA7",532,0.023099,1.6364,0.19404
"P30044",530,0.025173,1.5991,0.20463
"J3KS22",527,0.028578,1.544,0.22505
"P04003",253,0.029796,1.5258,0.22753
"A0A087WWU8",522,0.035115,1.4545,0.26026
"P01034",520,0.038059,1.4195,0.27402
"Q13410",519,0.039606,1.4022,0.27725
"D6RF35",517,0.042859,1.368,0.2919
"P15311",515,0.04633,1.3341,0.30724
"Q96S86",267,0.051969,1.2843,0.32381
"P02748",267,0.051969,1.2843,0.32381
"Q9P2X0",268,0.053969,1.2679,0.32381
"Q9NV23",511,0.053969,1.2679,0.32381
"P27105",509,0.058159,1.2354,0.33309
"P02751",270,0.058159,1.2354,0.33309
"P07195",508,0.060351,1.2193,0.33796
"P68871",272,0.06261,1.2034,0.34092
"P05067",273,0.064937,1.1875,0.34092
"P36578",506,0.064937,1.1875,0.34092
"P02766",505,0.067333,1.1718,0.34628
"P01861",277,0.074953,1.1252,0.37776
"Q92520",501,0.077641,1.1099,0.38364
"Q08380",498,0.086171,1.0646,0.39482
"P36955",281,0.086171,1.0646,0.39482
"P31949",498,0.086171,1.0646,0.39482
"A0A0C4DH34",281,0.086171,1.0646,0.39482
"P25774",497,0.089174,1.0498,0.40128
"P16278",494,0.09868,1.0058,0.43574
"Q9BRK5",493,0.10202,0.99132,0.43574
"P30085",493,0.10202,0.99132,0.43574
"P01008",492,0.10545,0.97697,0.44287
"P20061",491,0.10896,0.96272,0.45014
"P62937",490,0.11257,0.94858,0.45027
"Q9UHD0",490,0.11257,0.94858,0.45027
"Q01459",489,0.11627,0.93455,0.4578
"Q9BXJ1",291,0.12006,0.92061,0.46545
"P00441",292,0.12394,0.90678,0.47323
"E9PJK1",293,0.12792,0.89305,0.48114
"P84077",485,0.132,0.87943,0.48209
"A0A075B7B8",294,0.132,0.87943,0.48209
