"","x","y"
"1",0,1
"2",1,1.15
"3",2,1.3
"4",3,1.45
"5",4,1.6
"6",5,1.75
"7",6,1.9
"8",7,2.05
"9",8,2.2
"10",9,2.35
"11",10,2.5
"12",11,2.5781990521327
"13",12,2.65549738219895
"14",13,2.73191046330036
"15",14,2.80745341614907
"16",15,2.88214101904272
"17",16,2.95598771750256
"18",17,3.02900763358779
"19",18,3.10121457489879
"20",19,3.17262204328133
"21",20,3.24324324324324
"22",21,3.31309109009457
"23",22,3.38217821782178
"24",23,3.45051698670606
"25",24,3.5181194906954
"26",25,3.5849975645397
"27",26,3.65116279069767
"28",27,3.7166265060241
"29",28,3.78139980824545
"30",29,3.84549356223176
"31",30,3.90891840607211
"32",31,3.97168475696083
"33",32,4.03380281690141
"34",33,4.09528257823447
"35",34,4.15613382899628
"36",35,4.21636615811373
"37",36,4.27598896044158
"38",37,4.3350114416476
"39",38,4.39344262295082
"40",39,4.45129134571817
"41",40,4.50856627592426
"42",41,4.56527590847914
"43",42,4.62142857142857
"44",43,4.6770324300311
"45",44,4.73209549071618
"46",45,4.78662560492741
"47",46,4.84063047285464
"48",47,4.89411764705882
"49",48,4.94709453599306
"50",49,4.99956840742339
"51",50,5.05154639175258
"52",51,5.10303548525011
"53",52,5.15404255319149
"54",53,5.20457433290978
"55",54,5.25463743676223
"56",55,5.30423835501469
"57",56,5.35338345864662
"58",57,5.402079002079
"59",58,5.45033112582781
"60",59,5.49814585908529
"61",60,5.54552912223134
"62",61,5.59248672927726
"63",62,5.6390243902439
"64",63,5.68514771347632
"65",64,5.73086220789686
"66",65,5.77617328519856
"67",66,5.82108626198083
"68",67,5.86560636182903
"69",68,5.90973871733967
"70",69,5.95348837209302
"71",70,5.99686028257457
"72",71,6.03985932004689
"73",72,6.08249027237354
"74",73,6.1247578457962
"75",74,6.16666666666667
"76",75,6.20822128313484
"77",76,6.24942616679419
"78",77,6.29028571428571
"79",78,6.33080424886191
"80",79,6.3709860219116
"81",80,6.41083521444695
"82",81,6.45035593855377
"83",82,6.48955223880597
"84",83,6.52842809364549
"85",84,6.56698741672835
"86",85,6.60523405823811
"87",86,6.6431718061674
"88",87,6.68080438756856
"89",88,6.71813546977422
"90",89,6.75516866158868
"91",90,6.79190751445087
"92",91,6.82835552356963
"93",92,6.86451612903226
"94",93,6.90039271688683
"95",94,6.93598862019915
"96",95,6.97130712008502
"97",96,7.00635144671842
"98",97,7.04112478031634
"99",98,7.07563025210084
"100",99,7.10987094523893
"101",100,7.14384989576094
"102",101,7.17757009345794
"103",102,7.21103448275862
"104",103,7.2442459635864
"105",104,7.27720739219713
"106",105,7.30992158199795
"107",106,7.34239130434783
"108",107,7.3746192893401
"109",108,7.40660822656777
"110",109,7.43836076587168
"111",110,7.46987951807229
"112",111,7.50116705568523
"113",112,7.53222591362126
"114",113,7.5630585898709
"115",114,7.59366754617414
"116",115,7.62405520867565
"117",116,7.65422396856582
"118",117,7.68417618270799
"119",118,7.71391417425228
"120",119,7.74344023323615
"121",120,7.77275661717237
"122",121,7.80186555162432
"123",122,7.83076923076923
"124",123,7.85946981794954
"125",124,7.8879694462126
"126",125,7.9162702188392
"127",126,7.94437420986094
"128",127,7.97228346456693
"129",128,8
"130",129,8.0275258054426
"131",130,8.05486284289277
"132",131,8.08201304753029
"133",132,8.10897832817338
"134",133,8.13576056772601
"135",134,8.16236162361624
"136",135,8.18878332822556
"137",136,8.21502748930971
"138",137,8.24109589041096
"139",138,8.26699029126214
"140",139,8.29271242818264
"141",140,8.31826401446655
"142",141,8.34364674076299
"143",142,8.3688622754491
"144",143,8.39391226499552
"145",144,8.41879833432481
"146",145,8.44352208716276
"147",146,8.46808510638298
"148",147,8.49248895434462
"149",148,8.51673517322372
"150",149,8.54082528533802
"151",150,8.56476079346558
"152",151,8.58854318115731
"153",152,8.61217391304348
"154",153,8.63565443513435
"155",154,8.65898617511521
"156",155,8.68217054263566
"157",156,8.70520892959359
"158",157,8.72810271041369
"159",158,8.75085324232082
"160",159,8.77346186560817
"161",160,8.79592990390051
"162",161,8.81825866441251
"163",162,8.84044943820225
"164",163,8.86250350042005
"165",164,8.88442211055276
"166",165,8.90620651266351
"167",166,8.92785793562708
"168",167,8.949377593361
"169",168,8.9707666850524
"170",169,8.99202639538081
"171",170,9.01315789473684
"172",171,9.034162339437
"173",172,9.0550408719346
"174",173,9.07579462102689
"175",174,9.0964247020585
"176",175,9.11693221712125
"177",176,9.1373182552504
"178",177,9.15758389261745
"179",178,9.17773019271949
"180",179,9.19775820656525
"181",180,9.2176689728579
"182",181,9.23746351817458
"183",182,9.25714285714286
"184",183,9.27670799261409
"185",184,9.29615991583377
"186",185,9.31549960660897
"187",186,9.3347280334728
"188",187,9.35384615384615
"189",188,9.37285491419657
"190",189,9.39175525019445
"191",190,9.4105480868666
"192",191,9.4292343387471
"193",192,9.44781491002571
"194",193,9.46629069469367
"195",194,9.48466257668712
"196",195,9.50293143002804
"197",196,9.52109811896289
"198",197,9.53916349809886
"199",198,9.55712841253792
"200",199,9.57499369800857
"201",200,9.59276018099547
"202",201,9.61042867886688
"203",202,9.628
"204",203,9.64547494390426
"205",204,9.66285430134262
"206",205,9.68013885445078
"207",206,9.6973293768546
"208",207,9.71442663378545
"209",208,9.7314313821938
"210",209,9.74834437086093
"211",210,9.76516634050881
"212",211,9.78189802390827
"213",212,9.7985401459854
"214",213,9.81509342392623
"215",214,9.83155856727977
"216",215,9.84793627805938
"217",216,9.86422725084256
"218",217,9.88043217286915
"219",218,9.89655172413793
"220",219,9.91258657750179
"221",220,9.92853739876131
"222",221,9.94440484675695
"223",222,9.96018957345972
"224",223,9.97589222406051
"225",224,9.99151343705799
"226",225,10.0070538443452
"227",226,10.0225140712946
"228",227,10.0378947368421
"229",228,10.0531964535698
"230",229,10.0684198277868
"231",230,10.08356545961
"232",231,10.0986339430424
"233",232,10.1136258660508
"234",233,10.1285418106427
"235",234,10.1433823529412
"236",235,10.1581480632592
"237",236,10.1728395061728
"238",237,10.1874572405929
"239",238,10.2020018198362
"240",239,10.216473791695
"241",240,10.2308736985061
"242",241,10.2452020772183
"243",242,10.2594594594595
"244",243,10.2736463716019
"245",244,10.2877633348274
"246",245,10.3018108651911
"247",246,10.3157894736842
"248",247,10.3296996662959
"249",248,10.3435419440746
"250",249,10.357316803188
"251",250,10.3710247349823
"252",251,10.384666226041
"253",252,10.3982417582418
"254",253,10.4117518088139
"255",254,10.4251968503937
"256",255,10.4385773510801
"257",256,10.4518937744885
"258",257,10.4651465798046
"259",258,10.4783362218371
"260",259,10.4914631510698
"261",260,10.5045278137128
"262",261,10.5175306517531
"263",262,10.5304721030043
"264",263,10.5433526011561
"265",264,10.5561725758223
"266",265,10.568932452589
"267",266,10.5816326530612
"268",267,10.5942735949099
"269",268,10.6068556919171
"270",269,10.6193793540215
"271",270,10.6318449873631
"272",271,10.6442529943265
"273",272,10.6566037735849
"274",273,10.6688977201422
"275",274,10.6811352253756
"276",275,10.6933166770768
"277",276,10.7054424594931
"278",277,10.7175129533679
"279",278,10.7295285359801
"280",279,10.7414895811842
"281",280,10.7533964594483
"282",281,10.7652495378928
"283",282,10.7770491803279
"284",283,10.7887957472909
"285",284,10.8004895960832
"286",285,10.812131080806
"287",286,10.8237205523964
"288",287,10.8352583586626
"289",288,10.8467448443186
"290",289,10.8581803510188
"291",290,10.8695652173913
"292",291,10.8808997790721
"293",292,10.8921843687375
"294",293,10.9034193161368
"295",294,10.9146049481245
"296",295,10.925741588692
"297",296,10.9368295589988
"298",297,10.9478691774034
"299",298,10.9588607594937
"300",299,10.9698046181172
"301",300,10.9807010634108
"302",301,10.9915504028296
"303",302,11.0023529411765
"304",303,11.01310898063
"305",304,11.0238188207731
"306",305,11.0344827586207
"307",306,11.045101088647
"308",307,11.0556741028128
"309",308,11.0662020905923
"310",309,11.0766853389994
"311",310,11.0871241326137
"312",311,11.0975187536065
"313",312,11.1078694817658
"314",313,11.1181765945221
"315",314,11.1284403669725
"316",315,11.1386610719054
"317",316,11.1488389798249
"318",317,11.1589743589744
"319",318,11.1690674753601
"320",319,11.1791185927747
"321",320,11.1891279728199
"322",321,11.1990958749294
"323",322,11.209022556391
"324",323,11.2189082723692
"325",324,11.2287532759266
"326",325,11.238557818046
"327",326,11.248322147651
"328",327,11.2580465116279
"329",328,11.2677311548459
"330",329,11.2773763201779
"331",330,11.2869822485207
"332",331,11.2965491788153
"333",332,11.3060773480663
"334",333,11.3155669913619
"335",334,11.3250183418929
"336",335,11.334431630972
"337",336,11.3438070880526
"338",337,11.3531449407475
"339",338,11.3624454148472
"340",339,11.3717087343381
"341",340,11.3809351214208
"342",341,11.3901247965274
"343",342,11.3992779783394
"344",343,11.4083948838047
"345",344,11.4174757281553
"346",345,11.4265207249237
"347",346,11.4355300859599
"348",347,11.4445040214477
"349",348,11.4534427399215
"350",349,11.462346448282
"351",350,11.4712153518124
"352",351,11.480049654194
"353",352,11.4888495575221
"354",353,11.4976152623211
"355",354,11.5063469675599
"356",355,11.5150448706669
"357",356,11.5237091675448
"358",357,11.5323400525855
"359",358,11.5409377186844
"360",359,11.5495023572551
"361",360,11.5580341582433
"362",361,11.5665333101409
"363",362,11.575
"364",363,11.5834344134465
"365",364,11.5918367346939
"366",365,11.6002071465562
"367",366,11.6085458304618
"368",367,11.616852966466
"369",368,11.6251287332647
"370",369,11.6333733082063
"371",370,11.6415868673051
"372",371,11.6497695852535
"373",372,11.6579216354344
"374",373,11.6660431899337
"375",374,11.6741344195519
"376",375,11.6821954938167
"377",376,11.6902265809943
"378",377,11.6982278481013
"379",378,11.7061994609164
"380",379,11.7141415839919
"381",380,11.7220543806647
"382",381,11.7299380130675
"383",382,11.7377926421405
"384",383,11.7456184276415
"385",384,11.7534155281573
"386",385,11.7611841011143
"387",386,11.7689243027888
"388",387,11.7766362883181
"389",388,11.7843202117102
"390",389,11.7919762258544
"391",390,11.7996044825313
"392",391,11.8072051324231
"393",392,11.8147783251232
"394",393,11.822324209146
"395",394,11.8298429319372
"396",395,11.8373346398824
"397",396,11.8447994783176
"398",397,11.8522375915378
"399",398,11.859649122807
"400",399,11.8670342143668
"401",400,11.8743930074458
"402",401,11.8817256422685
"403",402,11.8890322580645
"404",403,11.8963129930768
"405",404,11.9035679845709
"406",405,11.9107973688433
"407",406,11.91800128123
"408",407,11.9251798561151
"409",408,11.932333226939
"410",409,11.9394615262068
"411",410,11.9465648854962
"412",411,11.9536434354659
"413",412,11.9606973058637
"414",413,11.9677266255339
"415",414,11.9747315224258
"416",415,11.9817121236008
"417",416,11.9886685552408
"418",417,11.9956009426551
"419",418,12.0025094102886
"420",419,12.0093940817285
"421",420,12.0162550797124
"422",421,12.0230925261351
"423",422,12.0299065420561
"424",423,12.0366972477064
"425",424,12.0434647624961
"426",425,12.0502092050209
"427",426,12.0569306930693
"428",427,12.0636293436293
"429",428,12.0703052728955
"430",429,12.0769585962752
"431",430,12.0835894283958
"432",431,12.0901978831109
"433",432,12.0967840735069
"434",433,12.1033481119095
"435",434,12.1098901098901
"436",435,12.1164101782721
"437",436,12.1229084271372
"438",437,12.1293849658314
"439",438,12.1358399029715
"440",439,12.1422733464507
"441",440,12.1486854034451
"442",441,12.1550761804194
"443",442,12.1614457831325
"444",443,12.1677943166441
"445",444,12.1741218853197
"446",445,12.1804285928368
"447",446,12.1867145421903
"448",447,12.1929798356983
"449",448,12.1992245750075
"450",449,12.2054488610987
"451",450,12.2116527942925
"452",451,12.2178364742543
"453",452,12.224
"454",453,12.2301434699009
"455",454,12.2362669816893
"456",455,12.2423706324635
"457",456,12.248454518693
"458",457,12.2545187362234
"459",458,12.2605633802817
"460",459,12.2665885454812
