"feature","p","r","fdr","gname","pname"
"P61626",0.160240280999439,-0.00324696305505593,0.525383005300902,"LYZ","Lysozyme"
"S4R371",0.593071995586385,-0.00629458049754334,0.895087449556247,"FABP3","Fatty Acid Binding Protein 3"
"P01859",0.94501464282087,-0.000946437133104052,0.972624637587499,"IGHG2","Immunoglobulin Heavy Constant Gamma 2 (G2m Marker)"
"P01034",0.0609902731298737,0.0724784828317955,0.362505567053616,"CST3","Cystatin C"
"P49327",0.85053184792474,0.00360345284263108,0.945886944165798,"FASN","Fatty Acid Synthase"
"H0YCU0",0.104741916671489,-0.0199021270365162,0.451031518728248,"CHRDL2","Chordin Like 2"
"P01009",0.0924284304794328,-0.00773667636209765,0.433386640692451,"SERPINA1","Serpin Family A Member 1"
"P01011",0.0263342354803892,-0.060858047799045,0.235005646331432,"SERPINA3","Serpin Family A Member 3"
"P04745",0.0316608611768016,-0.0137845557361464,0.247423766974265,"AMY1A","Amylase, Alpha 1a (Salivary)"
"P25311",0.156808388877498,0.00850258799953345,0.525383005300902,"AZGP1","Alpha-2-Glycoprotein 1, Zinc-Binding"
"Q08380",0.672703650852123,-0.00273854317720513,0.911627716851445,"LGALS3BP","Galectin 3 Binding Protein"
"D6RF35",2.31679881553132e-05,-0.0158999846139976,0.00162948183359037,"GC","Gc, Vitamin D Binding Protein"
"P00738",0.921838762186988,0.0148978292482134,0.967701387171416,"HP","Haptoglobin"
"Q16851",0.531500563301863,-0.0143777644166029,0.879581324366221,"UGP2","Udp-Glucose Pyrophosphorylase 2"
"P06733",0.163489007690787,-0.0240878317586869,0.525383005300902,"ENO1","Enolase 1"
"P62937",0.647951105085262,0.0357994695274212,0.911627716851445,"PPIA","Peptidylprolyl Isomerase A"
"P04406",0.865980099365979,-0.00241407162665243,0.948690907942758,"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase"
"F5GZD9",0.0938193752630504,0.000613932695255645,0.435074465505575,"PTHLH","Parathyroid Hormone Like Hormone"
"Q02818",0.870008012734235,-0.00471744735614936,0.948690907942758,"NUCB1","Nucleobindin 1"
"D6RC73",0.0883081145319105,-0.0226265983833928,0.432322942398312,"CCL28","C-C Motif Chemokine Ligand 28"
"P01714",0.164065267899301,0.00468247871079041,0.525383005300902,"IGLV3-19","Immunoglobulin Lambda Variable 3-19(Iglv3-19)"
"P0C0L5",0.219820829692933,-0.018627522941427,0.60046901554867,"C4B_2","Complement Component 4b (Chido Blood Group), Copy 2(C4b_2)"
"Q6X4U4",0.647557022898059,0.0294915593718275,0.911627716851445,"SOSTDC1","Sclerostin Domain Containing 1"
"Q92876",0.372917983679439,-0.0274025921262696,0.749387567203444,"KLK6","Kallikrein Related Peptidase 6"
"P63104",0.677341010335172,-0.00263121119758807,0.911627716851445,"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta"
"P06727",0.0608391003589796,-0.00459176844158296,0.362505567053616,"APOA4","Apolipoprotein A4"
"P04075",0.706381667808111,-0.019218366585141,0.911627716851445,"ALDOA","Aldolase, Fructose-Bisphosphate A"
"O60664",0.010160194160995,0.0374119577716031,0.129927331392118,"PLIN3","Perilipin 3"
"Q12841",0.822151230285003,0.0075697262528441,0.940284816337996,"FSTL1","Follistatin Like 1"
"P19652",0.910404706343263,-0.0183838238288168,0.960668276859298,"ORM2","Orosomucoid 2"
"Q96KP4",0.76226765839745,-0.00662983878267937,0.927022915976149,"CNDP2","Cndp Dipeptidase 2 (Metallopeptidase M20 Family)"
"P22079",0.186687166380445,0.00614144782866277,0.564879429724787,"LPO","Lactoperoxidase"
"P23528",0.625530703871147,0.00831410182678489,0.911627716851445,"CFL1","Cofilin 1"
"P60174",0.273865461929919,0.0101025255856755,0.665142156021662,"TPI1","Triosephosphate Isomerase 1"
"Q9NP72",0.65577554405283,0.0112938522553246,0.911627716851445,"RAB18","Rab18, Member Ras Oncogene Family"
"Q9BRK5",0.846896051557101,0.00611485052474011,0.945886944165798,"SDF4","Stromal Cell Derived Factor 4"
"P50395",0.451967480843664,0.00473891276614537,0.815086653487292,"GDI2","Gdp Dissociation Inhibitor 2"
"P04114",0.0280577319471944,0.0285716430932412,0.238762688537393,"APOB","Apolipoprotein B"
"P20061",0.389880888316966,-0.0188399770313546,0.761676473762475,"TCN1","Transcobalamin 1"
"P43490",0.387847808583124,0.0269050721861567,0.761264070800365,"NAMPT","Nicotinamide Phosphoribosyltransferase"
"P00558",0.555622638516193,0.0114826806787534,0.891531381953739,"PGK1","Phosphoglycerate Kinase 1"
"Q96FQ6",0.0965474051585541,-0.00498325550659394,0.438096827708708,"S100A16","S100 Calcium Binding Protein A16"
"O75874",0.788552135693017,-0.00277031670884941,0.931507320221185,"IDH1","Isocitrate Dehydrogenase (Nadp(+)) 1, Cytosolic"
"P60953",0.422697016965736,0.0099487522363233,0.78599435862833,"CDC42","Cell Division Cycle 42"
"P02790",0.000411816828143475,-0.0380403613000887,0.0157987910433224,"HPX","Hemopexin"
"P53634",0.00718916673981745,-0.0191700889260029,0.104614771179413,"CTSC","Cathepsin C"
"O00300",0.383640298478889,-0.0211991360101901,0.760076084310288,"TNFRSF11B","Tnf Receptor Superfamily Member 11b"
"P14550",0.584313264584783,0.00643936906624419,0.895087449556247,"AKR1A1","Aldo-Keto Reductase Family 1 Member A1"
"P04217",0.709564855751659,0.0142483579355668,0.911627716851445,"A1BG","Alpha-1-B Glycoprotein"
"Q99497",0.108775636821178,-0.0505458285855756,0.463669886247852,"PARK7","Parkinsonism Associated Deglycase"
"P36871",0.856786384177829,0.0171519598100821,0.946484211025492,"PGM1","Phosphoglucomutase 1"
"P15311",0.530273984627888,0.0104956731386531,0.879581324366221,"EZR","Ezrin"
"P08697",0.0856395101657662,-0.000357899080528806,0.432322942398312,"SERPINF2","Serpin Family F Member 2"
"Q96S86",0.000727151062431695,-0.0284927132968693,0.023604442180475,"HAPLN3","Hyaluronan And Proteoglycan Link Protein 3"
"P02671",0.936969173978254,-0.011835393591719,0.971501207417256,"FGA","Fibrinogen Alpha Chain"
"P49189",0.732749539954389,-0.0115486277528839,0.911902723379997,"ALDH9A1","Aldehyde Dehydrogenase 9 Family Member A1"
"P07900",0.100981881766038,-0.0347417992133949,0.444684896079109,"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1"
"P01008",0.887565474457212,-0.000262689678674544,0.952901578786259,"SERPINC1","Serpin Family C Member 1"
"Q9BY76",0.21182214221199,0.0393426405563399,0.597288105529924,"ANGPTL4","Angiopoietin Like 4"
"Q14624",0.848108118305369,0.00252410567846525,0.945886944165798,"ITIH4","Inter-Alpha-Trypsin Inhibitor Heavy Chain Family Member 4"
"P27105",0.939704651714546,-0.000116687623548007,0.971949419175339,"STOM","Stomatin"
"P01133",0.160506050410805,0.0306799876670278,0.525383005300902,"EGF","Epidermal Growth Factor"
"P31946",0.27923159534063,-0.00660829657100905,0.665738605840373,"YWHAB","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Beta"
"Q9HB40",0.53727951219616,-0.00610347179705058,0.882882910311443,"SCPEP1","Serine Carboxypeptidase 1"
"P13639",0.999112894779543,0.0131167850333703,0.999112894779543,"EEF2","Eukaryotic Translation Elongation Factor 2"
"P61224",0.0125920775175496,0.01874014758172,0.147607130900165,"RAP1B","Rap1b, Member Of Ras Oncogene Family"
"P02748",0.208535425336435,0.00285032998902842,0.597288105529924,"C9","Complement C9"
"P07237",0.197010828866516,-0.0335788195009048,0.573369446770137,"P4HB","Prolyl 4-Hydroxylase Subunit Beta"
"Q14118",0.727402240133897,0.00234701903793008,0.911902723379997,"DAG1","Dystroglycan 1"
"Q6UXI9",0.680785510685147,0.0228338932505076,0.911627716851445,"NPNT","Nephronectin"
"P02675",0.348594077524168,-0.030826239389651,0.732476704448106,"FGB","Fibrinogen Beta Chain"
"P51148",0.509138079683921,0.00236141570384199,0.873399470026889,"RAB5C","Rab5c, Member Ras Oncogene Family"
"Q5T985",0.512425055070179,0.0024675678960095,0.874211288636897,"ITIH2","Inter-Alpha-Trypsin Inhibitor Heavy Chain 2"
"P02760",0.0434882376892487,-0.0201938784769499,0.284789589784241,"AMBP","Alpha-1-Microglobulin/Bikunin Precursor"
"G3XAM2",4.39729025114025e-05,-0.0549052404627018,0.0020618405399791,"CFI","Complement Factor I"
"P01023",0.350376303689545,-0.000791926166267175,0.732476704448106,"A2M","Alpha-2-Macroglobulin"
"P05067",8.60497131701022e-05,-0.0559489717217037,0.00363129789577831,"APP","Amyloid Beta Precursor Protein"
"P54802",0.634980312913419,0.0183216851325239,0.911627716851445,"NAGLU","N-Acetyl-Alpha-Glucosaminidase"
"P31947",0.583960275786111,-0.00415647502265455,0.895087449556247,"SFN","Stratifin"
"Q02809",0.802009992203636,0.0386732128629242,0.933412733132227,"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1"
"P17900",0.126968181447016,0.0018106768599952,0.482963806020237,"GM2A","Gm2 Ganglioside Activator"
"P36955",0.0658067870609703,-0.0447387850871478,0.380417316982595,"SERPINF1","Serpin Family F Member 1"
"P02751",0.0882516175459933,-0.01574461577763,0.432322942398312,"FN1","Fibronectin 1"
"D6RHI9",0.137232790766309,-0.0375225787666549,0.497084599205114,"RNASET2","Ribonuclease T2"
"P04003",0.193982168842401,-0.0126575219574812,0.568594482862954,"C4BPA","Complement Component 4 Binding Protein Alpha"
"O00339",0.143706803793352,0.0240123014959407,0.50536892667329,"MATN2","Matrilin 2"
"P43251",0.728040876658121,0.0391414358471985,0.911902723379997,"BTD","Biotinidase"
"P02766",0.596017946268496,-0.00652509943068612,0.895087449556247,"TTR","Transthyretin"
"Q5H9A7",0.295406817409504,0.0167086873424473,0.67862456378775,"TIMP1","Timp Metallopeptidase Inhibitor 1"
"A0A087X1J7",0.395946703248406,0.0261366785263835,0.762965793474098,"GPX3","Glutathione Peroxidase 3"
"Q9NR31",0.0012053021124255,0.036180621156045,0.0363312493888258,"SAR1A","Secretion Associated Ras Related Gtpase 1a"
"P04066",0.0162163088480719,0.022601589075929,0.175468777791957,"FUCA1","Fucosidase, Alpha-L- 1, Tissue"
"A6NNI4",0.247087537593595,0.00932418838991304,0.631945096148467,"CD9","Cd9 Molecule"
"A0A0C4DGN4",0.889675881615607,-0.00558204060039287,0.952901578786259,"ZG16B","Zymogen Granule Protein 16b"
"Q9UHD0",0.154183752954889,-0.00556291097142884,0.524722126991637,"IL19","Interleukin 19"
"P51149",0.705169388384957,-0.00267622246411411,0.911627716851445,"RAB7A","Rab7a, Member Ras Oncogene Family"
"P01019",0.706094976157246,0.0160566736630171,0.911627716851445,"AGT","Angiotensinogen"
"S4R3V8",0.593279590417802,0.032499042688098,0.895087449556247,"LSR","Lipolysis Stimulated Lipoprotein Receptor"
"P27169",0.281348421024905,-0.00508591068051295,0.666892757397724,"PON1","Paraoxonase 1"
"P16278",0.152202979490934,0.0729071820314306,0.523012372193338,"GLB1","Galactosidase Beta 1"
"E5RJB8",0.169408005656295,0.0119712196647366,0.533508793932512,"SDC2","Syndecan 2"
"P62820",0.00633384643184377,0.0297569663565062,0.102803199778387,"RAB1A","Rab1a, Member Ras Oncogene Family"
"O00560",0.988700316766897,0.00105194562848614,0.994551634499535,"SDCBP","Syndecan Binding Protein"
"P31949",0.0282894180731508,0.0300859723660269,0.238762688537393,"S100A11","S100 Calcium Binding Protein A11"
"P07686",0.839005760000294,0.0117536913553341,0.945886944165798,"HEXB","Hexosaminidase Subunit Beta"
"P00491",0.370745711591037,-0.00505162285910693,0.748587034887166,"PNP","Purine Nucleoside Phosphorylase"
"P27797",3.12033693946562e-05,-0.0933729897001214,0.00188111741207784,"CALR","Calreticulin"
"E9PJK1",0.0039530955105834,0.010201581248217,0.0834103152733097,"CD81","Cd81 Molecule"
"P84077",0.120448048352301,0.00713012917975645,0.482963806020237,"ARF1","Adp Ribosylation Factor 1"
"P45877",0.820486258146108,0.013297140484187,0.940284816337996,"PPIC","Peptidylprolyl Isomerase C"
"Q8NBJ7",0.984909715952729,0.0501030676386483,0.994551634499535,"SUMF2","Sulfatase Modifying Factor 2"
"P55058",0.00618530516583342,-0.0203991487694316,0.102803199778387,"PLTP","Phospholipid Transfer Protein"
"P0C0L4",0.661226952020471,-0.0244420657954123,0.911627716851445,"C4A","Complement C4a (Rodgers Blood Group)"
"Q96PD5",0.709819017455363,0.0592537226713304,0.911627716851445,"PGLYRP2","Peptidoglycan Recognition Protein 2"
"Q68D85",0.235832222688687,0.0154569916448867,0.622007487341411,"NCR3LG1","Natural Killer Cell Cytotoxicity Receptor 3 Ligand 1"
"P10643",0.621214726100183,-0.0326664277086504,0.911627716851445,"C7","Complement C7"
"P52823",0.490360859738822,-0.00880971419109323,0.851573180287173,"STC1","Stanniocalcin 1"
"Q6UWP8",0.675521538175897,0.0081842963432831,0.911627716851445,"SBSN","Suprabasin"
"P63313",0.780563697364183,0.0134255290213274,0.928606825330627,"TMSB10","Thymosin Beta 10"
"P61586",0.252297605581814,-0.00845586257660835,0.638033546993753,"RHOA","Ras Homolog Family Member A"
"P28799",0.969110886779374,0.00746499767785105,0.985457335472039,"GRN","Granulin Precursor"
"P18669",0.345245624346986,-0.00376114214864514,0.732476704448106,"PGAM1","Phosphoglycerate Mutase 1"
"P04792",0.0549774466411858,0.00753307336756897,0.3411835659203,"HSPB1","Heat Shock Protein Family B (Small) Member 1"
"Q9UBI6",0.464823355130131,0.0234500900559186,0.831179356642054,"GNG12","G Protein Subunit Gamma 12"
"P08603",0.888999300254924,-0.00427840234986224,0.952901578786259,"CFH","Complement Factor H"
"P30101",0.0922987849990438,-0.0694338548212856,0.433386640692451,"PDIA3","Protein Disulfide Isomerase Family A Member 3"
"P11234",0.467801271978045,-0.0113877257336297,0.831179356642054,"RALB","Ras Like Proto-Oncogene B"
"Q99538",0.287087609401251,-0.0198978252236061,0.6730609509296,"LGMN","Legumain"
"P19827",0.724723071664833,-0.0205738432965638,0.911902723379997,"ITIH1","Inter-Alpha-Trypsin Inhibitor Heavy Chain 1"
"O00592",0.194022761924799,-0.0404950798915189,0.568594482862954,"PODXL","Podocalyxin Like"
"P14625",0.0430433307491339,-0.0120742031053639,0.284789589784241,"HSP90B1","Heat Shock Protein 90 Beta Family Member 1"
"P48449",0.558296058240702,0.0255042484246022,0.892311411907677,"LSS","Lanosterol Synthase (2,3-Oxidosqualene-Lanosterol Cyclase)"
"P30041",0.0892444028791218,0.0116964588194726,0.432322942398312,"PRDX6","Peroxiredoxin 6"
"O60603",0.920307629803013,-0.0055602600901735,0.967701387171416,"TLR2","Toll Like Receptor 2"
"Q9NZP8",0.0209094877861211,-0.0139505443850756,0.205204740598677,"C1RL","Complement C1r Subcomponent Like"
"P19440",5.22552055088368e-06,-0.0440884961246831,0.00110258483623646,"GGT1","Gamma-Glutamyltransferase 1"
"Q99727",0.0217095532147649,-0.02606177853865,0.208214351287063,"TIMP4","Timp Metallopeptidase Inhibitor 4"
"J3KS22",0.188141135473359,0.00694200546260619,0.564879429724787,"DCXR","Dicarbonyl And L-Xylulose Reductase"
"O94760",0.290537056138396,-0.0363947439978259,0.677384738621011,"DDAH1","Dimethylarginine Dimethylaminohydrolase 1"
"P61981",0.0877506159683439,-0.0171657291010587,0.432322942398312,"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma"
"P52209",0.796877544671406,0.0172644435817093,0.933412733132227,"PGD","Phosphogluconate Dehydrogenase"
"P60981",0.726395546998696,0.0117738754605586,0.911902723379997,"DSTN","Destrin, Actin Depolymerizing Factor"
"P08238",0.139662404972798,-0.0359804469073444,0.497084599205114,"HSP90AB1","Heat Shock Protein 90 Alpha Family Class B Member 1"
"Q8NC51",0.378342362114531,-0.00738771299366294,0.756216493705564,"SERBP1","Serpine1 Mrna Binding Protein 1"
"P26038",0.773839743260807,0.021772564772801,0.928606825330627,"MSN","Moesin"
"P05387",0.25626101457636,0.00925758852631239,0.638033546993753,"RPLP2","Ribosomal Protein Lateral Stalk Subunit P2"
"P61026",0.339901491436843,0.0495262851336334,0.732476704448106,"RAB10","Rab10, Member Ras Oncogene Family"
"Q9NQX5",0.422996871656524,0.0262007845049242,0.78599435862833,"NPDC1","Neural Proliferation, Differentiation And Control 1"
"Q9H0U4",0.882022899474187,0.00151378470120253,0.952901578786259,"RAB1B","Rab1b, Member Ras Oncogene Family"
"P43652",0.0385293569393403,-0.0200016965381458,0.284789589784241,"AFM","Afamin"
"P00918",0.573134581000315,0.0209067775328489,0.895087449556247,"CA2","Carbonic Anhydrase 2"
"Q2I0M4",0.152441994738816,-0.00568358198350538,0.523012372193338,"LRRC26","Leucine Rich Repeat Containing 26"
"P48723",0.0848480839074169,0.0479020429111705,0.432322942398312,"HSPA13","Heat Shock Protein Family A (Hsp70) Member 13"
"P30086",0.935494583178093,-0.005355346677495,0.971501207417256,"PEBP1","Phosphatidylethanolamine Binding Protein 1"
"Q9H4G4",0.0620482870025358,0.0141893796511307,0.363671904375974,"GLIPR2","Gli Pathogenesis Related 2"
"P07737",0.592031109988182,-0.00137630216782149,0.895087449556247,"PFN1","Profilin 1"
"Q13228",0.0456982309047428,0.00445787017939196,0.292191718815173,"SELENBP1","Selenium Binding Protein 1"
"P11021",0.293372188100637,-0.0192363896723599,0.67862456378775,"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5"
"Q9UNQ0",0.0708855680676895,0.040714227812038,0.396656043114853,"ABCG2","Atp Binding Cassette Subfamily G Member 2 (Junior Blood Group)"
"P21399",0.834302301973535,0.0103363585846825,0.943902336281051,"ACO1","Aconitase 1"
"Q01459",0.42671465102455,0.0354457691884621,0.78599435862833,"CTBS","Chitobiase"
"O60543",0.00867126325700613,0.0450764729234532,0.12197576981522,"CIDEA","Cell Death-Inducing Dffa-Like Effector A"
"P08185",0.781173988133584,-0.0231658643710914,0.928606825330627,"SERPINA6","Serpin Family A Member 6"
"Q9UHL4",0.5293562214363,0.0287043875109849,0.879581324366221,"DPP7","Dipeptidyl Peptidase 7"
"P24821",2.07215244481915e-05,-0.0388617464200136,0.00162948183359037,"TNC","Tenascin C"
"Q10471",0.225801894989607,0.0108475994653436,0.603812141608242,"GALNT2","Polypeptide N-Acetylgalactosaminyltransferase 2"
"O00462",0.859628490904947,0.0785591367436435,0.946484211025492,"MANBA","Mannosidase Beta"
"A0A0C4DH38",0.832736471216006,0.00912701045442273,0.943902336281051,"IGHV5-51","Immunoglobulin Heavy Variable 5-51(Ighv5-51)"
"O00299",0.213721573305731,0.0629513838339233,0.597288105529924,"CLIC1","Chloride Intracellular Channel 1"
"P07858",0.220551415663611,-0.0379285081916659,0.60046901554867,"CTSB","Cathepsin B"
"P09467",0.164337812084642,-0.0023651719898028,0.525383005300902,"FBP1","Fructose-Bisphosphatase 1"
"Q9UL46",0.98615146388184,0.00347175732733643,0.994551634499535,"PSME2","Proteasome Activator Subunit 2"
"O43707",0.117649739372519,0.0228455130493141,0.482021262283523,"ACTN4","Actinin Alpha 4"
"Q15904",0.324679110353064,0.0187830706284466,0.717353845910958,"ATP6AP1","Atpase H+ Transporting Accessory Protein 1"
"O15232",3.57268968654641e-05,-0.0190894446653171,0.00188459380965323,"MATN3","Matrilin 3"
"Q9Y6Y9",0.353343907304938,-0.0150589576975171,0.733489571490499,"LY96","Lymphocyte Antigen 96"
"P12273",0.581504916908182,-0.00177410123649209,0.895087449556247,"PIP","Prolactin Induced Protein"
"P19113",0.992194877071811,-0.00420605888265673,0.994551634499535,"HDC","Histidine Decarboxylase"
"P31431",0.297501289812165,-0.0507584679666955,0.67862456378775,"SDC4","Syndecan 4"
"Q8N474",0.112912853285064,-0.0102883541497087,0.476492240862972,"SFRP1","Secreted Frizzled Related Protein 1"
"I3L397",0.0174645865219129,0.0244140795150194,0.179757451518226,"EIF5A","Eukaryotic Translation Initiation Factor 5a"
"Q92520",0.0421869224782298,0.0446002918097614,0.284789589784241,"FAM3C","Family With Sequence Similarity 3 Member C"
"E9PNW4",0.632746285944542,0.00656470781030178,0.911627716851445,"CD59","Cd59 Molecule"
"P63000",0.732073663958415,0.0188011977478498,0.911902723379997,"RAC1","Ras-Related C3 Botulinum Toxin Substrate 1 (Rho Family, Small Gtp Binding Protein Rac1)"
"P05090",0.665735542427541,0.0393135770635135,0.911627716851445,"APOD","Apolipoprotein D"
"P62258",0.0307162021339982,-0.0170534955520909,0.247423766974265,"YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon"
"Q9NZH0",0.808068022576219,-0.0031771525525409,0.934259467197711,"GPRC5B","G Protein-Coupled Receptor Class C Group 5 Member B"
"P08294",0.301858066759938,0.0325009985750088,0.682441724781139,"SOD3","Superoxide Dismutase 3, Extracellular"
"O15498",0.861255774961585,0.00860346835792992,0.946484211025492,"YKT6","Ykt6 V-Snare Homolog (S. Cerevisiae)"
"Q9P2X0",0.0139183550370927,0.00573137600358564,0.158744481774409,"DPM3","Dolichyl-Phosphate Mannosyltransferase Subunit 3"
"P17066",0.238381927358617,-0.0148076705310012,0.623373649550724,"HSPA6","Heat Shock Protein Family A (Hsp70) Member 6"
"P00441",0.542033882842899,0.0167471952365185,0.883159453898468,"SOD1","Superoxide Dismutase 1, Soluble"
"P40925",0.930680653088401,-0.0123094642602223,0.969746260748902,"MDH1","Malate Dehydrogenase 1"
"P61019",0.779089524078355,0.0455627809241156,0.928606825330627,"RAB2A","Rab2a, Member Ras Oncogene Family"
"Q99519",0.41278639489005,0.0060674662298994,0.780452041513313,"NEU1","Neuraminidase 1"
"O60547",0.260536573657239,-0.0138148521202483,0.642961602826638,"GMDS","Gdp-Mannose 4,6-Dehydratase"
"Q8NBJ4",0.000660660070067742,-0.0468226265785891,0.0232332124640489,"GOLM1","Golgi Membrane Protein 1"
"P61020",0.316742409720318,0.0492009131741073,0.70350156264197,"RAB5B","Rab5b, Member Ras Oncogene Family"
"Q96FE7",0.539852129772635,-0.0150822025484271,0.883013948697876,"PIK3IP1","Phosphoinositide-3-Kinase Interacting Protein 1"
"P58499",0.929883348803993,-0.0105581551118094,0.969746260748902,"FAM3B","Family With Sequence Similarity 3 Member B"
"P03950",0.159628100822502,0.0356445487793867,0.525383005300902,"ANG","Angiogenin"
"Q14512",0.101160545079608,0.0140967630119616,0.444684896079109,"FGFBP1","Fibroblast Growth Factor Binding Protein 1"
"Q02487",0.667063847578459,0.00203655575404271,0.911627716851445,"DSC2","Desmocollin 2"
"Q92484",0.0351094677014349,0.0676193258942983,0.269385370363737,"SMPDL3A","Sphingomyelin Phosphodiesterase Acid Like 3a"
"O95436",0.594400763957343,0.00746475322407867,0.895087449556247,"SLC34A2","Solute Carrier Family 34 Member 2"
"Q9BWS9",0.244267290611794,0.0480806338518814,0.631465502597789,"CHID1","Chitinase Domain Containing 1"
"P62328",0.712324794969021,-0.00391121557702804,0.911627716851445,"TMSB4X","Thymosin Beta 4, X-Linked"
"P34096",0.020655161932585,0.0400895598924553,0.205204740598677,"RNASE4","Ribonuclease A Family Member 4"
"P19875",0.350415071657843,0.0269805259706924,0.732476704448106,"CXCL2","C-X-C Motif Chemokine Ligand 2"
"Q16651",0.00343523532320382,0.00637254464383159,0.0805371836884452,"PRSS8","Protease, Serine 8"
"O00764",0.412629067037302,-0.0055152763795168,0.780452041513313,"PDXK","Pyridoxal (Pyridoxine, Vitamin B6) Kinase"
